junior,5,effective fall quarter\first year\impressed\administrative staff\athletic program
junior,5,how interactive school\very welcoming\chiropractic program\incredibly helpful
junior,5,online course\great\easy
senior,5,diverse community\perfect\always available
other,5,lasting purpose\own\whole institution
other,5,easy\very interactive discussion\supportive video
alum,5,particular rugby\huge part\most part\good
alum,5,take numerous class\numerous online class\easy
freshman,5,international sport\very interesting\friendly
senior,5,great school\chiropractic
freshman,5,first time\overwhelming\more happy\how diverse\cultural\pretty small school\more attention
senior,5,great community\great small community\most thing
freshman,5,very smart\teach great\beautiful\clean\safe\good decision
senior,5,chiropractic doctor\relatively small\very beautiful\available\very limited school\more parking\good instructor\good chiropractic instructor
junior,5,good experience\easy\feel welcome staff\available food\feel engage\good time
senior,5,new\beautiful campus\excellent professor\vitalistic vission\become exemplary clinician
alum,5,nice atmosphere\friendly\fere knowledgeable\open door\willing
freshman,5,first year student\very satisfied\beautiful campus\cultural diversity\many team\many great team\great\more common team\available\other\extremely satisfied
senior,5,great core value\so many student service\realistic\fun\friendly people\overall school\overall great school
sophomore,5,well productive people\good
senior,5,very easy\good time
senior,5,informative\mostly great\nearby\incredible
senior,5,good thing\not greek life
freshman,5,really good\friendly\other\friendly\easy\really good
freshman,5,academic side\pretty great\very caring\really friendly\wide ranged\perfect\pretty great
freshman,5,greek life
freshman,5,more involved\well\get more attention
freshman,5,very comfortable\very caring\favorite part
alum,5,chiropractic degree\excellent education\excellent chiropractic education\chiropractic student\constant opening
alum,5,interested\most\small student\optimal\most\undergraduate teacher\great\easy\feel comfortable\wide variety
alum,5,good college\chiropractic education
freshman,5,not overwhelming\big\overall quality\great\personal sucess
senior,5,very delicious\affordable\vegetarian\organic food choice\overall heath\conscious atmosphere\whole campus
senior,5,great thing\open student\upscale apartment\first\kind\completely sustainable building\beautiful campus\beautiful open campus
senior,5,off campus\available\very different price\Most\most\safe area\reasonable\great area
freshman,5,friendly
freshman,5,great\different choice
freshman,5,
freshman,5,second quarter freshman
freshman,5,
freshman,5,athletic dorm
freshman,5,make sure thing\'s main focus\make sure\safe
freshman,5,financial aid process\financial
freshman,5,first year\female team\very welcome
sophomore,5,extremely safe
sophomore,5,nice\awesome attraction
freshman,5,great
freshman,5,beautiful\nearby
freshman,5,close\various building\even small thing\such parking
other,5,clean\rid distraction
other,5,so sure
other,5,great curriculum\simple\easy
other,5,major\special\particular major
other,5,great\new
other,5,
other,5,great town\great little town\awesome variety
other,5,other way
other,5,as many program\traditional school\good
other,5,great\basically endless
other,5,amazing\wonderful
junior,4,first quarter\impressed\athletic program
senior,4,online experience\great professor\really quick
junior,4,most student\other job\heavily involved sport\leanant\due date
junior,4,very small school\big university\less student
senior,4,solid school\hard\well
senior,4,great\weak document\persistent
sophomore,4,only thing\random/ payment\random/ high payment\basic need\unknown use
freshman,4,high school\high school\’ senior year\good gpa\so excited\second chance\magnificent life
freshman,4,amazing life\very overpriced\perfect school\interested health
senior,4,current student\chiropractic program\very challenging\very good experience
freshman,4,awesome experience\different location\unrelated\very offensive\intrustive\disrespectful\glad
freshman,4,first quarter student\learn many thing\more open\greatly different\next\bountiful race\help new student\old one
junior,4,amazing school\interested exercise\such chiropractic\athletic training\small class size\beautiful campus\small campus\whole lot\half hour drive
senior,4,great\convenient\elegant
senior,4,athletic club\good\as huge\other\other large\public university
senior,4,passionate\how vitalistic health\small size\flip side tuition\expensive
sophomore,4,top school
senior,4,relatively big speaking\big comparitivly speaking\few party\recent memory
senior,4,
senior,4,great\quite difficult
senior,4,very safe\only objection\effective security\very ignorant\rude\more\bother good people\many ticket\great
senior,4,own belief
freshman,4,pretty confident\sure\able
freshman,4,too much
alum,4,very limited\very neat\close\very spacious\very modern\stainless steel appliance\clean parking\ideal resident\reserved parking spot
senior,4,Most\fast food
senior,4,very reasonable policy\many\many other guideline\other basic guideline\completely doable\easy\positive way
other,4,different type\different style
other,4,strict subject\not strict area
other,4,great
freshman,4,well view\inter ship\inter ship
sophomore,4,nice country bar
other,4,to much experience\greek life
other,4,great school
alum,4,small\flexible student\need special help\available
sophomore,4,convenient\pretty reasonable
sophomore,4,pretty friendly\other
sophomore,4,financial aid information
sophomore,4,very convenient
sophomore,4,pretty safe\secure
sophomore,4,academic class\pretty challenging time\very helpful
sophomore,4,very diverse\many student\much friendly\other\always willing\new\quit sure
sophomore,4,diverse\pleasant\chiropractic\well dressed
sophomore,4,really close
sophomore,4,less expensive
sophomore,4,quarterly allowance\wireless speed\personal laptop
sophomore,4,first quarter\great opportunity\interested\amazing professor\not easy\academic tutor\future job searching\there program\interested\chiropractic doctor
freshman,4,great campus\really good\alone\first quarter\know many people\good friend\new family
freshman,4,too athletic iis\really great library\awesome\green space
freshman,4,new\clean\meet more people\socialize more
freshman,4,strict
freshman,4,big closet\good\certain hour
freshman,4,
freshman,4,perfect
freshman,4,
freshman,4,good activity\other\first\fun day\many activity\meet many people\great spirit
freshman,4,become successful student
junior,4,different background\friendly campus
junior,4,american
junior,4,
sophomore,2,diverse\black fraternity
freshman,2,feel unsafe today\tiny room\tiny window\unsafe
other,2,
other,2,not fond\financial aid counselor\several scholarship
senior,2,available average dinning\public transportation\accessible\available
senior,2,coordinated program\clinical nutrition\very limited\very discriminating\old student
senior,2,More focus\less focus
senior,2,poor choice
junior,2,limited\most student\very difficult\barely enough parking place\very common\unauthorized parking spot
freshman,1,so boring\little excitement\high school\so cheap\same person\timely manner\undivided attention
freshman,1,greek society\not popular\greek tradition
freshman,1,different school\sure\very rude\bad\rude\closed door
sophomore,1,retain most information\not friendly\military personnel\great instructor
senior,1,extremely old\slow\whole computer system
