sophomore,5,many\many different society\different cultural society\new student\strange world\strange new world\very distant\first week\new environment\new location\new home\very positive\foreign land\many\many different culture\different indigenous culture\little community\different\same\different people\many background\many similar background history\young generation\many people\many amazing people\international\happy\positive outlook
sophomore,5,average college student\old waiting table\tired\want more music\able\full time\able\powerful tool\also influential
junior,5,wonderful university\creative people\cultural difference
junior,5,cheap film school\perfect place\beautiful\awesome
freshman,5,great atmosphere\supportive\more
other,5,very open\welcoming\big
freshman,5,prestigious art college\so much\so many opportunity\many amazing opportunity\able\talented\other\able\good art town\whole experience\more valuable\stunning jewelry maker\rich environment
senior,5,very good experience\excellent
freshman,5,insanely outstanding wise\outstanding academic wise\residential building\open\minded\amazing people
sophomore,5,great growth\great personal growth\so much
junior,5,
junior,5,choose off campus\very unique\interesting\reasonable
junior,5,different characteristic\unique\many\many different store\different interesting store\other\little way\make quick trip\very nice student\very open\different\great deal
sophomore,5,good alot\other
sophomore,5,wonderful\organic cafeteria
sophomore,5,cultural campus\traditional ceremony
junior,5,many choice\so close\nice\able
freshman,5,perfect college\first floor\second floor\specially key card\allow only people\full bathroom\coomon room\big screen\full size kitchen\very reasonable price
sophomore,5,stellar art college\go extra mile
freshman,5,major study area\private study\most recent computer equipment
senior,4,fairly small campus\great\small class\large\open\american\other tribe\other indigenous tribe
sophomore,4,willing\good ability\small community\very nice\indigenous foundation
sophomore,4,very diverse group\strong community\lovely library\great art studio\great staff\strong\efficient
freshman,4,great school\affordable\economical\easy\very small school\most\small\own bathroom\own private bathroom\central air system\very diverse\tribal college\- native\few student\few international student
sophomore,4,indian art\affordable\low income\native student\indigenous student
freshman,4,native\native american diversity\american cultural diversity\many building\many new building\new guideline\different major\interested\native school\native high school graduate\make lifelong friend
freshman,4,very welcoming\only thing\big dormitory\wide selection\other\fantastic\great
junior,4,different background\other
junior,4,pretty easy time\old college
junior,4,pretty friendly
junior,4,great\new\different
freshman,4,non\non - application\- refundable application fee\abnormal\only difficulty\little long
freshman,4,introductory course\major requirement\free chose\different material\always fun faculty\Most faculty\very small community
freshman,4,support local farmer\hot food
freshman,4,
freshman,4,happy\great school\good teacher
freshman,4,nice
senior,4,nice\common area\own restroom\common area
senior,4,many subject\other subject
senior,4,Most\great people\other place
senior,4,great school\native\small
freshman,4,wide variety\hard\specific area\new choice\own experience\own unique experience\fearless\try new thing\fearless
junior,4,personal essay\critical essay
freshman,4,
freshman,4,workable\little\little slow none
freshman,4,go great
freshman,4,few touchup\few minor touchup\more well\great work
freshman,4,extremely diverse\most college campus\native side\other race\other country
freshman,4,amazing\small size\average\very nice
junior,4,meet other artist\many restaurant\west cuisine\west mexican cuisine\many gift shop\many craft
junior,4,much nice\funny allot\shy people
junior,4,easily accessible campus\nice view\quiet\great ease\pretty easy
freshman,4,dull moment\exciting thing\wonderful\compact\many read\many great read
freshman,4,unique\large land grant\refreshing\complete kitchen\big screen
junior,4,great\bad\great
junior,4,small number\only time parking\huge art show
junior,4,own space\more comfortable\relaxing\very natrual\traditioal
junior,4,more fun\old kid\interesting thing\underaged kid
freshman,4,very helpful experience\previous aid\previous financial aid adviser\new aid\new financial aid adviser\wonderful job
sophomore,4,
sophomore,2,non\non - student\- native student\poor\financial tuition\next semester\poor student\difficult time
junior,2,extremely difficult\financial aid staff
freshman,2,almost non existent\non - existent
freshman,2,
junior,2,expensive tourist trap
junior,2,new\not much aid\much financial aid\available
freshman,2,small\small native art\native american art school\diverse\various tribe\few student\few international student\middle class\work economic background\many\various orientation\various sexual orientation\many\tribal belief\open\other culture
junior,2,hard\availble\good\open\alway availble\sometime hard\helpful\late snack\late nite snack shop
sophomore,1,
senior,1,
senior,1,expensive\not ideal\full time
freshman,1,pretty mild\sunny\single day\just hot\warm windy\other part\mild weather
