sophomore,5,online learning\sure\pleasantly surprised\easy\do full length test\few time\optional credit\remote learning\bad internet connection\online learning
sophomore,5,few school\rare balance\rigorous academic\genuinely fun student experience\typical student\creative\conscious\learn more\very involved\super friendly\rarely cutthroat\very easy\absolutely amazing\truly focused\undergraduate teaching\fossil fuel\wonderful school\so glad
sophomore,5,good school
sophomore,5,appropriate classload\vast resource\afraid
senior,5,there useful\enjoyable\prosperous career
alum,5,many opportunity\many excellent opportunity\more\really talented
alum,5,not applicable
sophomore,5,outstanding curriculum\many professor\many great professor\very supportive\unbeatable
senior,5,online learning\complete online work\modern\glitch free\hybrid format\solely online class\very available support\possible
senior,5,wonderful experience\beneficial\very available support\beautiful\interactive satellite location\main campus
senior,5,want much\medical school\other thing
senior,5,confident\rounded\entrepreneurial person\'s various opportunity\other school\make new connection\so underrated
senior,5,very helpful\upcoming semester
senior,5,great time\online class
senior,5,great academic\solid programming\decent amount\great deal\expensive side\good amount\financial aid\highly passionate\rigorous environment
freshman,5,great\very friendly\outgoing\amazing city\so close\very easy
other,5,double legacy\endless opportunity\feel passionate
other,5,very kind\inviting\more time\amazing campus\amazed\completely different environment\top college
alum,5,great experience\great environment\prepared
freshman,5,amazing\make northwestern\so great\many school\many undergraduate school\northwestern\liberal art\bright\most fascinating people\so special\famous\stunning beauty\stunning natural beauty\american college\old\new
sophomore,5,extremely stressful nerve\terrible part\first winter
freshman,5,amazing experience\more year
freshman,5,ideal location\wonderful
other,5,
other,5,astounded\various opportunity\musical program\great immersion\overall atmosphere
senior,5,great school\beautiful campus\super fun\very easy\top notch
freshman,5,very obvious\prevalent\prevalent white\rich population\very liberal\amazing\only negative\old dorm
other,5,amazed\good college community\real feeling\regular day\joyful\optimistic\great leader\great class selection\good flexibility\good academic flexibility\second year\able\also supportive
junior,5,great university\rigorous academic\great balance\fun event\social life\so many option\always busy
alum,5,solid\solid academic\extracurricular foundation\gorgeous place\tough
sophomore,5,excellent school\big learning curve\very close
other,5,try new subject\favorite part\beautiful campus\lucky
sophomore,5,most diverse school\quite diverse\big athletic\amazing\standard\nice
sophomore,5,positive\very unexpected way\high school\honest\true\most respected\really easy\be good\happy
other,5,high school senior\close friend\good decision\perfect\academically rigorous school
alum,5,good\high education\crosstown rival\beautiful campus\huge cherry\top notch
sophomore,5,incredible variety\motivated\interesting people\excellent
alum,5,amazing place\very involved\abroad multiple time\top notch job\more
other,5,how beautiful\beautiful northwestern\how clean\safe
freshman,5,great school\reallt nice\good\not terrible
alum,5,top notch academic\great art program\amazing engineering\minor city\major\driven\ambitious\academic\extra\curricular pursuit\hard play\hard atmosphere\many student\fulfilling year
junior,5,northwestern\offer great course
senior,5,overwhelmingly positive\very supportive\kind\fairly diverse
freshman,5,northwestern\so great\great match\also rigorous academic
freshman,5,rigorous academic\social activity
alum,5,great balance\academic excellence\social life\exceptional reputation\good perspective
freshman,5,separated\great\nice place\excited\next year
alum,5,great resource\beautiful
other,5,beautiful\full life\dreary month\happy\more\other
senior,5,proud\immaculate\incredible\beautiful\perfect setting\well location\competitive\top\very happy
alum,5,few university\few other university\junior college\good decision\superior\gorgeous\vibrant alumnus network\easy
freshman,5,great college\residential neighborhood\also nice\renovate old facility\learn good stuff\most\very nice
other,5,awesome\nice\friendly\really great college
alum,5,outstanding professor\well rounded student body\great campus environment\great college experience
alum,5,great balance\superior academic\fine art\social opportunity\great experience
alum,5,northwestern\academic destination\good\so many world\many different world\top flight\thrive extracurricular culture\friendly student
other,5,amazing experience\very beautiful\clean
alum,5,northwestern\rare institution\incredibly unique space\high education\most impressive alumnus roster\other university\other elite university\top notch\prestigious journalism program\most productive theater department\robust engineering school\utterly romantic setting\good college town\truly remarkable place\not perfect\truly priceless
sophomore,5,great balance\small class\personal relationship\social scene
other,5,incredible\only downside\few professor\really good picture
senior,4,pretty good system\online learning\online learning
alum,4,vibrant community\vibrant academic community\small school--\supportive community\small campus\major research institution
sophomore,4,take online class\covid\not sure\how relevant experience\good\flexible
sophomore,4,unparalleled\hard time\join many club\many different club\social scene
sophomore,4,good\serious effort\impressive\really great
freshman,4,plenty thing\beautiful\academic rigor\equally motivated\academic environment\overwhelming\aggressive student\hyper\narrow margin
other,4,amazing school\academic aspect\top notch\social scene
freshman,4,african\american male\have social issue\true\too hard\definite\definite high intensity\unmatched
sophomore,4,top school\high review\undergraduate education\other university\least\good\bad professor\impossible\very nice\new dorm\old one\very good\late fall\early spring\brutally cold\good thing\close friend\beautiful\good weather\look great\easy
freshman,4,real\amazing\underrated university
sophomore,4,northwestern experience\enjoy most class\able\wide range\stressful environment\other hand\current budget crisis\multiple building\multiple new building\great college town\expensive\most part\not unique\especially private research university\have many experience\awful teacher\not unexpected
sophomore,4,super expensive\provide great opportunity\individualized plan
other,4,amazing\close\good traffic\nice feel\nice local feel
freshman,4,beautiful\very cold\athletic team\pretty average\big conference\good\really fun\good\most\really small\easy
alum,4,full\great\passionate professor\provide many opportunity\explore new interest\really nice\great\mental health service
other,4,'s stem research\high school student\professional experience
freshman,4,top choice\outstanding\little town\perfect adjustment
senior,4,overall\great\give more benefit
other,4,short walk\very friendly
junior,4,competitive environment
other,4,good program\fairly wide range\make more\northwestern community
alum,4,incredible amount\academic rigor\very talented\gifted peer\well student\young adult\beautiful campus\many opportunity\professional growth
junior,4,great school\mental health\rough\competitive nature\good choice\great job
alum,4,supportive peer\true\very few student\even few visit\less affluent part\little
junior,4,see well health\well mental health advocacy\especially true\northwestern\constantly nervous\mental health problem\such\well extension\well assignment extension policy
freshman,4,great\make plenty friend
sophomore,4,double major\major\wise\make great friend\musical endeavor\pleased\other academic
sophomore,4,rigorous\most\helpful\often many source\very positive\beautiful\downtown\incredible\other hand\very disappointed\athletic department
other,4,ambient atmosphere\very compelling\supportive\only thing\too high\very good education
freshman,4,high standard\difficult\significant amount\phenomenal\available\so high student\professional game\free school apparel\great school
other,4,great tour\seem classy\interesting\very genuine\very expensive school
junior,4,passionate\responsible\very good experience\own way\find fascinating\beautiful\great resource\willing\involved
other,4,very thorough\definitely worth visit\right
senior,4,great school\immense amount\pre\pre - track\- med track\definitely rigorous\available\definitely worth
senior,4,unique spirit\northwestern\active\explore different discipline\collaborative learning environment
freshman,4,good\smooth transition\so many resource\incredibly challenging
sophomore,4,real world\incredible career planning\very top\incredible\incredible smart\engaging
alum,4,amazing\able\double major\outside field\difficult\busy\take extra class\beautiful\huge party school\other way\public transit system\general work\general hard work ethic\particularly competitive\mental health service\very accepting\diverse\progressive school overall\financial aid\great\get well
alum,4,good experience\good undergraduate experience\small\passionate school\pretty segregated\different background
other,4,highly acclaimed academic\insanely high
junior,4,amazingly challenging\diverse world\extremely passionate\pre\pre - culture\- professional culture\bad thing\like\minded\overwhelming time\less sure\future career path
alum,4,beautiful place\pleasant\usual\very deserved\most exciting place\priceless\many professor\many stellar professor\rounded\numerous career service\much well other\terrible
other,4,nice school\so nice\okay\more intimate setting\social life\cute\overall\nice experience
junior,4,rare opportunity\amazing experience\amazing academic experience\incredibly important aspect\relaxed\academic institution\more inviting atmosphere\less rigid environment\perfect place\most healthy way\possible
freshman,4,generally good
freshman,4,pretty nice
freshman,4,very fun
freshman,4,
junior,4,northwestern\stressful\great education
sophomore,4,very diverse\typically appropriate\subject matter
sophomore,4,feel safe campus\blue button\blue light button\general safety\as progressive\sexual assault consideration
sophomore,4,academic standard\stellar staff\highly competitive\so much\expect extra\curricular contribution
sophomore,4,very competitive\well chance
sophomore,4,good aspect\other school\other top school\big sport\good job opportunity\high quality education\social life
sophomore,4,not many incident\personal well
sophomore,4,top dorm\average\clean\clean\averagely spacious\own personality\good fit\south campus personality
sophomore,4,social advantage\join greek life\meet new people\social scene\slightly palpable vibe\palpable elitist vibe\good thing\first year\personal preference
sophomore,4,northwestern\stressful\easy\like\not top %\good\top school\top private school\high quality\great\social life\decent\greek life\active\different
freshman,4,very safe place\pretty safe
freshman,4,so many thing\amazing school\so glad
alum,2,tolerable\toxic\mental health issue\high\social division\great\strong culture\strong intellectual culture\hard\psychologically unsafe
freshman,2,pretty prevalent
sophomore,2,
junior,2,good thing\mental health service\make aware friend\very unresponsive\negative
freshman,2,private school\high tuition\receive well housing
senior,2,greek life\much\social life
junior,2,know many people\receive proper support\major change
sophomore,2,very disappointed\constant exam\due\very hard\Most student\med law\look good\brutally cold\extremely expensive\not enough aid\enough financial aid\middle class\numerous health\numerous mental health issue\bad student quality\good reason
sophomore,2,awful\not surprising\not uncommon\see elementary school age\rich\rich snooty people\snooty elderly people\beautiful\perfect
sophomore,2,well\athletic focus\big\get well\more focus\other\other big school
sophomore,2,bad part\very strict\full volume
sophomore,2,fun\friendly\right one\pretty old\kinda weird
junior,2,terrible\first year
alum,2,very tense relationship\wealthy suburbanite\gothic mansion\gothic victorian mansion\big group\great city\good reason\long wait\frigid platform
alum,2,too many wall\linoleum floor jail\very strict\sober atmosphere\certain dorm\report small infraction\certain north campus\much more\more fun\all luxurious
freshman,2,standard transit\pretty close\overly expensive\super cheep\northwestern transportation\bad\nice\great shuttle\very late\terrible\nice\not consistent\bad\just big\annoying transportation\just small\neccessary
freshman,2,particularly bad winter
freshman,2,cold\blisteringly cold\lived
sophomore,2,very difficult\build new parking structure
sophomore,2,difficult\too busy\actual relationship
sophomore,2,high cost\bad
freshman,2,beautiful
junior,2,eligible
freshman,2,very little peer pressure\usually respectful\rowdy party
junior,2,diverse\think many\heavily populated\white\affluent student
junior,2,major\real fun
freshman,2,difficult program\most important criterion\good grade\strong\solid grounding\high school
freshman,2,very strict noise\start new student organization\own capella\very easy
freshman,2,very close dorm\very hard\make sure\tiny thing\such\quite expensive
freshman,2,total party school\not rare
sophomore,2,big team
sophomore,2,expensive\not much
sophomore,2,very anti\anti -\- greek\only time\cool\not obnoxious\Most ca\personal experience\bad\illegal
alum,2,many group\many cultural group\very many group\many economic group
sophomore,2,pretty strict\most security\pretty lax
sophomore,2,pretty strict\underage drinking
freshman,2,
freshman,2,own computer\own printer
freshman,2,many type\many different type\personality\wise\race wise\mostly white\asian people
junior,2,few\expensive\senior year\still costly
sophomore,2,other\as many student\attend other sport\ok
sophomore,2,not stimulating\so rushed\really cold\fun
junior,2,windy\northw suburb\completely ready\strong\cold\fine
freshman,2,stupid\Most\make sure\call safe ride\few daylight crime\good safety
freshman,2,
sophomore,2,northwestern value\academic integrity\how prestigious university
sophomore,2,not great\extremely expensive\pretty small\good dorm\bad dorm\good dorm\good social dorm\livable\nice dorm
