freshman,5,online class\great
freshman,5,hybrid class\great\available use\available
freshman,5,very interesting\informative\available\make sure\make sure\take necessary precaution\necessary precaution\helpful\friendly
sophomore,5,online class\as beneficial\make sure\accessible\available\online class\take more
sophomore,5,online school\amazing\there live
sophomore,5,small class\amazing\so friendly\caring\great school
freshman,5,
freshman,5,beautiful\very kind\very good school
freshman,5,blind\whole transition\hard thing\so easy\willing\wonderful academic\many sport program
freshman,5,very friendly\ambient environment\very kind\like
freshman,5,online class\frequent\normal class\largely unchanged
other,5,so sweet
freshman,5,stat\southern\great people\entire life\sweet\genuine
freshman,5,amazing experience\beautiful\constant state\loved\safe
other,5,great place\so welcoming\new family\great environment
freshman,5,excellent university\develop christian servant leader\incredibly intentional
junior,5,excellent\pricey\good friend\other\close relationship
other,5,few time\very happy\very active\beautiful\stunning\little roomy\little more roomy\little bit\tight side\perfect
sophomore,5,great college\amazing\extremely high quality\experienced\many\good teacher\Most\most genuine people\good
senior,5,real life\successful\real world
senior,5,so beautiful\acre true believer\very different
sophomore,5,overall\great school\really able\past year\easy\willing
freshman,5,great university\great christian university\beautiful\peaceful\all great
senior,5,great place\applicable\real life\gorgeous\very calming presence\good education
freshman,5,amazing school\beautiful campus\beautiful small campus\sure sense\find well way
freshman,5,true\great plan\wonderful professor\small class size\countless student life\beautiful landscaping\exceptional education\enriched life
freshman,5,great environment\Most professor\nice\reasonable teacher\attend mandatory chapel\good part\stunning
freshman,5,very nice campus\come true\very polite\nice
sophomore,5,great\good university\how much\how great\very caring\always willing
freshman,5,amazing experience\awesome\extremely passionate\knowledgeable\prime role model
freshman,5,come true\good teacher\good professional teacher\big\very nice\friendly
other,5,beautiful\nice\very welcoming\huge\very nice
freshman,5,amazing school\incredible opportunity
other,5,amazing\good one\amazing program
senior,5,amazing college\beautiful\awesome event\friendly\helpful\small classroom size\online class\easy\very helpful\only thing\more diversity\amazing\feel safe campus\own community\own little community\other college\favorite
junior,5,able\like
junior,5,wonderful school\very friendly
senior,5,strict rule\bad\great other\not serious\very serious\overall campus environment\most staff\very helpful\like big class\famous\small class size\very personal\late\mandatory\late\serious\good person\perfect school
freshman,5,very uplifting\beautiful\good part
junior,5,beautiful\so nice\Most\excellent\major downside\other sporting event
sophomore,5,more loved
freshman,5,amazing\incredibly helpful\so many lesson\many valuable lesson\create wonderful friendship\last lifelong\entire staff
senior,5,academic stance
senior,5,beautiful\very passionate\able\christian view\great\overall\great experience\smart\talented people\make sure\good
junior,5,very involved\available\multiple outlet
