senior,5,good\last minute switch\kind
freshman,5,welcome luncheon\amazing\nice\very knowledgeable
freshman,5,first experience\amazing
senior,5,very dedicated\small classroom\always available
senior,5,very great\always available
junior,5,great support system\wonderful\productive manner
junior,5,wonderful support system
sophomore,5,wonderful time\small class size\able\more one\very dedicated\very kind\helpful
sophomore,5,small classroom setting\beautiful\perfect size\plenty opportunity
senior,5,awesome\so welcoming\worth\bad thing\always clean\make sure
junior,5,very challenging\most\good learning experience\well understanding\other\overall experience\pretty great
freshman,5,
freshman,5,really fun\wonderful\unique one\very welcoming\excellent
freshman,5,get connect\first year seminar\more confidence\other student\have catholic value\feel connected
sophomore,5,feel safe\too big\great
senior,5,provide excellent program\young scholar\heavy involvement
freshman,5,great college\great private college\full college experience\great\tough professor\seem nice\awesome\huge percentage\previous year\great\add more building\more class
freshman,5,warm welcome
freshman,5,first time\short stay
junior,5,available\very helpful
senior,5,good health\good behavioral health program
junior,5,online student\great experience
sophomore,5,little\good experience\distant learning\so helpful
junior,5,very nice\great listener\big thing\always willing\beautiful\little\small side\easy
alum,5,top notch education\many opportunity\beautiful\excellent professor
alum,5,fantastic experience\so friendly\friendly face
senior,5,small class\more personal exchange\great\more\main campus
sophomore,5,great\small college\small private college\great\small
senior,5,open many opportunity\many wonderful opportunity\glad\close home\really good\create strong relationship\wonderful journey\upcoming year
sophomore,5,excellent school\small school\able\more\due\small class size\more interaction\positive aspect\small student\form close relationship
sophomore,5,very personable
sophomore,5,very good\new people\extracurricular time\add more parking space\main problem\other
alum,5,good experience\good educational experience\possible\intimate size\excellent experience\only complaint\more activity\more interaction\main campus
freshman,5,current college student\other teacher\helpful day\first day\last day\feel welcome\rigorous\fast\so much
sophomore,5,great place\willing\as successful\possible
junior,5,
senior,5,very easy process
freshman,5,phenomenal
junior,5,few class
junior,5,
junior,5,
freshman,5,sexual assault\public safety crew\extremely nice
freshman,5,great\great challenging\not unfair professor\very kind
freshman,5,enough privacy\meet new people\create new friendship\very spacious\nice way\similar class
freshman,5,great\long friendship
alum,5,overall experience\good\many reason\relevant\individual student\' academic pursuit\profound
senior,5,good role model\beautiful place\friendly\other
sophomore,5,how close\amazing part\other\so cute homey
freshman,5,super small\personal\other school\amazing vibe\friendly\happy
freshman,5,very focused community\good thing
freshman,5,good
freshman,5,good
freshman,5,first year\still relevant\important\certain class\still important\more challenging class\junior year\very meaningful
freshman,5,many computer\available
freshman,5,evident\provide many activity
freshman,5,meet great people\small environment
senior,5,
senior,5,good\more people\very interesting\major hand
