alum,5,single one\easy\many project\amazing\continuous stride\first team\tight\close community\even more
freshman,5,online school\several year\online college\great\- recorded lesson\need extra help
freshman,5,several year\online student
senior,5,online class\great\Most\online class\make sure\more scary\take online class
senior,5,very small campus\able\last name\thankful\able
alum,5,overall experience\overall excellent experience\wonderful professor\always willing
freshman,5,small college\not big\feel intimate\very friendly\great resource\successful\free tutoring\free tutoring\free food\free research resource\hold many fun\many different fun\such\monthly\more\great\big variety\special diet
other,5,whole life\talk about/\very reasonable
sophomore,5,more involved\previous school\such\various club\more\absolutely amazing\comfortable dorm\accessible service\become great friend\abundant\numerous tutor\numerous free tutor\other way
freshman,5,good time\good first time experience\aka apartment\very nice\own freedom\beautiful\welcoming\’ small\big\little village\comfy\later hour\really nice\helpful\all willing\not judgmental\general\very helpful\nice\good\awesome individual\first semester\enjoyable\same time
freshman,5,like most\small class size\how affordable\other college\super inclusive
freshman,5,have great professor\small campus\overall\great place
sophomore,5,extremely helpful\very understanding
freshman,5,very helpful\real world
sophomore,5,very close relationship\common\very nice
sophomore,5,fantastic\great college\great small college town
freshman,5,incredibly lucky\able\top notch\super friendly\helpful\good game design
freshman,5,great community\great little community\very friendly\future life
sophomore,5,public university price\private university\personal\professional touch
sophomore,5,big family
freshman,5,cozy campus\great place\academic goal\amazing professor
freshman,5,not sure\right fit\absolutely beautiful\right\available\extremely helpful\make sure\more\top tier
sophomore,5,able\diverse environment\first generation college\great\many student\first generation college\feel prepared\motivated\middle class family\perfect fit
freshman,5,new student\high school\friendly\good
sophomore,5,long friendship\fellow student
freshman,5,very nice\so many thing\many good thing\come true\study social science
junior,5,small class size\so small\more\next class
freshman,5,most\academic freedom\so much control\new semester\really helpful\diverse\significant part\most people\extremely comfortable\open\religious belief\able\discover new perspective\clean\easy\late technology\fine art building\3d motion capture\other studio\great university\great public university\interested
sophomore,5,great college\very welcoming\willing\glad\future career
junior,5,great college\only dislike
freshman,5,small side\very pretty\very tight community
sophomore,5,major minor\religious study\sheer diversity\astounding\extraordinarily knowledgeable\more\willing\small\how approachable professor\valuable
sophomore,5,extraordinarily nice group\always willing\feel unsafe\just uneasy\rather large guy\tiny\least head\tall\several night\make sure\okay\bad crime\unlocked vehicle\overall feeling
sophomore,5,rather small\most college\most other college\other feature\private rooming option\available\cost more\wonderful job\make sure\likely\full kitchen\late class\own meal
sophomore,5,great student\amazing\small class size\more approachable\amazing experience\as common\next year
freshman,5,safe
sophomore,5,local hospital\many employment\many different employment recruiting\available campus
sophomore,5,offer many course\many different course\take much pride\excellent\proud\current student
sophomore,5,own police
sophomore,5,not successful\further purpose\further educational purpose
sophomore,5,amazing campus
freshman,5,helpful easy\helpful
freshman,5,good\very strict alcohol
freshman,5,able\good one\too loud
freshman,5,financial aid\not hard\as much\possible
freshman,5,amazing\pretty good size\social atmosphere\not terrible\manageable
freshman,5,own room\good size living\right\less
freshman,5,great\good buffet\small café
freshman,5,small school\great\easy\easy\unique\very nice campus\different school\perfect\close home\offer same curriculum\other university
freshman,5,awesome\highly educated\great\good game development
freshman,5,
freshman,5,most strict component
freshman,5,good housing\good housing\true\true\nice\spacious\good\homelike\allow good opportunity\sociable fun
sophomore,5,post program\post secondary program\certain rank\ready\high school
alum,5,great\special education program
alum,5,easy\meet new people\many people\willing
alum,5,many student\socialized drinking
alum,5,great\feel unsafe
sophomore,5,come easy professor\willing
sophomore,5,provide many degree option\excellent school
junior,4,very affordable college\short\positive
junior,4,very affordable college\short\positive
freshman,4,high school\take dual enrollment class\provide great opportunity\few year
freshman,4,offer small\mid size\mid - size class\small university\diverse student population\offer several program\medical
junior,4,have good experience\equivalent course\other credit\full year
senior,4,long time\very different\nice\small\enough
freshman,4,small university\many student\good place
freshman,4,high video\good reason\good several reason\inclusive\hardworking\friendly staff\financial adviser\financial counselling\much high professor\more personal tutoring\readily available\great deal\dedicated tutoring\other student assistance\several reason\high quality education\comfortable\supportive environment
sophomore,4,different college\good\very nice people\straight foward
freshman,4,second semester\not much\close\fun thing\new thing\new interesting thing\good\spectacular
sophomore,4,Most\interested\feel safe campus\see more security
junior,4,very comfortable setting\friendly\clean\abundant
sophomore,4,easily assessable\whole campus\good part\how affordable\accommodating
sophomore,4,prefect space\large campus\Most people\extremely friendly\extremely helpful\great\new student
freshman,4,learn well\Most\good\that good\good\social work\friendly\bad\negative experience\other student
freshman,4,always available\many resource\many free resource\free\free black\white printing\free help\same\make sure student\well\much less meal option\more personalized approach\so many resource\many extra resource\as many student
sophomore,4,good affordability\great professor\unique degree\such game\perfect choice\afraid\crippling debt
junior,4,small college\small nature\vested interest\real complaint\extremely knowledgeable\only complaint\late afternoon class
junior,4,cheap gem\available\large university\small campus\quick commute\very accessible\open conversation\healthy option\reasonable facility\reasonable athletic facility\thriving metropolis\able\unique experience\short car ride
sophomore,4,good college\good sized college\too big\too small\small\pay specific attention
freshman,4,great college\beautiful view\small class\most teacher\reasonable\high degreed\hard time\overall time\most\friendly\great
freshman,4,very friendly college\other student\friendly\very easy\make new friend\find new study buddy\only downfall\giant flood wall\also occasional sound\other\terrific college
freshman,4,great college\great student
senior,4,small\very helpful\eager
junior,4,own space\mixed feeling\actually interested\own way
sophomore,4,small\intimate campus\able\real relationship\other faculty\really nice\provide different event\even special night\special themed night\overbearing\shawnee\good campus\small\intimate college campus\more\'s academic achiever\overall experience\great
senior,4,so welcoming\inclusive\incredibly diverse\small\rural town\extremely helpful\easy\know other student
freshman,4,shawnee\good interest\good
sophomore,4,very amazing school\all amazing\nice\very good job\feel comfortable
freshman,4,key saying\shawnee state\willing\most\many way\great diversity
sophomore,4,small\different group\easy way
junior,4,large class size\rather big\small school\small high school class\rather big\typical class\seem boring\past year\rough grader\very knowledgeable\helpful\very special\major\very attractive college
junior,4,local company\mock interview\real deal\possible candidate\great\future place\open position\good\good\willing\to equipt student\most valuable knowledge
junior,4,have multiple night\multiple late night session\really late\feel secure\single stall\feel uneasy
