junior,5,good\easy
alum,5,tight community\how small class\very intimate\welcoming
alum,5,online portion\wonderful\organized\easy
other,5,extremely happy\online college tour\not disappointed
other,5,beautiful\extremely happy\amazing theatre\creative writing program
junior,5,so friendly\welcoming\beautiful\give good vibe\big bonus
sophomore,5,amazing
sophomore,5,online\most\great job communicating
senior,5,beautiful campus\very nice spring
senior,5,few class\post audio lecture\easy
senior,5,awesome school\online program\exceptional
senior,5,diverse\easy\online distance\exceptional
sophomore,5,great community\strong focus\strong environmental focus\so glad\first year
sophomore,5,great experience\online learning\very involved\much well experience\online college class\high school
alum,5,incredibly unique college\many resource\available\vastly underrated\special place
alum,5,incredibly unique college\many resource\available\vastly underrated\special place
sophomore,5,online class\great\very accessible\online class\high school
sophomore,5,amazing school\great learning\friendly atmosphere\how nice freshman\very happy
sophomore,5,excellent resource\wonderful friend\wonderful lifelong friend\fantastic teacher
sophomore,5,interesting transition\online class\find other student\online class
sophomore,5,interesting transition\online class\find other student\online class
freshman,5,many friend\several time
sophomore,5,great school\small student\learn easy
sophomore,5,few class\compare great
alum,5,great\very open\minded\genuinely concerned\beautiful\great place
freshman,5,very enjoyable time\perfect size\to big\small\very friendly\boone
freshman,5,online due covid-19\very caring\supportive\take certain thing\very easy learning experience\hard time
sophomore,5,feel important\incredibly kind\inclusive
freshman,5,first year\super sad\second semester\cut short\so many people\many good people\meet wonderful people
senior,5,More parking\second degree
freshman,5,always available advice
alum,5,many thing\many iconic thing\favorite hangout\favorite hangout downtown\favorite hangout\favorite store\favorite outdoor store\favorite place\asu life\wonderful\supportive environment\general community\small class\great option\great residential option
freshman,5,excellent atmosphere\perfect\perfect college town
freshman,5,great atmosphere\beautiful location\amazing\other school
sophomore,5,absolutely amazing university\so beautiful\so different\good\big campus\very small community
senior,5,devoted\promote academic\personal success\not enough parking spot
sophomore,5,sad\amazing\great weekend\out door thing
sophomore,5,great location\outdoor adventure\small town\great place\well\worth\more diverse\allow more opportunity\more\financial aid
sophomore,5,great option\perfect size
junior,5,relatively unsure\cheap\first couple week\even overwhelming time\much small\high school\single professor\fully dedicated\many way\many different way\absolutely beautiful\entire atmosphere\feel calm\wonderful school\memorable experience
freshman,5,how close\athletic atmosphere\how much athletic
alum,5,incredible university\beautiful location\many\very kind\helpful\perfect
freshman,5,easy\painless experience\very easy\tolerable\good experience
sophomore,5,majorly diverse college\contain many group\many different group\able\close friend\enjoy most\same thing\nice\able\meet new people\little\all small\take several hour\worth class\make sure\too unbearable\set free time
sophomore,5,beautiful campus\amazing\very passionate\amazing experience
other,5,few year\very excited\own journey\unmatched\large scale\academic rigor\top notch\amazing professor\'s good interest\appalachian state\excellent experience\excellent overall experience
sophomore,5,more active\involved\make many friend\learn many thing\short time\many club\different culture
senior,5,very welcoming\friendly school\small\more intentional community
other,5,amazing\large\friendly people\worth bit
other,5,clean mountain air\excited
junior,5,friendly\helpful\awesome city\awesome little city\feel safe campus
other,5,full\kind people\other college\very impressed
other,5,beautiful scenery\so nice\helpful\even big reason\good veterinarian class
junior,5,good thing\engaging\easy
alum,5,small mountain\beautiful\so many thing\several opportunity
junior,5,very strong support system\available student\most part\willing\work extra\make sure student\able
junior,5,perfect fit\undergraduate student\easy
freshman,5,incredible\how beautiful\beautiful mountain\come true\incredible\bad review\very nice\always willing
freshman,5,beautiful\pretty nice\around nice place
sophomore,5,great school\most part\most school\there student
junior,4,well\other school
freshman,4,great university\more intimate setting\perfect size\brief distance\incredible\several shop\other place\beautiful scenery\amazing experience\amazing natural experience\athletic program\phenomenal\athletic event\pretty much\interested\see more diversity\predominantly white institution
freshman,4,online learning experience\new learning\new primary learning format\many issue\many technological issue\receptive\willing\several study spot
freshman,4,covid restriction\hard\meet new people\Most\online\that great
sophomore,4,so more home\more diverse population
other,4,good program\good academic program\academic course\wonderful community
sophomore,4,online class\difficult\online summer class\very helpful
freshman,4,overall environment
alum,4,last half\good\not easy\make sure transition\as easy\possible
junior,4,good campus\only\bad thing\get used
junior,4,excellent
