sophomore,5,intimate class size\private campus
alum,5,liberal art university
sophomore,5,great academic\progressive people\pretty small\great location\beautiful campus\wonderful people\wonderful kind people
freshman,5,substantial amount\financial aid\very great job
sophomore,5,wonderful college\interpersonal skill\good education\possible\small\beautiful\big\so more people
freshman,5,high school\senior year\right choice\beautiful place\diverse place\uncomfortable\so much support\fellow classmate\so small\very kind\good part\financially stable\free smoke environment\stay healthy\less polluted
senior,5,size beautiful campus
alum,5,great food\great activity
senior,5,individualized focus\pre\pre - post\- med post baccalaureate
sophomore,5,more personalized class\very friendly environment\very diverse culture
freshman,5,
sophomore,5,first year\most beautiful\supportive campus\second\real sense
sophomore,5,valuable education\more\happy\feel safe\numerous support network\expensive\lucky\federal student aid\worth\high graduation success
junior,5,old\beautiful professor\excellent\private college\significant scholarship fund
other,5,beautiful\nice school\really safe\amazing\different background\cheap\super expensive
other,5,so diverse\happy\lovely\nice campus\good
senior,5,small class size\great\friendly\old\awesome\next fall\accelerated degree program
other,5,really beautiful
alum,5,highly accessible\small\great
sophomore,5,private college\ethnically diverse\many student\many place\many different place\very small\final year\really expensive
junior,5,good decision\small\more relationship\more personal relationship\other campus employee\rather high\completely confident
junior,5,great experience\excited\small\have small class size\really conducive\able\other classmate\expensive\worth\financial hardship
junior,5,so nice\great option
freshman,5,few alert\mad man\only harassment\international student\not ok
freshman,5,extremely comfortable
freshman,5,much more\so interested
freshman,5,few people\few glass\social justice issue
freshman,5,not pervasive
freshman,5,extremely diverse\most part\extremely welcoming\'s political belief\clearly liberal\well support\well official support\ethnic diversity
freshman,5,able
freshman,5,greek life
freshman,5,incredible school\well school
freshman,5,sexual assault case\more careful
sophomore,5,Most people\single room\amazing\beautiful\nice
freshman,5,
freshman,5,few school\fairly small\humorous\strong\strong open leader\open minded leader\great opinion\great respectful opinion\how beautiful\relaxing
sophomore,5,social justice\great\excellent
other,5,so open\supportive\old student\new student
junior,5,unique\exceptional\extensive research\most passionate\accessible\passionate\articulate\outspoken\socioeconomically diverse\other college\varied life experience\dynamic\highly educational\exciting\high school\pleasantly surprised\influential people\masculinist\heteronormative\capitalist narrative\social justice movement\social justice movement\white privilege\recognize implicit bias\influential people\MORE
junior,5,academic program\amazing\impressive resume\wonderful campus\particularly impressed\easy\interested\true meeting\more challenging\ed school\more challenging\ed school\ed high school
freshman,5,absolutely amazing professor\awesome class\easy registration\easy online registration
freshman,5,eclectic\lovely variety\grassy\green area\fun thing
freshman,5,fairly sketchy\other part
freshman,5,so many place\many great place
