freshman,5,kind\uplifting\positive
freshman,5,amazing people\great staff\outstanding academic\great place\pre\pre - student\- med student\make sure\top school\top medical school\good place\new people
junior,5,average\genuine care
freshman,5,really good school\connected\successful\offer many donation\provide incoming student\small\excellent\willing\very caring\supportive\other
freshman,5,amazing college\overall environment\overall social environment\positive\strong\other student
sophomore,5,more diversity\more opportunity\international student
sophomore,5,how friendly\make sure
alum,5,undergraduate year\so kind\considerate\multiple time\complex\difficult
alum,5,irreplaceable\unparalleled learning\lasting friendship
freshman,5,enough\great program\great academic program\intelligent\caring professor\beautiful campus\diverse student body\many thing\many other thing\also glad\liberal art school
other,5,offer many benefit\other college\other culture\so inviting\whole experience\amazing
sophomore,5,hard\good year\amazing
senior,5,small class size
freshman,5,very happy\great professor\reasonable
alum,5,amazing\so friendly\encouraging\very personable\helpful\able\expensive\well worth
freshman,5,welcome academic community\social life benefit\gorgeous campus\first class\first few class
other,5,great communication\very friendly staff
other,5,very intrigued\happy\right place\so happy\next step
freshman,5,excellent\so helpful\first year\more food option
senior,5,amazing experience\public school\engaged\intelligent
sophomore,5,make sure student
senior,5,great institution\truly grateful
junior,5,able\so many people\short time\great\very fascinating question\really cool
senior,5,diverse opportunity\find different activity\academic advisor\make sure
freshman,5,small college atmosphere\close relationship\small college\excellent\look amazing\small\get more\fun\great experience
freshman,5,very helpful staff\timely matter\friendly atmosphere\seemingly friendly student\very motivated
freshman,5,very good university\good christian university\top rank academic
junior,5,make sure\really good environment\good educational environment\possible
other,5,close\such\pine cone
junior,5,good choice\exceptional\fantastic\available student\wonderful\very friendly\open\deep conversation
freshman,5,excellent\open\easy\short amount
freshman,5,very welcoming\intelligent campus\unique story\wonderful reason\great school
freshman,5,amazing university\good choice\amazing\great support system
junior,5,great\very welcoming professor
sophomore,5,amazing community\only thing
junior,5,incredibly unique\many way\other school environment\genuine\committed
junior,5,great school\beautiful campus\top notch school
junior,5,amazing growth\amazing spiritual growth\incredible relationship\stellar academic
sophomore,5,easy\fast\first week\extremely helpful\stressful\fantastic\so much\first year\second family\christian college\much\how wonderful\slight\great\great academic\athletic opportunity
freshman,5,incredibly talented people\devoted professor\beautiful\safe\small\same people\committed
other,5,next year\more excited\few time\friendly staff
junior,5,huge emphasis\small school\easy\friendly
sophomore,5,perfect college\other religion
freshman,5,
freshman,5,great people\favorite professor\intellectual talk\just random talk\next minute\unplanned trip\super energy
freshman,5,excellent\expensive school\worth\interesting\challenging dorm\exciting\fun
freshman,5,very welcoming\make sure\new level\yield exponential reward
sophomore,5,incredible\good community\close minded
freshman,5,
freshman,5,perfectly balanced
freshman,5,different kind\available\such\single room\double\many option\many different option\flexible\different hallway\very friendly\caring
freshman,5,good
freshman,5,amazing school
freshman,5,big\small\great\too many major\basic one\great\very interactive
freshman,5,incredible\very qualified\very personable\amazing education\small class size\consider valuable
freshman,5,almost nonexistent\fun environment\Most student
senior,5,different class\most passionate\basic course\personal way\multiple professor house\big reason
senior,5,good study\lucky\amazing\possible
sophomore,5,wonderful
freshman,5,very safe campus
sophomore,4,amazing people\very inviting\clean\many place
junior,4,very much community\able\long friend\many club\small institution\limited resource\not much campus\most\scarce\stem major\small class size
senior,4,so welcoming\friendly\ready\real passion\academically rigorous\respected institution\great region
senior,4,available
freshman,4,international student\new environment\seem seamless
other,4,like\nice\clean\very colorful\cool
freshman,4,overall university\overall amazing university\feel safe campus\extremely friendly\small school atmosphere\completely different\extreme weather\overall experience\overall social experience
other,4,seem small
freshman,4,wonderful place\seek high quality\meaningful relationship\other student\diverse\challenging\personal view\human being\personal story\expensive\definitely worth\high sticker price
sophomore,4,so nice\many activity\round\great way\meet new people\only thing\bad\availble\not much option\usually bland\other\so many people\willing
freshman,4,how helpful\kind\big part
freshman,4,really nice college\big cafeteria\variable
freshman,4,great\helpful people\christian university\more\intellectually challenging\very good university
junior,4,amazing school\friendly\impossible
freshman,4,amazing school\great\great\small school\really nice\very pretty
freshman,4,great school\very generous caring\so high\christian school\positive way
freshman,4,very welcoming\helpful\easy\very diverse\enough resource\feel welcome\unpleasant moment\feel uncomfortable
freshman,4,big part
freshman,4,very enjoyable
freshman,4,very fun
freshman,4,really fun\enjoyable time\very good choice
sophomore,4,make great friend
sophomore,4,not sure
sophomore,4,great dorm\meet great people\close friendship\great\wish more people\not personable\approachable\next year\incredibly stressful
sophomore,4,greek life\greek life
sophomore,4,personal favorite\big sport\so many people\so fun\exciting\great pep rally\many student
sophomore,4,really great\big change\cheap\easy\great education\meet great friend\same\make sure student\able\find stable career
freshman,4,helpful
freshman,4,elementary education\available
freshman,4,pretty safe\feel unsafe security
freshman,4,excellent\adequate space\only thing\only weird thing\very little privacy\small\old woman\shy people
freshman,4,good\very excited\able
freshman,4,high school
junior,4,great\Most room\pretty small\provide enough space\least
junior,4,Most student\Most whitworth student\very supportive
junior,4,really challenging\necessary resource
alum,4,
alum,4,more expensive
freshman,4,willing\many course\many different course\responsible amount
freshman,4,
freshman,4,parked patrolling\very safe
freshman,4,
freshman,4,very strong fan\safe\more fan\very successful athlete
freshman,4,able\actually fun\new outlook\different people
freshman,4,great\very safe security\accessible
freshman,4,highly respected\rigorous courseload
freshman,4,common area\so nice\pretty average\well\average\great\most dorm
freshman,4,so friendly\actually useful
freshman,4,great\extremely small\very beautiful\few downside\how expensive\worth\hard\different club
sophomore,4,very helpful
sophomore,4,difficult\wonderful\have great relationship\most\Most\small\few\great learning environment
sophomore,4,fun
sophomore,4,not crazy\crazy important\very nice\academic need
sophomore,4,wonderful community\great support system
senior,4,great\wonderful\difficult\interesting\fantastic\independent study\know more
sophomore,4,very active\sexual assault\still present\very active
sophomore,4,very good program\good campus opportunity\amazing
sophomore,4,hard work\stressful\definitely worth
sophomore,4,nice\clean\laundry system\so old\least\less\pay enough
sophomore,4,other
junior,2,many thing\online work\new\feel fine\most work\most online work\many\easy work\other task\other various task\online work
other,2,great campus\great small campus\strong\beautiful campus\close\fun night
senior,2,so partying
freshman,2,wide variety\bad stomach cramp
alum,2,pretty small\underground\off campus
