junior,5,amazing\second home\other university\honest
senior,5,friendly family atmosphere\feel welcome\fantastic\dedicated
freshman,5,online class\hybrid class\interested\hybrid class
freshman,5,small class
sophomore,5,incredible one\meet ton\amazing people\different culture\southwestern
sophomore,5,online class
junior,5,awesome
junior,5,next year\awesome
freshman,5,friendly environment\super helpful
freshman,5,such assignment\upcoming quiz\really helpful\more connected
freshman,5,make new friend
sophomore,5,good\very helpful
sophomore,5,great\good
freshman,5,incoming freshman\overwhelming\very helpful\responsive\more grateful
freshman,5,good experience\good education\able
freshman,5,very glad\good university\so friendly
junior,5,good experience
freshman,5,very friendly\willing\close relationship\how small\nice experience
freshman,5,easy\extremely nice
freshman,5,friendly\big family\many\many extra activity\extra curricular activity\so nice
junior,5,great experience\small size\able\make meaningful connection\many opportunity\many amazing opportunity\safe place\major\great\passionate\great school
sophomore,5,small campus
junior,5,great school\successful adult\successful young adult\other school\most part\really friendly
sophomore,5,great\really good teacher\really good program
sophomore,5,extremely welcoming\spiritual experience\other\great family\great big family\truly amazing
junior,5,’ quiet\peaceful\very friendly\only thing\spiritual condition
sophomore,5,so friendly
junior,5,unique program\eligible
freshman,5,great school\wonderful teacher\good grade\friendly environment\nice people\sad\broken\overwhelmed
junior,5,different country
junior,5,good department\good athletic department
junior,5,very safe\secure
junior,5,several
sophomore,5,small
freshman,5,big part\make sure\safe\secure crime
freshman,5,so unique\certain school\homeless shelter\enrolled\fresh start\perfect school\successful
sophomore,5,very safe\very secure
sophomore,5,always friendly\willing\excellent professor\always willing
freshman,5,very safe school\very safe
freshman,5,great
freshman,5,great
freshman,5,very comfortable
freshman,5,very important\good sport program
freshman,5,good\great environment\great help\amazing\great ratio\just amazing
junior,5,really safe campus
junior,5,
sophomore,5,very safe campus\great environment
senior,5,huge change\special\big family\always willing\friendly campus\public school student\most
freshman,5,preventative measure
freshman,5,good\good adventist\affordable university
sophomore,5,able\learn more
senior,5,grand\able
senior,5,amazing
senior,5,good school
freshman,5,adventist system
junior,5,
junior,5,strict dorm rule
senior,5,other place\very supportive friend\diverse student population\promote cultural awareness\very supportive\helpful\friendly
junior,5,
junior,5,very friendly campus
junior,4,online experience\well organized\easy\online class\very easy time\efficient\worried\good job
junior,4,hard\easy\nice
freshman,4,quick access
sophomore,4,global outbreak\big change\good thing\amazing professor
sophomore,4,most\well person\more involved school\integral part
senior,4,other\get hard\new\right choice\other student
sophomore,4,diverse range\general chemistry\excellent teacher\also several opportunity\such\many thing\many other thing\good science
other,4,good\different event\good time\very genuine\sermon\good school\good christian school\good choice
sophomore,4,southwestern\very good college\good christian college\very focused\spiritual life\very good school\interested theology
sophomore,4,small student body\like feeling\small population\much outdoors life\interesting student
junior,4,very diverse\spiritual campus\kind\willing
freshman,4,good school\small\accessible\good
freshman,4,great\happy\financial help\willing\'s whole atmosphere
sophomore,4,small\good thing
junior,4,good\always willing
junior,4,very peaceful\quiet\good shape
junior,4,usually easy
junior,4,good
sophomore,4,offer great class\many career
sophomore,4,
sophomore,4,good walking distance
sophomore,4,great play
sophomore,4,great\friendly\small community\good student
freshman,4,due time
freshman,4,see different people\different culture
freshman,4,not familiar
freshman,4,online student\pretty sure sport\awesome
senior,4,make sure\strong\make sure thing\safe\extra help
senior,4,interesting experience\great opportunity\very understanding\academic growth\general
sophomore,4,bad good\bad
sophomore,4,good
sophomore,4,
sophomore,4,
sophomore,4,overall experience\great\spiritual\social\educational experience people
sophomore,4,good
sophomore,4,really interactive\social\fun\adequate rule
junior,4,very diverse group\really great
sophomore,4,great alumnus network\useful
sophomore,4,excellent professor\rather horrific
sophomore,4,how friendly school\good\most\positive environment
junior,4,great school\great friendly school\easy\tolerable
senior,4,own world
senior,4,good\easy
senior,4,so many option
senior,4,good\safe
freshman,4,really strict\illegal substance
freshman,4,stay focused\many friendship\many meaningful friendship
freshman,4,neighboring hospital\good\pre\pre - student\- med student\medical setting\also able\good job
freshman,4,unique\friendly environment\new people\not weird\so close\big city\stay focused\actual adult\high schooler\little bit\more freedom
freshman,4,really easy\make new friend
sophomore,4,christian environment
senior,4,great spirit
junior,4,great\very friendly\very helpful
freshman,4,
junior,4,more positive thing\negative
freshman,4,great
senior,4,very knowledgeable\great\really good
freshman,4,good\awesome place
freshman,4,small family\very friendly
senior,4,always willing
freshman,2,more campus spirit\more competitiveness\other school\legitimate football team\awesome
sophomore,2,tiny town\close town
sophomore,2,cute girl\cute boy
sophomore,2,run tiny diner\horrible restaurant\horrible mexican restaurant
sophomore,2,easy\lazy\small handful\very expensive\horrible\bad condition\tiny\so good luck\free time\small\lengthy drive\poor planning\stay open breakfast\horrible campus
freshman,2,much average variety\too much
freshman,2,
freshman,2,small school\small christian school
other,2,get old
alum,2,feel surprised
sophomore,2,well cooked\cooked most\wide variety\local restaurant\willing\other\often overpriced\many item
junior,2,boring\only thing\only popular thing\that fun\whole campus\quiet\too much
alum,2,somewhat available\slightly expensive
junior,2,more popular sport\most boring\such soccer\more exciting sport\not fun
freshman,2,fast food\not many diner\many healthy diner\fast food
senior,2,
sophomore,2,quite hard\other program\available\further dream
sophomore,2,rustic side\great state\friendly environment\less
freshman,1,greek life
sophomore,1,devout\devout seventh day\bad student sermon\late\stupid thing
sophomore,1,
sophomore,1,even nerdy party\sad
senior,1,very big parking lot\big parking spot\other building
sophomore,1,maybe strong
