sophomore,5,great thing\major connection\current world\give great advice\beautiful property
sophomore,5,little\more difficult\interactive learner
junior,5,very caring\good\such\other graduate school\very knowledgeable
alum,5,old son\young son
freshman,5,good
freshman,5,very accepting\different background
sophomore,5,good
freshman,4,strict\successful
freshman,4,favorite experience\international student\special part
freshman,4,very reliable\convenient
sophomore,4,real\most college campus\standard menu\fairly elegant meal everyday\several vegetable\wonderful food\good price\simply excellent
freshman,2,strong need\recreational building
freshman,2,available housing option\Most student
freshman,1,
