senior,5,take several class\several online class\online learning\smooth\easy\able\very patient understanding\technical difficulty
freshman,5,overall school\overall good school\other visit\exceptional\very professional\kind\overall environment\positive homey\very excited
freshman,5,incoming student\online class experience\covid orientation\online orientation\great\current situation\online class\great
senior,5,online platform\much smooth\available\overall
freshman,5,not bad\only thing
junior,5,so unique\overall atmosphere\own field\rare
other,5,great\over night
other,5,more\traditional university\small classroom setting\well\right path\offer several opportunity\such\more
freshman,5,very spotty\great professor\terrible one
other,5,do contemporary music research\contemporary music development\very perspective\more concert\contemporary composition\ensemble wind\ensemble\repetitive
other,5,great academic\extra activity
alum,5,offer great experience\flexible\able
freshman,5,beautiful\very excited\own\very big\beautiful\well
senior,5,high school\very involved club\able\new opportunity\bright future\first year\feel confident\unique\public speaking
alum,5,great curriculum\wide variety\great campus
senior,5,impressive\other college\impressive faculty member\dedicated\accomplish individual goal
sophomore,5,very credible
junior,5,great experience\glad
junior,5,available\individual need
freshman,5,good decision
senior,5,super involved\close friend\happy
freshman,5,fantastic\outstanding\very vibrant\good energy\so much\amazing\so many friend\many wonderful friend\proud\very grateful\well\more way\add more bus service\more sport\grateful\wonderful school\fantastic
junior,5,so many opportunity\many great opportunity\help other community\other broken community\very helpful\easy\very understanding\other peer\great energy
senior,5,small class size\convenient\helpful
sophomore,5,great community\great pride\so many option\small\able\find crucial
sophomore,5,really wonderful school\immense amount\extremely useful\able\first semester\easy\real sense\meet new people\easy\intimate group\small\little\more healthy option\so certain student\as much\wonderful place
freshman,5,great place\extremely challenging\great\good\pretty good\really smart choice
other,5,incoming freshman\very excited\happy\homely feeling\how friendly\involved
freshman,5,great program\great small program\other school professor\big campus\nice\excellent job placement
sophomore,5,great experience\academic class size\very small\most\friendly\approachable\large lecture hall\more half\full\wonderful school
other,5,very good experience\online application\easy\too complicated\very good thing\very impressed\very good school
freshman,5,kind\other\big family
junior,5,overall experience\great\very pleasant\welcoming\bad area\worth\whole faculty\completely safe\public\make sure\okay\amazing\different part
freshman,5,successful\active\as much\possible thing
junior,5,wonderful\helpful\beautiful\not many\meet several student
sophomore,5,worthwhile\top notch\eat well school\pretty nice\even non\non - student\- music student\several\several large\large common hangout\like\impressive library\significant complaint
freshman,5,first choice\pretty nice university\not full student\full decent student
junior,5,great staff\outstanding student body
other,5,great\well organized\very helpful heart
sophomore,5,second semester sophomore\independent\free\learn great way\real world
alum,5,many organization\high\most money
alum,5,amazing professor\other organization\fully prepared\small
junior,5,diverse campus\other people\safe environment
junior,5,more\major\all amazing\worth\always small
junior,5,well respected\real world\willing
sophomore,5,very warm\positive atmosphere\very welcoming\very diverse\open\different culture
sophomore,5,big\well
sophomore,5,great\good time\good friend
sophomore,5,always great\sure
sophomore,5,so many program\many different program
sophomore,5,
sophomore,5,
sophomore,5,entire summer
senior,5,safe\great job
senior,5,very nice complex\multiple gym\awesome\small school
sophomore,5,get involved\greek life\have numerous discussion\general
sophomore,5,excellent engineering program\same job
sophomore,5,
alum,5,great experience\academic counselor\different internship\recevied college credit\great opportunity
alum,5,different backgroung\major\worthwhile\feel alone\certain lady
freshman,4,Most\online\other\many people
freshman,4,supportive\small\form close relationship
senior,4,nice\kind\well education\more specialized tech
senior,4,online format\same experience\minor coding
senior,4,excellent program\top notch\impressive faculty
junior,4,really nice campus\Most course\easy\academic building\next\other People\very diverse
junior,4,really nice campus\Most course\easy\academic building\next\other People\very diverse
freshman,4,first year student\so many area\alone time\overcrowded
freshman,4,consistent clarification\certain professor\favorite\more understandable\easy
sophomore,4,large school\plenty cozy\no more\short walk
junior,4,online experience\so stressful\most\many\many\new assignment\new weekly assignment\very difficult
junior,4,spend most\see much\generally great\small\sometimes small\easy\other
sophomore,4,pretty good school\get used
junior,4,online class\have other class\online feature\overall experience\fairly adequate\timely\online\easy
junior,4,main reason\quite small\well learning experience\receive more attention
sophomore,4,good\least\lucky\great\well\same price
sophomore,4,online learning\not bad\learn well\so online learning\bored\ideal college experience
senior,4,open individual\open minded individual
senior,4,very personal\very involved\most amazing experience\everyday easy
senior,4,many\academic advisor\not familiar\great job\multiple video meeting\comparable\good thing\offer online class\still full time\specific situation
alum,4,online course
alum,4,good school\visit fellow student
alum,4,current event\solitary time
sophomore,4,pretty good professor\many kid\great time\greek life\huge campus\good idea\many club
freshman,4,really nice\still serious classwork
freshman,4,overall experience\great\sad\cut short\black female\see more representation\black professors/ sorority
junior,4,very positive experience\find great success
other,4,very supportive\open\minded\large\local\fairly easy
other,4,good area\very clean campus\very big safety\graveyard hour\different major
freshman,4,great place\big pro\exceptional\constant innovation
alum,4,become involved campus
freshman,4,great experience\well\big pro\so many student\become connected\great connection\disappointing
other,4,feel safe\comfortable\many club\top major
sophomore,4,small school atmosphere\okay\able\other\small\very helpful
freshman,4,large amount\major club\many thing\get bored
freshman,4,first year college\worried\very helpful\like most\okay\not huge\small campus\close vicinity
sophomore,4,very expensive\all nice
other,4,neat enviroment\expensive
junior,4,how tight community\real sense
sophomore,4,very kind\human being\right friend\beautiful\close\full\different\interesting activity\passable\sometimes unbearable\other food area
senior,4,great school\very good area\good\incredible
freshman,4,amazing school\very diverse fist\good\livable\gorgeous\new\regular freshman housing\very helpful\super\super sweet
freshman,4,open campus\public safety\feel safe\very big academic\very important
sophomore,4,fantastic
alum,4,good school\very active campus\very cliquey\little\most\normal college experience\well funded\more diversity\major elective\other management class\few marketing class\more selective\more intellectual\competitive learning space
freshman,4,second semester\very experienced\fresh air\high school\not insurmountable\diverse\engaging student\full sport
sophomore,4,amazing\social life\well\more student event\more involved
alum,4,good education\great experience\full diversity\good school
freshman,4,small school\big university\great club\huge campus\only thing\well
sophomore,4,Most\more\willing
sophomore,4,very good\good professor\few professor\few terrible professor\overall campus\nice
freshman,4,great major\excellent program\so expensive
alum,4,great undergrad experience\great professor
senior,4,able\great internship\nice\well\great idea\quad apartment
