alum,5,amazing campus\extremely important\nice sunset\so big\small community\many club\great\say positive thing\late night\special place
freshman,5,patient question\great environment\online student
junior,5,great school\amazing people\very friendly professor
other,5,high school\easy
other,5,feel safe\high school
sophomore,5,amazing college\more
sophomore,5,fantastic\so many people\many great people\gorgeous\more diverse
senior,5,beautiful campus\excellent faculty\involved\great reputation\online program
senior,5,several program\several online program\easy experience
other,5,very excited
other,5,very excited
freshman,5,good\online learning\very clear\due date
freshman,5,very helpful\little
freshman,5,key\make availale
senior,5,easy\portal professor
other,5,online learning\online offer\incoming freshman
other,5,physical mail\upcoming opportunity\eligible\high school senior\very stressful\due date
alum,5,online course\easy\easy\provide relevant information
alum,5,learn excellent program\very engaging\able\apply real life experience
freshman,5,able\yet due covid-19\great job\handle online class
freshman,5,online learning\easy\able\use such canvas
freshman,5,hear great thing\overall atmosphere
freshman,5,incoming freshman\very impressed\perfect school
freshman,5,incoming freshman\very impressed\perfect school
freshman,5,amazing school\amazing opportunity
freshman,5,many professor\whole\even individual
junior,5,big campus\numerous club\very accommodating student\such
junior,5,past semester\cvid-19 situation\good combination\own home
junior,5,great\great job\very diverse\amazing life\amazing greek life\fun sporting event
junior,5,online class experience\solid professor\very understanding\same\little\little less\usual\great\most interactive teaching experience
sophomore,5,original building\vintage architecture\feel important\all eager
senior,5,great campus\nice\very active\great place\very good
freshman,5,upcoming year
sophomore,5,interesting
junior,5,other university\amazing food\beautiful campus\much more
junior,5,covid-19 class\online\last month\past semester\online experience\as good
sophomore,5,so easy\genuinely interested\so kind\welcoming
sophomore,5,make sure\online friendly
freshman,5,well\full semester\very nice\exceptional\great\great\great\full term
sophomore,5,great experience\able\other school
alum,5,great part\huge campus\diverse interest
alum,5,few course\few online course\primary software
freshman,5,incoming freshman\great resource\high school\unprecedented time
freshman,5,similar\traditional classroom
sophomore,5,great faculty\great student\numerous service
freshman,5,big transition\insane amount\good friend\first time
sophomore,5,beautiful campus\so many place\great area
freshman,5,come true\true identity\first step\last\single person
sophomore,5,great\very hard transition\as good
freshman,5,huge\small world\good people\so many opportunity\good decision
alum,5,new building\original building\own pathway\own unique pathway\natural wonder\multiple state park
freshman,5,online course\very seamless
