sophomore,5,very helpful\online class\same quality material
sophomore,5,wonderful\kind\caring\always willing\great\small\more diverse culture
freshman,5,great\well\severe food allergy\decent\not much
freshman,5,close type\small\easy\no more\very nice
other,5,take online class\technical difficulty\super nice\overall experience\great\much more
sophomore,5,small town school\helpful\nice\make sure
freshman,5,prepared\friendly\modest\just right\international\american culture\sketchy\good condition\pretty good
senior,5,important\great environment
freshman,5,small school\great program\great stem program\very helpful\good work ethic\small school\great sport team\cheap end\very active\many club\very easy
other,5,early enrollment\several occasion\amazing\friendly\other college
freshman,5,relatively small campus\small student\overall feel\large institution
junior,5,overall education
junior,5,seem small\uninteresting\big town\high expectation\full\friendly\amazing people
junior,5,greek life\most dedicated\full spirit\greek life\huge impact\huge positive impact
junior,5,amazing\whole school\very supportive
junior,5,amazing student\dedicated leader\great asset
sophomore,5,very prominent student\different
sophomore,5,pretty great\not many thing\regular student\less\nice
junior,5,mechanical engineering
junior,5,
freshman,4,great\same area\great location\very kind\helpful
freshman,4,very interesting\difficult\aesthetic
freshman,4,great experience\little\little hard\awesome\really nice\more thing
junior,4,good school\good reputation\good culture\good classmate\more interested\other campus\few flaw\few fatal flaw\few teacher\few poor teacher\terrible food
freshman,4,’ close home\’ small\too small\offer great security\feel safe
junior,4,very good school\really good\professional\only problem\small city\such\very active\very good\pretty good men\last year\final tournament\really good
senior,4,small class size\more research opportunity\more option\many class\many class\many other class
freshman,4,awesome\very friendly\other\next class\sufficient time\very nice\only thing
freshman,4,offer many variety\become safe\american flag
sophomore,4,small class size\very personal experience\get more one\widely respected engineering program
freshman,4,very supportive\very good recognition\hard work
freshman,4,very helpful\so easy student
freshman,4,perfectly spacious
freshman,4,friendly tutor\great
junior,4,hear much\negative
junior,4,okay
freshman,4,great school\small class\overall college\overall great college experience
junior,4,very helpful\get more
junior,4,at least\very beneficial
sophomore,4,very serious drinking\very hazardous
sophomore,4,great\actual application\simple\thorough
sophomore,4,many student\many international student\own culture
sophomore,4,only thing
sophomore,4,
sophomore,4,relatively low crime rate\little higher/
junior,4,More\More challenging\go high
junior,4,
junior,4,great\pretty slow
junior,4,
junior,4,dry campus\free
senior,4,great\most\large school
freshman,4,more
freshman,4,provide adequate computer
freshman,4,make new friend\other equipment
freshman,4,large college\very pleased cost\high school\attend last year
freshman,4,right people\illegal substance\keep illegal drug
sophomore,4,delicious
sophomore,4,fine\only lot\empty space
sophomore,4,not terrible\hard\never more\average student
sophomore,4,plenty area
sophomore,2,look edible\good week
junior,2,
senior,2,few place\few good place\late night option\get dull\few time\same place
senior,2,only night life\blue
senior,2,few restaurant\few local restaurant\sketchy bar\open
freshman,2,few food\few fast food
freshman,2,many people\really small\off campus\very close\fair\fast food\fine dining\key issue
sophomore,2,other\only option
sophomore,2,good day\bad day\little\little well
freshman,2,most school\certain sport\receive more attention\most attention\receive little\good\necessary\decent\other school\good\completely open
freshman,2,pretty outdated\certain part\high end computer\old computer\still usable\Most student\nice computer
sophomore,2,major upgrade\able\attract new student\first time\long time\other facility\old
senior,2,abnormally slow\not open\much\such
senior,2,very appreciated\not enough variety\stuck\complain much\overhear other student\bad review
sophomore,2,high tech\fun place
junior,2,small town\other
sophomore,2,remain open\Most\bad weather\how bad
junior,1,
junior,1,
sophomore,1,terrible meal\not cool\nice
freshman,1,only private party\few
senior,1,not safe\unlimited amount
freshman,1,very limited variety\not compatible
senior,1,unheard\receive little recognition
junior,1,
sophomore,1,os boring period\close friend
