senior,5,good teacher
junior,5,good opportunity
freshman,5,big blessing
freshman,5,go smooth\nice\very understanding
other,5,great\really helpful
other,5,so many people\so many walk\amazing
other,5,very comfortable\online system\very hard
other,5,last year\more advanced\dual enrollment
freshman,5,quite well\hard time\many option\very efficient\available\very efficient\helpful\most part\very understanding
freshman,5,great\very diverse\so many personality\many different personality\very supportive\very easy\manageable\very exciting\wonderful\many thing\many club\look good\also open\many idea\feel important\great start\big city\many tourist stop\good experience\new world
freshman,5,very helpful\academic advisor\very helpful\mindful\online\many resource\monthly meeting
freshman,5,easy\very easy\upload video
junior,5,amazing\second family\good friend\so many club\many different club
senior,5,amazing\so happy
senior,5,full life\excellent fit\more
other,5,big city\close home\good thing\athletic event
freshman,5,pretty nice\more free time\own schedule\learn more
freshman,5,online class\explanatory\most\answer most\first week\good\most teacher\much work\online class\great
freshman,5,online\know many people\good thing\excited
sophomore,5,second year\many culture\great\feel different\more accepted\great
other,5,great campus\friendly\diverse\many extracurricular\many different extracurricular\most notable university\notable public university\own schedule\dual enrollment\numerous amount
other,5,great scene\great online scene\fast reply\secure line\make sure none\outside user
sophomore,5,very smooth transition\online class\other faculty\make sure\as easy\possible
sophomore,5,quite nice\very easy
freshman,5,diverse school\several opportunity\become involved\local internship\only con\so many student\become difficult\covid-19 pandemic\hard\take long\incredible school\excellent education\well place
freshman,5,big appeal
sophomore,5,very diverse school\great campus\amazing\willing\bad thing
sophomore,5,online learning experience\online class\enjoyable
freshman,5,amazing professor\nice\very willing
freshman,5,great\great help
sophomore,5,only dislike\amazing
sophomore,5,take many class\many online class
other,5,usual student\usual poor student review\very fulfilling\stellar education
senior,5,excellent\extremely diverse major
senior,5,very progressive\online education\impressed\online experience\online educational experience
sophomore,5,have online class\use different platform\different online platform\best suited learning\fairly smooth transition
sophomore,5,take online class\such\great job\emailing video\make sure\aware
sophomore,5,love most
sophomore,5,past spring semester\solely online class\big transition\only online learning\easy\very helpful
alum,5,various type\see more class\more multicultural class
junior,5,great!great school\wonderful time\very easy staff\helpful
other,5,very intuitive\easy way\very simple
junior,5,extremely accommodating\online class\as easy\possible
junior,5,traditional face\very understanding\final exam\more flexible
junior,5,great job
senior,5,diverse university\different people\very kind\open\also free tutoring\huge plus
sophomore,5,cheap\most school\select professor\most part\pretty average
other,5,phenomenal\dual enrollment student\lively\helpful day\necessary\only thing\own effort
other,5,safe\open environment\other\effective manner\very few miscommunication
sophomore,5,so many job\many more job opportunity\great resource
sophomore,5,very understanding\helpful\difficult situation\online class\easy
sophomore,5,major change
sophomore,5,great time\able
sophomore,5,Most\much well
freshman,5,first class\way well\able\fellow classmate\understandable
sophomore,5,get involved\different organization\many people\become successful\mandatory\personal discussion\low
alum,5,excellent school\diverse setting\affordable\competitive academic\other university
freshman,5,first semester\good friend\amazing campus\relatively safe\shady\great atmosphere\amazing\southern
freshman,5,many job opportunity\favorite thing
freshman,5,amazing school\other student\always willing\other course\not bad\main campus\great\want intimate class\first year
freshman,4,diverse\decent institution\many website\many other website\crisp user\friendly\really exceptional
sophomore,4,pretty alright\most part\certain professor\too bad
senior,4,great university\great teacher\Most people\very friendly\helpful\very diverse\cool view\only negative\financial aid office\very slow\’ hard\’ great\overall most\horrible attitude
alum,4,ideal\right\ideal\fun\nice time
freshman,4,stressful\first couple\become easy\understandable
freshman,4,well maintained\good\always available
freshman,4,online class\fine
freshman,4,disappointed\hard\financial aid\frustrating\single parent house\pretty tight
freshman,4,online work\okay\hard\click many link\due date\click many link
junior,4,strictly ok\that great\heavily disorganized\live session\live session\same time\not good\particular class time
junior,4,pretty good university\very diverse\decent\that safe\include homeless
sophomore,4,online course\very convenient\many thing\’ great\online class\well understanding\important\take online course
sophomore,4,big campus\big city\good\friendly\certain class
sophomore,4,online class\too bad\able\constant communication\really good\bad experience
sophomore,4,good\good\social dynamic
senior,4,overall\great school\very fair\exceptional
freshman,4,about\first experience\full semester\easy
junior,4,small town\as overwhelming\more conversation\fifth star\lucky\going\willing\academic building\big city
junior,4,enormous amount\tough transition\constant eye\willing\various way\very humanistic perspective
freshman,4,other activity\not ideal
sophomore,4,supportive understanding\streamlined way\very large\spacious\easy\available\confused\why online course\same price\physical class
freshman,4,
senior,4,pretty good school\good program\great library\great diversity\pretty good\other school\good\external motivation\good school\good\same rule\most school\particularly important\traditional campus\accustomed\unique experience\normal life\few year
senior,4,take online class\only due covid19\great\other\so much
freshman,4,very good school
freshman,4,incoming freshman\fairly good\nice\charismatic\effective
alum,4,take online class\pretty good professor
sophomore,4,online learning experience\few class\few online class\more flexible\fitting\online course\great job\online field\online class\great resource\unsure
sophomore,4,white county\beyond ready\only complaint\more transparent change\basic aid\basic financial aid issue
senior,4,stay organized\consistent\not clear\very responsive
sophomore,4,so innovative\make sure student\good pathway
junior,4,diverse school\good campus\appropriate amenity\well\well
junior,4,whole semester\able\own pace
sophomore,4,good experience\most\good job
sophomore,4,favorite part\very different experience
sophomore,4,"past 3,going\overall experience\quite good\so big\meet new people\experience new place\quite helpful\high school"
junior,4,online class\nice\nice most\more difficulty\many\good job\online class\easy\easy overall\less assignment
junior,4,great school\great\right amount
alum,4,easy\asynochronous
sophomore,4,main campus
sophomore,4,negative\other\upcoming test\possible\bad experience
junior,4,great school\wonderful time\very easy staff\helpful
junior,4,difficult transition\very understanding\somewhat lenient
junior,4,enjoyable\enjoyable first year\boring course\boring prerequisite course\very interesting\meet great professor\really passionate\many professor\willing\ready\’s large\progressive university
senior,4,relatively low\great place
senior,4,pandemic\personal matter\online course\normal
sophomore,4,great\able\really close friend\second semester
freshman,4,overall out\as outstanding
freshman,4,great experience\great school\typical campus\typical communal campus\extremely entertaining\vibrant\worthwhile
sophomore,4,online instruction\easy one\many circumstance\many unforeseen circumstance\quick adjustment\very understanding\flexible\how different student\different circumstance\big factor student\make online instruction work
sophomore,4,very impactful\so pleased\as successful
other,4,overall\wonderful\diverse school\great experience\great educational experience\fantastic place
junior,4,so inspiring\encouraging\productive
sophomore,4,overall experience\rewarding\convenient experience\well\bad\more\overall campus safety\good\most
sophomore,4,online experience\bad\ready\slight confusion\major\same\Most student\direct\pre\pre - video\- recorded video\pre\pre - video\- recorded video\not enough
junior,4,interesting\interesting\most
junior,4,good college\good school\just convenient\wise\sorta\complicated\online
junior,4,online class\hard thing\hard\even hard
junior,4,so many people\many different people\different background\solid\feel confident\further study
junior,4,take hybrid course\online class schedule\upcoming semester\great effort\covid-19 pandemic
freshman,2,seem average\material\not clear\online adjustment\e.g. poor audio\dysfunctional timeline\very ambitious\also surprised\other freshman student\different institution
freshman,2,most student\major concern\broad daylight\only pro\able\repetitive\oily food\not mushy
junior,2,well professor\to upload lecture\same\few
senior,2,many\not familiar\online\good\recent one\very messy\confusing
sophomore,2,move online professor\become lazy\poor communication
sophomore,2,good time\enough scholarship money\clear understanding\good school\concerned safety\least
senior,2,see more safety\very social place\not social
alum,2,poor choice\very few course\available\also little\online course\vastly different location\difficult\late afternoon\online course\when possible\expensive\inconvenient\online campus\already fitting\much easy
junior,2,how easy\take online class\transient student\regard financial aid\too late\able\extremely unhelpful
other,2,few week\first year\as much\super sweet\other department\such\financial aid\extremely rude\feel respected\few day\most people\only thing
freshman,2,most mail\leave unopened\terrible attitude\little
freshman,2,not safe\huge drug problem\hard
other,2,great\only problem\only dorm\only good dorm\good dorm
sophomore,2,interesting college experience\local business\feel less\really different experience\average college student
other,2,not enough outlet\oral presentation\financial aid representative\erroneous advice\honest answer\hard\various department
sophomore,2,amazing\not good\mess many people\especially financial aid\wise\horrible
sophomore,2,strong\few spot\few bright spot\good teacher\terrible experience\dirty campus\questionable security
freshman,2,good luck\more stressed
junior,2,have several incident\also last year\feel safe
freshman,2,somewhat safe campus\homeless people
sophomore,2,too much
sophomore,2,unsafe
sophomore,2,overall experience
junior,2,down town campus\open
sophomore,2,feel safe
alum,2,
junior,2,strict policy\Most student
alum,2,
sophomore,2,greek life
sophomore,2,bad
senior,2,greek system\few sorority\involved
junior,2,due\so much administrator\well
junior,2,unprecedented\public string\armed robbery\go wrong\long upheaval\initiate much surveillance\where many\new notification system
sophomore,2,really bad\armed robbery
freshman,2,
freshman,2,not much involvement
freshman,2,complete side\complete opposite side\ok\awful\social atmosphere
freshman,2,greek life\greek house
freshman,2,very little campus life
sophomore,2,bad student\notorious library theft\instal more police
junior,2,safe\past month\harass several time\homeless people\take more measure
alum,2,how much help\much finical help\not enough room\next semester
freshman,2,other girl\second semester\other roommate\small space\not worth money\old\almost moldy\other\fine
sophomore,2,
freshman,2,not safe campus\so big
junior,2,
alum,2,Most campus\really expensive
alum,2,very strict\somewhat dangerous place
alum,2,financial aid\so complicated
sophomore,2,
sophomore,2,bad
junior,2,super nice\good interest\administrative nightmare
junior,2,terrible\nearby restaurant\decent
freshman,2,necessary\persistent
junior,2,lack athletic engagement\great\most student\like feel\athletic spirit
junior,2,old\good\single one
junior,2,very safe\homeless people\feel safe
freshman,2,bad\very expensive\good\wonderful place\whole semester\whole entire semester\cheap
junior,2,bad thing
senior,2,expensive\gross\wise option\famous restaurant
