freshman,5,good\helpful\online
freshman,5,
alum,5,like atmosphere
freshman,5,first year experience\great\meet different people\awesome\such activity\very good\make sure\everyday life\amazing\second home\first home\great campus president\very outstanding man\very involved campus\amazing college\only change\add more dining option
sophomore,5,feel welcome
sophomore,5,feel welcome
alum,5,great\traditional college experience\black student\learn much\amazing life\amazing greek life\academic setting\available\military college
other,5,great institution\superb\prestigious institution\good
sophomore,5,top\amazing\many door\nice\nice thing\well\successful
freshman,5,first choice\glad\very positive fun environment\many organization\different people\amazing\most\friendly\more hidden gem
junior,5,good experience\numerous people\possible
sophomore,5,
freshman,5,great\very active campus\fun\well\well
junior,5,pleased\determined\how professional\academic staff\large\recommend upcoming student\familiar\current student question\well pleased
other,5,have much experience\few experience\very great campus\very helpful\different diet
junior,5,upcoming junior\super helpful\friendly\more easy\glad
junior,5,authentic experience\future leader\next generation\musical skill
freshman,5,beautiful\there long\overall experience\amazing
junior,5,amazing\same birthday\amazing networking opportunity
junior,5,
sophomore,5,financial aid office
freshman,5,very good\very nice\respectful\positive energy\well spoken\very big\other\upcoming freshman\good\spacious\very good
junior,5,whole atmosphere\great\big family\different background\common ground\great feeling
sophomore,5,marvelous
other,5,excellent experience
other,5,very comfortable university\quick
other,5,few year\good time\so good time\first year\first few year\good\not happy\not professional communication\overall\much\little\build new dorm\old dorm\old dorm\eventual transfer\first college year
other,5,agricultural unit\very impressed\appear confident\able\easy\large variety\unique experience\different gender\certain distance\other
sophomore,5,determined\successful student\other\there good
junior,5,
sophomore,5,very good\extremely enjoyable\ecstatic
sophomore,5,so much activity
other,5,true\major class
other,5,great school\pretty sure\good\great academic
freshman,5,wonderful\other event\nice\lit
sophomore,5,make sure student
sophomore,5,open arm\be grateful\such comfort\such profound comfort\true
sophomore,5,love most\so much\so many organization\only thing
freshman,5,major need\high school
senior,5,learn more\maximum potential\always available student\great\great tutoring service\modern
junior,5,not perfect\great school\bad\really good\very poor\whole\very good school
sophomore,5,
sophomore,5,diverse college\major option\always willing\correct direction\great location\good part\able
alum,5,much
senior,5,wonderful instructor\very unorganized\financial aid
sophomore,5,amazing\big family\big happy family\great
senior,5,great\awesome\great college experience
sophomore,5,first year\very good\orientated\allot easy\new friend\very proud\excited\second year\make more memory
sophomore,5,other\real world\different perspective\offer many program\many different program\small\average\close relationship\friendly\offer great housing\great\consistent\daily basis\great school\proud
alum,5,make sure\good hand\warm\warm welcoming\friendly
freshman,5,beautiful campus\great engineering program\very diverse faculty
sophomore,5,so much\become confident\feel amazing
freshman,5,great experience\second semester freshman\right decision\african professor\african american professor\more
freshman,5,great place\black folk\other minority\happy
senior,5,recent alum\current graduate student\very committed\helpful
freshman,5,amazing\make many friend\other\most dorm\very nice\upper classman\great\great\somewhat well\most college\most other college\great thin\not modern\also old building\excellent
freshman,5,first semester\pretty good
sophomore,5,small community\very limited\black male\many possibility\great way\meet many friend\great\second semester
freshman,5,good\wonderful teacher
freshman,5,amazing\humble\very fun\Most\say bad thing
freshman,4,amazing learning experience\friendly professor
freshman,4,take online class\very good thing
freshman,4,many thing\good memory\bad memory\too fast\learn many life\many valuable life lesson\long friend\hard work\real friend\tough\great experience\good\bad\Most\good memory\good friend\most\bad memory\good memory\different sport game\attend many
freshman,4,online course\provide easy access\own home\online course\few reason\online education course\traditional classroom setting\full time\normal school hour\also online class\own\own pace\offer more\other student\interested\online course
freshman,4,nationwide virus\cut short\remote learning\remote transition\easy\make sure\good
junior,4,online learning\excellent\uploaded\very helpful
junior,4,most transformative hbcu
sophomore,4,online class\last semester\however online respond
sophomore,4,amazing\very rich\good
sophomore,4,provide many internship opportunity\ample amount\impeccable\small\small\traditional university\able\more due\less student\more hand
freshman,4,first year\next year
sophomore,4,great student\great event
freshman,4,great school overall\very distracted
sophomore,4,make sure
other,4,perfect order\lovely school\few month
junior,4,very good school\few change\too much\towed\high bill\high electric bill\other\really good school
freshman,4,very inviting\open\nice addition\great school\there student
junior,4,academic experience\so much\able\great mentor\first year\offer many opportunity\upcoming student\well rounded school\personal\scholastic finance\great achievement
freshman,4,good\very kind
junior,4,very good start\great\helpful
freshman,4,beautiful school\personal experience\good experience\illustrious\strong alumnus\small\comfortable university
freshman,4,able
freshman,4,many people\feel alone
sophomore,4,minimal assistance\minimal financial assistance
freshman,4,
junior,4,very engaged\very friendly\safe\very friendly\inviting
freshman,4,beautiful\ciasid
other,4,many occasion
other,4,actually great\great\very diverse\very welcoming\helpful
sophomore,4,other\small town\experience diverse setting\different people
sophomore,4,first year\great experience\nervous\very nice\helpful\alright\financial aide process\alright day\good\bad\convenient\major one\major\more challenging\alright\different step\good\feel safe\good
other,4,
senior,4,first year\strong presence\favorite part\how dedicated\possible\very polite\courteous
other,4,excellent\last year\great year\good\friendly people\amazing\very interactive\terrible experience
junior,4,unreal people\whole join\amazing
junior,4,very friendly school\fun atmosphere\amazing\successful\free environment\famous\beautiful\great\very comfortable
junior,4,really nice school\very easy\nice\most\that great\good café\seem vacant time\pretty ok\not many store\many good store\well mall
sophomore,4,good\really glad\very dependent\own
sophomore,4,
junior,4,good\well connected\strong relationship\able
freshman,4,great people\great friendly people\too much change\maybe more food option\nice
sophomore,4,amazing\well\big\not enough opportunity\well professor
freshman,4,
freshman,4,first week\very helpful
freshman,4,good walking distance\new dining hall\very nice\spacious\very old\need serious renivation\great
junior,4,great school\so many thing\right home\good education\possible
other,4,great institution\great academic institution\overall\average\historically black university\little more diversity\well activity\outstanding university
junior,4,superb school\frequently discourteous occasion\few laborer\most part\past\minimal\long way\most little\much\general\truly decent school\little school
alum,4,short\positive experience\full time student\hard challenge\real world\prestigious college\build such\such strong\amazing relationship\excited\able
freshman,4,really friendly\helpful\supportive\more\diverse staff\pretty good\helpful
freshman,4,good\big part\make different payment\more\where most kid\dead\more dollar\employed parent\employed single parent
freshman,4,wonderful school\outer limit\lively atmosphere\different student
senior,4,really good school\fun
sophomore,4,
junior,4,amazing campus\amazing opportunity\very welcoming
senior,4,so diverse\more diverse\diverse\personal need
freshman,4,good thing
freshman,4,
senior,4,most part\feel safe campus\little bit nerve\other\feel safe
senior,4,overall experience\great\feel involved
other,2,prospective student year\few year\many\great deal
junior,2,financial aid
junior,2,bad
