freshman,5,great university\multiple major\only thing\actual family\able
freshman,5,online experience\great\other\good
freshman,5,due cov-19\provide good program\good online program
freshman,5,1st year\few school\1st impression\how consistent\financial opportunity\right decision
junior,5,well\very helpful
sophomore,5,'s educational program\high school\very friendly\even great
sophomore,5,first time\great\fantastic\great\just chilling\more active
sophomore,5,take many hybrid\fully online class\great\very easy\very helpful\current pandemic
sophomore,5,
sophomore,5,amazing\great campus\’ close home
senior,5,friendly campus
senior,5,online learning experience\great\easy
sophomore,5,online class\friendly\easy access\easy access
sophomore,5,excellent instructor\good access\close campus\good program\available\correct career path
senior,5,provide educational support\available\second home\wonderful university
senior,5,fantastic\so much\good nursing school\top notch
alum,5,amazing time\small\large\excellent
freshman,5,second semester\friendly campus\common issue
freshman,5,great college\big classroom\very friendly campus
sophomore,5,wonderful school\superb\extra activity\extra curricular activity
freshman,5,financial guidance\athletic area\cut quaint\clean\excellent graduation percentage\good
alum,5,absolutely terrific school\good job\very good\so many friend\many great friend\so much fun\very few school\as affordable\as many scholarship\many good scholarship\Most professor\helpful\caring\really excited\new center\new med center\great\amazing
freshman,5,wonderful staff\only thing\only bad thing\very limited parking area\extremely beneficial
freshman,5,upcoming fall semester\many\only school\validate more
freshman,5,small\able\small class number\always clean\so helpful\good\good thing\more thing\such
other,5,how friendly\how easy\good staff\very helpful\considerate
freshman,5,amazing school\very diverse\many resource\expand other\first class\so worried\female\only 4'10
other,5,amazing\amazing\so kind\helpful
other,5,great\very good
senior,5,interesting\able\take major\concentrated class\wonderful\employ many\many caring\intelligent teacher\strong desire\many organization\many active organization
other,5,so friendly\right home\several time\future home
freshman,5,fun campus\fun friendly campus\get involved\great
freshman,5,friendly campus\good opportunity
freshman,5,friendly campus\easy\last year\very accessible\wide variety
other,5,great school\great benefit\great university
senior,5,easy\same comfort\feel close home
freshman,5,make sure\fantastic\make sure\make sure
sophomore,5,great school\so pleased\really great teacher\spacious\good\spend many night\intense study\not big\right fit\so happy mom
sophomore,5,beautiful campus\past year\other\kind word\wonderful school\prepared
freshman,5,very friendly\very excited\single school day
freshman,5,first class\good nursing student\general area
freshman,5,good environment\successful\so many thing\long friend\feel safe campus\where certain people
junior,5,friendly\open campus\internal house\always willing
sophomore,5,amazing experience\few year\extremely helpful\attentive\confused
other,5,beautiful\very friendly\helpful
other,5,feel safe\comfortable\very peaceful\also amazing
sophomore,5,overall experience\phenomenal\all amazing
freshman,5,good school\really nice\amazing experience
sophomore,5,excellent\available student
other,5,large college
other,5,very welcoming\unique
other,5,personable\so friendly\multiple time\make sure\feel comfortable\needed information
freshman,5,amazing community\so true\nice\southern college
junior,5,wide range\overall peer\friendly\kind\willing\several organization
senior,5,freshmen year\smooth sailing\amazing\senior\amazing school\new center
sophomore,5,able\many group\great school\many group\many different group\intermural sport\different sport\such baseball\international house\different part
freshman,5,very open\fellow student\very engaging\other\helpful\fellow classmate
senior,5,have great professor\competent nurse\clinical experience\much more\amazing\reasonable
senior,5,easy\engaged\willing\able\interesting\provide solid foundation
sophomore,5,future student\helpful\last semester\last minute notification\transgend man
freshman,4,how small\diverse\meet new people
freshman,4,covid-19 stuff\online class\hard\clear\that bad
junior,4,same dorm
sophomore,4,online learning\most aspect\ample time\very difficult\easily accessible
freshman,4,various portal\various virtual portal\free teacher\willing
junior,4,graphic design major\spend most\very encouraging
sophomore,4,friendly people\very nice\willing
senior,4,great campus\great people\long friend\good environment\very safe\local store
freshman,4,feel welcome\nice\expensive
sophomore,4,make sure\financial admission\super helpful
freshman,4,friendly campus\well\small class size\easy\personalized experience
alum,4,great school\supportive
junior,4,so many department\receive good funding\unfinished building
freshman,4,friendly campus\pleased\new campus\recreational building\cool\very professional\typical university\good time\good most time\good dining option\overall experience\great\learn new thing\meet new people
freshman,4,great\small town\big city\great\more\adequate
alum,4,small campus\less intimidating\small town\high school\extra activity\extra curricular activity\less\helpful
freshman,4,very diverse\multiple thing\new student\very campus\friendly\very understanding\helpful\first class\not ideal\multiple thing\not ideal
senior,4,most part\great school
senior,4,past year\large campus\large enough campus\small\feel involved\make lasting connection
freshman,4,amazing\large\still easy\due\major option\Most student\general requirement
freshman,4,about\extremely helpful\first generation\friendly campus
sophomore,4,great campus\supportive\encouraging\available\helpful
