junior,5,online class\terrible mania\procrastinate\first class\first online class\most amazing experience\own pace\always available\online class\different interesting\more interesting\take more course\more online course
junior,5,most\so friendly\super nice\good experience
junior,5,absolutely amazing campus\beautiful\safe\super easy\own dairy bar\own ice cream\awesome array\great friend
sophomore,5,overall\fun\diverse college\global issue\extremely friendly\feel welcome\first year\great\welcome bonus
junior,5,few course\few online course\great job\online learning\good professor
junior,5,fantastic place\amazing\great variety
sophomore,5,very welcome campus\very nice\clean professor\very understanding
alum,5,consistent semester\due\due\major assignment
freshman,5,seem small\least\easy
sophomore,5,beautiful campus\incredibly affordable\liberal art\stem degree\such nursing\like\very helpful\knowledgeable\literally countless way\wonderful community\use more campus event\more
sophomore,5,outstanding experience\next year
sophomore,5,outstanding learning experience\take online course
junior,5,wonderful\easy\kind\hardworking\custodial staff
other,5,great professor\always willing\many sporting event\great school\great state
other,5,high school senior\great\amazing job\so much
freshman,5,very inviting environment\new student\many event\new student\meet new people\great experience\first year advisor\great communication\very much diversity\more\least acceptance\least more acceptance
freshman,5,amazed\friendly student community\only thing\financial aid\international student\great
freshman,5,friendly staff\great\great campus
sophomore,5,great college\many opportunity\different place\racquetball\much more\intramural sport\beautiful\not huge\enrolled student\enrolled undergrad student\perfect fit
freshman,5,perfect fit\major
junior,5,great school\amazing\safe campus\great food\great dorm\many opportunity\well student\great distance\make new friend\great environment\feel safe
other,5,big campus\small town feel\big school vibe\big city\very friendly
sophomore,5,excellent place\great return
sophomore,5,awesome\rough
freshman,5,multiple field\interested\famous ice cream\unsure\most field\most major field\make sure\only change\additional parking lot\tricky\fantastic
other,5,great environment\kind\helpful
other,5,huge standout
freshman,5,first choice
alum,5,amazing\amazing\very safe\good college experience
freshman,5,immense amount\willing
sophomore,5,so passionate\feel alone\helpless\not hard\wide variety\available\really good\even well
freshman,5,fierce\okay people\always fun\great area\open
junior,5,helpful\amazing\smooth\less nerve
senior,5,right side-\small\too big\amazing\practicum internship\provide great chance\also wonderful\small town\many restaurant\many different restaurant\very close campus
alum,5,second home
senior,5,medium size campus\too large\too small professor\very willing
senior,5,personable class setting\first couple\big\major class\major specific class\major teacher\major specific teacher\quick
freshman,5,very friendly\very good security\always concerned\safe\numerous amount
other,5,super nice\large size\very compact\close
alum,5,fellow student\good friend\so many people\many other people\dear\spacious\safe
freshman,5,very manageable size\anyway possible\so many resource\informational meeting
freshman,5,decent school\decent sized school\small town\very strong agriculture department\make great class\nice faculty
other,5,available\academic knowledge\national organization\first year
freshman,5,so good\very helpful\willing\multiple time\kind\supportive\attend next year
junior,5,great\very big\diverse campus\free parking
other,5,large\big time\small\long\prosperous career
freshman,5,first visit\so many opportunity\many great opportunity\well known\have strong academic\wonderful\overall\excellent college\great perk
sophomore,5,excellent\very good
sophomore,5,many club\athletic event\great way\underground tunnel
sophomore,5,great diversity\ample amount
junior,5,full\wonderful student\other faculty\other helpful faculty member\excellent school\cheap tuition
freshman,5,great\native student\native american student
sophomore,5,very open\accepting\positive way\nice people
sophomore,5,so many friend\many different friend\convenient\very safe\low\so nice\helpful
junior,5,great university\only recommendation\change instate\nonresident tuition requirement
alum,5,good year\able\great people\great staff\amazing opportunity\great foundation\able
freshman,5,super welcoming\supportive community\many resource\super convenient\great help
sophomore,5,online student\make online learning\hectic adult life\so happy
junior,5,very knowledgeable\very helpful\very dedicated student\set high standard\able\high honor\possible
freshman,5,super easy\good nursing program
junior,4,definitely well other\important\Most class\short paper\completely difficult workload\wise\get good grade\online class
senior,4,major\good\pretty helpful\extremely busy\free time\available
sophomore,4,second semester\extremely helpful\mental health\online learning\online class
sophomore,4,very easy\Most\easy
sophomore,4,great college\very safe
sophomore,4,online class\difficult\many student\very comfortable semester
alum,4,hard academic\hard nosed academic\Most teacher\willing\willing
sophomore,4,small campus\too small\more affordable
sophomore,4,past year\great experience\great online experience\short time\excellent job
freshman,4,not able\good\same experience
freshman,4,academic aspect\high quality\take long
junior,4,undergraduate prerequisite\great fit\academic tool\successful\challenging\difficult professor\least\academic journey
senior,4,big university\build good relationship\future career
sophomore,4,amazing\amazingly helpful\good\so many resource\almost impossible\little icy\sure\Most\nice\little\little old\very quick\fairly good\get boring\wonderful campus
sophomore,4,first time\so many opportunity\many amazing opportunity\always helpful
freshman,4,different people\able\many\willing
other,4,offer great opportunity\little student parking\Most\very nice
junior,4,solid education\good price\focus shift\nice student\more benefit
sophomore,4,easy transition\high school
junior,4,well parking\great
sophomore,4,very beautiful school\beautiful\off campus entertainment\minimal\always willing\possible\available\able\own entertainment\very fun\really amazing environment\only\only other\other negative\very cold\windy
alum,4,good experience\many opportunity\meet new people\rotc program
freshman,4,rather nice place\welcoming place\friendly\helpful\nice\frigid\overall\good\affordable college\harsh winter
sophomore,4,very beautiful campus\more student\more option\healthy food
freshman,4,first year\pretty good\average\not small\easy\many degree\hard\other college\civil engineering\bad experience\most\seem eager\sparse\mediocre\pleasant experience
sophomore,4,large university\small town
sophomore,4,excellent\relatively manageable\quite knowledgeable
freshman,4,amazing nursing program\very safe
sophomore,4,proud\so much pride\really cool college experience\so many thing\so many club\unique
freshman,4,great small\also large\different major\free tutoring\extra help
sophomore,4,
senior,4,great time\not bad\more\Most\pretty good professor\general class\well prepared\more prepared\mid\mid - school\- major school\athletic team\extremely competitive school\much big\great college town
sophomore,4,good community\more personal experience\wide array\individual need
senior,4,different college\good size\easy\willing\easy
sophomore,4,great school\serious
freshman,4,great university\small\so big\academic club\other school event
freshman,4,quite content\own\first year\grateful\well friend
freshman,4,so many way\stay involved\extracurricular activity\successful\extra help\extra academic help\free tutoring program\supplemental instruction session\many counseling service\amazing
freshman,4,great\other student\always able\get sick\Most\pretty nice\make sure\clean\safe\good\great school
freshman,4,so welcoming\nice\easy
junior,4,fun\safe environment\good teaching staff\many activity
sophomore,4,very interesting\very nice\beautiful\new event
freshman,4,able\entire school\entire high school career\excellent school
sophomore,4,very diverse campus\really great professor\many opportunity\friendly campus\friendly open campus
