alum,5,
alum,5,unique\bad school\classic college experience\large class\large\double\complete multiple study\multiple independent study\fantastic time-\interesting\good focus\fairly academic\high school\get good grade\new\interesting college experience\more\own growth\own personal growth\competitive grad school\fantastic
alum,5,profound impact\immeasurable\positive change\so proud\well place\unparalleled
alum,5,most\several college\several other college\informative hand\'s various platform\healthy competition\extraordinary\quite high\great choice\international student body\sizable
other,5,devoted\experiential\interdisciplinary learning\invaluable teacher\passionate\around such people\such likeminded people\positive change
junior,5,come true\old student
junior,5,very pro\pro - college\- liberal college\so helpful\good idea\very willing\extra mile\graduate
junior,5,great\small class size\easy\unique\really interactive\only thing\somewhat difficult\outdoor\environmentally conscious\really informative\as much\real life
freshman,5,small campus
freshman,5,creative thinking\social justice
freshman,5,good school
freshman,5,first year\fantastic
junior,5,most unique learning experience\achieve personal career\educational goal\good
junior,5,even open
junior,5,very open\accepting\ethnic diversity
junior,5,
junior,5,small\local eatery\big
junior,5,extremely pleasant\mild\few storm\high elevation\nice
alum,5,
alum,5,
freshman,5,very unique\experiential learning\different point
freshman,5,great\experiential learning\most\wide variety\many option\own degree plan\independent study\very helpful\independent person\own area
freshman,5,awesome\very knowledgable\also able\incorporate other topic\such\create social change\photographic history\also many photography\many other photography class
junior,5,not perfect\very unique
junior,5,financial aid\as much aid\possible
junior,5,available\major\knowledgeable\limited residency program\disappointed\so bad\limited residency program\own community\such build contact
junior,5,online course\great\easy\very honest\willing
junior,5,limited residency program\mentored course\more hand
junior,5,limited residency undergraduate\just online class\great\more hand
junior,5,convenient\easily available
senior,5,many neighborhood\Most\close\old\worth\many rental\all unheard\small town\new home\new neighborhood
senior,5,good\own hand\make sure\most
junior,5,very close classroom\free
sophomore,5,very strict\great
sophomore,5,great\green energy\solar panel\native plant\certain respect
senior,5,great\passionate
junior,5,wonderful\giant fight\giant snowball fight\good weather\really hard
junior,5,perfect\less\most\soft\dry\have enough sunshine\big\big puffy cloud\puffy white cloud\little rainfall\high elevation\fun\bring strong wind\such weather\such beautiful weather\awesome
senior,5,very open\open minded
junior,5,good\passionate\knowledgeable\well versed\other program\excellent
freshman,4,very close downtown\great\very involved student
freshman,4,excellent school\pursue independent study
senior,4,great people\unique degree plan
alum,4,academic\general life learning\unimpressive\very ableist\moderately trans\trans -\- friendly\neurodivergent student\non\non - learning\- traditional learning style
senior,4,great
sophomore,4,great\relative\whole college\offer many\many other
sophomore,4,unique experience\other college\have excellent faculty\experiential education\not qualified\such backpacking\sensational
sophomore,4,long burrito
sophomore,4,more sporadic\very relaxed theme\common\good place\solid
sophomore,4,as much aid
sophomore,4,great\flexible\make most thing\own\free\vegetarian
sophomore,4,nice\good people\personable\most incoming student\old\typical freshman age\steer clear
freshman,4,
freshman,4,beautiful town\warm
freshman,4,beautiful area
junior,4,strict problem\very lenient student\open
senior,4,relatively easy\more difficult\old house\old cute house\available\much cheap price\big city\able\incredible\hear bad thing\multiple company\multiple rental company\easy\most area
senior,4,major\own major\general education course\super exciting\say enough thing\enough good thing
senior,4,so many course\nonprofit organization\well underway
senior,4,actual town\many bar\many different bar\different feel\same music\fun\More\more fun\too such\open mic\hard time
junior,4,very safe\questionable area\next\homeless addict\very safe\rarely fights
junior,4,endless sunshine
junior,4,
junior,4,pretty relaxed\real issue
junior,4,great\rigorous\right class
freshman,4,really amazing weather\super rainy\first month\pretty mild
freshman,4,more town\individual sink\most\own\other kitchen\really cozy
alum,4,very helpful
alum,4,very helpful
alum,4,very helpful
freshman,4,not much diversity\sexual\religious affiliation diversity
freshman,4,very nice cafe\healthy\organic\vegetarian option
freshman,4,beautiful sky\beautiful blue sky\get hot\dry summer\very nice\get cold
freshman,4,small campus\beautiful brand\new dorm\friendly\beautiful building\old wood\also great
freshman,4,cheap housing\more expensive housing
freshman,4,very small town\old charm\old western charm\good event\little\little boring\always fun\old bar\old western bar
freshman,4,many\many small\local restaurant\great\authentic cuisine\authentic mexican cuisine\good amount\fast food\cheap\quick
freshman,4,small school\very safe place\go unnoticed
junior,4,social pressure
junior,4,good aspect\beautiful spot\where other student\pretty solid\repetitive
junior,4,wireless\available\digital photo lab
junior,4,new dorm\beautiful facility
junior,4,safe environment\see much\very rare
junior,4,outdoor education\athletic outdoorsy\very popular\intramural sport\available
junior,4,great class\great\other student
junior,4,great\cool\too cold
alum,4,
senior,4,promote healthy food choice\all organic\non\non - food\- gmo food\own garden\little\little high\worth
senior,4,very safe town
senior,4,green school\use solar panel\beautiful\very helpful
senior,4,beautiful\real nature\close downtown\small town\very friendly People\very active\take good care
junior,4,always beautiful\great reason
junior,4,even international
junior,4,very streamline\simple\most important criterion\wonderful
junior,4,few student\few permatculture student\watershed management class\very hardworking\outgoing
junior,4,able\form current student\beautiful facility\strong emphasis
junior,4,current student\very rewarding
junior,4,limited residency\very excited\very independent
senior,4,only school\transparent\basic\upfront\online calculator\identical\financial aid office\determine institutional aid amount
senior,4,really supportive self\so many course\interested\foreign language\available
junior,2,very disorganized\much\faux woke hippie\very rigorous\motivating\safe environment\terribly limited\somewhat decent offering\too tiny\ridiculously small number\first year\much well value\nice environment\very specific type
junior,2,very unorganized\inspirational core faculty\redeemable\more resource support\real world
sophomore,2,
freshman,2,tough scholarship\grad program
senior,2,expensive place\most\old\very easy\easy access\other shop\good parking
senior,2,small\good\hard student
senior,2,very close\several bar\other\not much night life
junior,2,mostly white\white upper class\upper middle class\privileged kid\fairly diverse\different background
senior,2,get financial aid\easy\easy\more difficult\other school\very disorganized student\proactive\make sure paper
junior,2,very diverse plenty\dive bar\very many people\many young people\very surprising\many\much well scene\well social scene
junior,2,say most rule\bad reason\reflective\old college\compulsory dorm life\first year
junior,2,small\small cafe\excellent\offer many\many vegetarian\gluten free option\local farm\stay open morning\little bit\expensive\plenty\cheap restaurant
freshman,2,very good class\very unorganized\very expensive\honest\not sure\worth money
junior,2,most\small house party\non\non -\- existent
senior,2,prepared\close proximity\most people
sophomore,2,available\available past
junior,2,not much\most thing
junior,2,religiously diverse\socioeconomic status\bring several point\several different point\combined resourcefulness\low income bracket\such\when necessary\very welcoming\non\non -\- profit
