sophomore,5,very good college\very friendly\helpful
sophomore,5,online experience\great\little\little overwhelming\fine
sophomore,5,small\great\large focus\many college\many other college\stressful time\too bad\minimal\general\helpful kick\high level education
sophomore,5,small campus
freshman,5,last resort\so glad\dedicated\fun
freshman,5,
freshman,5,far enough\first time
sophomore,5,nice school\good
sophomore,5,small college\achieve big dream\easy feel\very relaxing\nice
freshman,5,amazing professor\willing\small classroom\easy\meet new people
sophomore,5,excellent college\competitive\multiple location
freshman,5,good experince\successful man\successful young man
freshman,5,nice college\very clean environment\willing
freshman,5,great\extremely serious\high school\easy
sophomore,5,average\little rocky\very easy\comfortable\very organized\helpful
freshman,5,amazing\feel welcomed\amazing faculty
sophomore,5,small school\small class\more attention
freshman,5,full potential\so amazing\underrated
freshman,5,love east\great education program\close home
alum,5,senior year\high school\great\several professor\several wonderful professor\less\wonderful\academic success\just great professor\great people\small institution\negative\high education\low cost
freshman,5,wonderful\nice campus\great teacher\very nice housing\make sure\successful\great year
sophomore,5,sick\multiple individual\feel welcome
sophomore,5,
sophomore,5,
senior,5,flexible hour\numerous morning\good
senior,5,other school\'s online class\online class\many discussion project
senior,5,good part
senior,5,great
senior,5,many activity\such\different job opportunity\available activity
senior,5,many class\many different class\very beginning\more challenging class\great teaching
senior,5,great\small\easy\wonderful adviser\good\wonderful activity\other student
sophomore,5,great college
junior,5,great thing
senior,5,explore new thing\provide wonderful tutoring
senior,5,personal level\available source\clean\beautiful campus\good\clean school
senior,5,many computer\able
senior,5,great\great extra resource\extra curricular resource
senior,5,available
alum,5,first choice\first semester\upset\able\allow more\enough opportunity\acdemic center\right decision
alum,5,wonderful campus\general\great opportunity\academic center\good place
sophomore,4,explanatory\only inconvenience\online class\watch more video\single professor talk
sophomore,4,online class\available\small size class\more attention\more personal attention\approachable\caring
alum,4,small\always friendly\willing
other,4,great\dual enrollment\dual enrollment process\easy\amazing\outstanding
freshman,4,really great professor\small campus\small intimate campus\many university\many large university\academic building
sophomore,4,very nice\incredibly helpful
sophomore,4,great school\great job\more dorm\more area\more student organization
sophomore,4,small student body\comfortable home\friendly\more\happy\small\great resource\great academic resource\helpful staff\ready\perfect fit\large environment\love small town living
freshman,4,good experience\small school\small school
sophomore,4,new dorm\separate suite\nice\more food option\ok\available\great
senior,4,small\simple\awesome\willing\free tutoring
freshman,4,great\major university\very friendly\little\too much\more freedom\easy\hard\hard class\pre - calculus\easy\third grade material\small town\social life\little blah\major university
sophomore,4,pretty good\that big\not many distraction\own space\easy\so friendly\easy\amazing\stay open 24/7\enough grocery\need more dorm\so many student\third building\nice
sophomore,4,excellent college\wet\big college\diverse school\very cheap tuition rate
freshman,4,very nice\great start
freshman,4,small town school\big school environment
freshman,4,real world\high education
other,4,of slow\get used
junior,4,good school
junior,4,
junior,4,great
junior,4,great\too big\too small\very cocky
sophomore,4,athletic program\great\east
freshman,4,very helpful\wonderful\easy
alum,4,good choice\high school
alum,4,good way\academic skill
alum,4,right direction
alum,4,great\most
alum,4,that many student\less student
freshman,4,right career path\academically successful
other,4,good fit
freshman,4,amazing\entertaining\different kind\so many kind
freshman,4,great\so many religion\many different religion\different style\very outgoing\very arrogant\most\funny\great personality
senior,4,very diverse people\various people\different race
senior,4,Most\very friendly
senior,4,diverse\cheap tuition
alum,4,only thing\many school\many other school\fancial aid\many stdent
senior,4,very reliable\even well\free tutor\different course\more
senior,4,great faculty\great school
alum,4,great\so many thing\major\more year
alum,4,great school\major\plenty opportunity
alum,4,very diverse
sophomore,4,available resource\several computer lab
freshman,4,first year
senior,4,so awesome\big people\very helpful
senior,4,multiple computer lab\many resource
senior,4,many activity\many different activity\such basketball\such fashion\gay club\gay straight club
freshman,4,very diverse atmosphere
freshman,4,pretty good education\southern\financial aid\quite cheap\same time\much\financial aid\so most\financial aid people\very helpful\nice
sophomore,4,able\financial aid
freshman,4,love online course\little\little easy\good thing\aware\own teacher
junior,4,major\other school\pretty fair time
junior,4,not bad\pretty decent time\small time feel\big campus
sophomore,4,think online class\much hard\that bad\due\specific time
junior,4,possible
sophomore,4,prepaid program\more\so great\all worth
freshman,4,awesome\helpfull place\most popular place
sophomore,4,pre nursing\major\stay busy
junior,4,few minute\be great
sophomore,4,
other,2,main road\decent\decent\academic class\financial aid\very small\boring game room\like small class\small town\small school
alum,2,financial aid\okay\not enough\enough\whole semester\financial aid office
senior,2,very poor\low percentile
sophomore,2,not much
sophomore,2,great\only thing
freshman,1,due\horrible network reception
freshman,1,unorganized\financial aid\last semester
junior,1,very limited
junior,1,financial aid process\very hard\complicated\nearly impossible
junior,1,pay high fee
