alum,5,stellar community\little competitive\good\good pre\pre - program\- med program\strong\hard\achieve good grade\top %\high school class\high scorer\common refrain\more difficult\more rigorous\minded\minded aka justice\aka social justice matter\fellow institution\vital\sustain happy\healthy\whole community
alum,5,take several language class\graduate pre\pre -\- covid\online class\all excellent
alum,5,incredible year\least\generous aid\generous financial aid\dedicated\high quality faculty\rigorous academic\excellent study\strong campus community\great alumnus network\low income background\able\entire year\very little debt\'s generous aid\generous financial aid policy\diverse\hardworking\public service\great restaurant\other college\top notch\new student\recreational center
alum,5,not applicable\take online class
freshman,5,gorgeous\very welcoming\great food\amazing resource\very strong alumnus network
senior,5,welcoming\very safe campus\very personable\very involved extracurricular\other way
senior,5,incredible college\good year\so many opportunity\great people\make lifelong friend\incredible memory
freshman,5,great\small school\’ easy\other\huge community\especially evident\fantastic professor\interesting class\rigorous college prep\individual attention\hispanic pell\diverse area\homogenous community\exclusive\white\aware class\aware upper class lifestyle\meet great people
alum,5,wonderful experience\top
other,5,friendly student\thoughtful\caring professor\incredibly beautiful campus\new recreation center\fantastic addition
junior,5,incredible experience\quite rigorous\so rewarding\so many resource\so kind\make sure\first generation\nervous\different challenge\great support system\happy\very expensive sticker price\demonstrated need
sophomore,5,academically rigorous\memorable\enjoyable
other,5,fantastic place\able\great recommendation\very satisfied
sophomore,5,welcoming\good thing\true sense\single club\other people\always open\well
alum,5,perfect example\many\small\available\real interest\good thing\form longstanding relationship\easy\much easy\willing
alum,5,very kind\willing\fantastic people\diverse background\able\try different thing
senior,5,demand heavy workload\true passion\excellent job
alum,5,great job\young student\unique\intelligent feature\dedicated\great job
alum,5,heavy workload\able\special relationship\fellow classmate\good thing\passionate\provide numerous research opportunity
freshman,5,great\phenomenal job\so many activity\many opportunity\become involved\Most student\incredibly friendly\intellectual professor\kind\passionate
sophomore,5,incredible\insightful\many\interesting\first year\many resource\many excellent resource\see more event\first year\feel comfortable\confident
alum,5,excellent\open professor\open minded professor\willing\odd hour\certain situation\new\improved\beautiful\great student\fun
freshman,5,absolutely amazing\free ride\extremely blessed\excited
freshman,5,amazing college\top notch\average\very good addition\not impossible\much more\great school
sophomore,5,amazing people\really willing
sophomore,5,first year\amazing education\amazing community\global citizen\small size\good experience\good educational experience\possible
freshman,5,wonderful selection\interesting class\amazing professor\beautiful campus\open understanding
alum,5,amazing\small school\real sense\small\very beneficial student\big following\small school
other,5,truly stunning college\future student
alum,5,great atmosphere\so nice academic\tough\amazing
freshman,5,make available\extremely helpful\always willing
sophomore,5,strong community\many
alum,5,safe transition\high school\undergraduate college\very close professor\determined
sophomore,5,top notch\interesting\accessible\inspiring\great
alum,5,exceptional tradition\especially high standard\high academic standard\close\great thing\professional interest\most beautiful\lively\easy travel\catholic history\not catholic\hidden treasure\'s fine art\fine liberal art college
