junior,5,international student\crucial\next year\small community\amazing\small class\personal relationship\safe hand\complete faith\comfortable\fun life\small town\most amazing people
junior,5,covid outbreak\great\able\as much\make sure\comfortable\drastic change
sophomore,5,completely chill assignment\nice\whole corona situation
freshman,5,whole level\whole new level\good diversity
alum,5,excellent school\incredible opportunity\excellent\many\extraordinary\excellent program\excellent academic program\athletic opportunity\willing\rich\engaging student experience
alum,5,more activity\available\strong alumnus connection
junior,5,main campus\absolutely wonderful\make sure\successful\different place
junior,5,incredibly kind\supportive\make sure\good experience\possible
sophomore,5,few reason\instant connection\instant connection\total different\amazing year\amazing first year\few\that great
senior,5,second family\so many event\meet new people\awesome
senior,5,open door\great school\great professor\seek high education
other,5,first college visit\more comfortable\prouder\very welcoming\’ busy\cultural shock\more comfortable\actual home
sophomore,5,certain professor\academic change\most student\diverse school\beautiful
freshman,5,respectful\nice\other\most
junior,5,diverse atmosphere\very small classroom\more comfortable
junior,5,great atmosphere\small class\great focus\clinical environment\great facility\great opportunity\clinical rotation site\'s overall expertise\great school\pursue more
junior,5,great university\great small university\wide variety\main thing
freshman,5,first time\safe\positive\warm atmosphere\well student life\small\huge family\awesome student teacher\outstanding
junior,5,committed\extremely resourceful
sophomore,5,awesome housing system\so many activity\many fun activity
freshman,5,easy
freshman,5,highly respected
freshman,5,easy
freshman,5,very comfy
freshman,5,very close\very nice
junior,5,
junior,5,
junior,5,small campus\busy\how small town
junior,5,most\general education class\complete\tight people
sophomore,5,other\happy\high standard\then most\stupid math quiz\sure\not pleasant
sophomore,5,very diverse campus\economic background\political belief
junior,5,
junior,5,very helpful
sophomore,5,
sophomore,5,
sophomore,5,ethnic resturant\small dining\small local dining\major chain
sophomore,5,stduent safety\daily announcement
sophomore,5,very competitive\big factor\clinical experience
sophomore,5,very dedicated faculty\high student\real committment\well organized\pertinent
junior,5,completely biased
junior,5,extremely helpful\available\available\dependable
junior,5,always amazing
junior,5,small campus\large campus
junior,5,great job\reasonable amount
sophomore,5,
junior,5,
senior,5,available student\very small\avaliable number\resonable price\entire building\fast\efficient\technical problem\always avaliable
sophomore,5,different school
sophomore,5,as good\good\really good connection
junior,5,strict policy\academic work\such
freshman,5,very safe
freshman,5,extremely important\very good
freshman,5,always available\open day
junior,5,very diverse\international student\many other\so many culture\many diverse culture
freshman,5,wide variety
freshman,5,huge program\huge social program\involved\extremely nice\make new friend
freshman,5,huge\great turn\amazing\new weight room\new workout facility\late workout equipment
senior,5,very strict rule
junior,5,full range\fancy resturaunt\fancy nice resturaunt
sophomore,5,strong community
sophomore,4,of rude\regard certain thing\great\fun
freshman,4,big wish\current one\not usable
sophomore,4,how small\how interactive professor\how much
other,4,small town
senior,4,very diverse\very small\very involved\general\how helpful\how much effort\daily job\very focused diversity\general\amazing
junior,4,great year\few thing
senior,4,offer online\how expensive tuition
senior,4,easy admission\wonderful
sophomore,4,amazing school\main thing\good resource
senior,4,tight college\willing\diverse range\also supportive\small town\as many accommodation\other college town\good\small campus\close\academic adventure
alum,4,great place\small class size\friendly professor\great campus
junior,4,
senior,4,unique\easily accessible\regular office hour\great\great small community--\small little community-- professor\international\long distance\greek life\great source\wide activity\few restaurant\most student\find creative activity\down time\great class sizes--\few\as small\thriving environment\excited student\familiar face
senior,4,amazing\very welcoming\very small\incredible\different culture\around amazing
freshman,4,very helpful\committed
junior,4,easy\good
junior,4,upcoming exam\pretty good variety\average
junior,4,very small town\pretty safe\very safe campus
junior,4,small student class\more one\extra help\good\unique\too big\big family\very helpful
junior,4,never worried\well lit\semi\semi -\- busy\only thing\laundry room
junior,4,so small\that many employer\valuable life information
junior,4,major\absolutely great\so friendly\helpful
junior,4,greek life\unique\other house
junior,4,small school\athletic event
freshman,4,safe campus
freshman,4,top notch
freshman,4,great campus
freshman,4,so many opportunity\stay involved\how friendly\helpful
junior,4,great program
junior,4,very helpful\available\'s good interest
junior,4,very safe campus
junior,4,athletic facility\very nice\accessible
sophomore,4,
sophomore,4,strict visitation policy\lenient
sophomore,4,great
freshman,4,
freshman,4,athletic trainer
freshman,4,amazing
junior,4,social interaction\extremely good\costly
junior,4,energetic\excited
junior,4,great admission\wonderful people
junior,4,feel safe
junior,4,different people\many student\many international student\catholic student\other religion
junior,4,great\liberal art university\expensive school\specific\frustrating time\nice\more rounded education
sophomore,4,difficult\somewhat terrible\early part
sophomore,4,willing\little respect\decent academic\good\caring professor
sophomore,4,pretty secure\safe\personal dorm room\able\single night\somewhat comforting\other
sophomore,4,free\little bit\good club
sophomore,4,normal semester\sound stressful\very fun
sophomore,4,safe\clean place
junior,4,severe weather
junior,4,
junior,4,respectful\other
sophomore,4,sexual orientation\not varied\typical sex\conservative midwestern
alum,4,great\feel safe
junior,4,extremely clean
junior,4,financial aid\great
junior,4,caucasian
junior,4,extremely good
junior,4,great\able\own computer
freshman,2,too easy\very little studying\unhealthy\future career\continuous party
junior,2,not many dorm option\separate dorm building\such\really bad
sophomore,2,available
junior,2,particular\academic student\more
junior,2,greek
sophomore,2,like small town\good coffee shop\then little\small town life\quiet atmosphere\little stir\crazy\long time\quick trip
freshman,2,certain time
freshman,2,expensive\how rural campus
freshman,2,fine snow\awful\many snow day
freshman,2,receive many scholarship
junior,2,small town\open\welcome new business\many\main street\many
sophomore,2,really good
sophomore,2,very good\too much money
freshman,2,very small town
junior,2,various student party
senior,2,pretty bad\bad condition\usually full\back spot
freshman,2,awful
freshman,2,few option\other\too many option
junior,2,whole lot
junior,2,greek life\unique\pre\pre -\- deteremined\close other
senior,1,bad investment\good quality campus\competent academic\decrepit remnant\18th century\especially evident\recent datum breach\various piece\various other piece\personally identifiable information\malicious hacker\poor athletic\bad decision
other,1,Most professor\good\other instructor\long meeting\major problem\proper review\such\elected\effective vice president\high salary employee\expect such situation\such unethical situation
freshman,1,
sophomore,1,private\financial aid
freshman,1,extra money\crappy dorm\how worthless\extra\crappy service
freshman,1,dry campus\surprised\bad thing\get sick
freshman,1,expect huge college party
sophomore,1,very good
senior,1,more difficult\more people\less party house\only place\dingy\gross\empty\most occasion
senior,1,dry campus
senior,1,much\really impressive
senior,1,available student\more scholarship\more academic scholarship\available
junior,1,last long\limited selection
junior,1,
junior,1,actual education
junior,1,not much\nice
junior,1,
sophomore,1,acceptable dorm\acceptable\quite small\good way\great\only student
sophomore,1,very strict\pretty much nightlife
