sophomore,5,so stressful\such notice\such short notice\online class\very professional
alum,5,wonderful experience\early childhood education\amazing\fun\very helpful\kind
freshman,5,plain\simple
sophomore,5,mean more\ultimate comeback
other,5,helpful\friendly\make sure
other,5,very good business program\good school
sophomore,5,small classroom size
freshman,5,great experience\full\patient\creative mind
freshman,5,very kind understanding\clean\kind\very helpful\right way
sophomore,5,failed attempt\small school\generally great\small class size\mean more
senior,5,general\academic advisor\prompt\helpful\other college\organized
alum,5,make good grade\able\good thing\forever grateful
other,5,so helpful\so easy\very well communication
alum,5,fortunate\wonderful staff
junior,5,charming\safe\well\very nice\attentive\very nice\knowledgeable\even free pizza\less daunting
other,5,dual enrolled school\enrolled high school student\cool experience\glad\dual enrollment program\amazing professor\different\big campus\offer more class\more specialized class
junior,5,friendly
sophomore,5,nice school\small school\great teacher and\great student\usually good
junior,5,really awesome\cheap\affordable\very friendly place
junior,5,make sure\good education
sophomore,5,very informative\easy\easy
freshman,5,make sure\very helpful\good use
junior,5,really easy\online campus\very personal\nice
sophomore,5,fun\rought\free\favorite\right road
senior,5,great
sophomore,5,provide affordable education\great school
junior,5,more specific\right number\same problem\nauseum\same\so many number\high\high\high
sophomore,5,always clean\clean\friendly\friendly willing\friendly\available\clean\pure\great place\free
senior,5,grateful\amazing
freshman,5,amazing college\full life\different ethnicity\new\old college student\new environment\very welcoming environment\very nice\helpful\able\very cool\cold\few hour\also able\as familiar\ok\amazing way\first year
sophomore,5,dual enrollment student\more independent\very patient\willing\great\come true
alum,5,great place\there student\awesome\easy
freshman,5,small college environment\friendly atmosphere\over crowded\reachable\easy
freshman,5,small college environment
sophomore,5,truly interested
freshman,5,amazing\ready\live help\right track\undue stress
sophomore,5,first time college\excellent adventure\helpful\informative\inspirational\past year\use more option
other,5,very pleased\very helpful\all quick\patient\all patient\much easy
freshman,5,so helpful\financial aid\right program\small school\always clean\great teacher\very responsive\helpful
sophomore,5,very helpful
senior,5,flexible
senior,5,personal\general
senior,5,
senior,5,amazing\easy
senior,5,
senior,5,overall school\overall great school
junior,5,easy\plenty choice\online\regular classroom course
junior,5,online course\hard\regular classroom\able\take online class
junior,5,to big\approachable\caring
junior,5,very relaxed atmosphere\very approachable
alum,5,extremely helpful\right direction\reasonable\financial aide\able\have undergraduate debt\financial burden
junior,5,easy\fair
junior,5,very nice\enough room
junior,5,
junior,5,wonderful
junior,5,very good school
senior,5,somewhat interesting\then other time\ok other\usually happy\overall class experience\other day\get sick\only time
senior,5,most\very important\most\good hamburger\good homemade hamburger\awesome cook\different information
senior,5,rounded individual
senior,5,absolutely wonderful\most part\few dud\most\awesome\large class size
sophomore,4,very timely manner
senior,4,not easy\online course\very manageable\easy\online professor\willing\online course\easy
senior,4,diverse\adventurous experience\very welcome\quite small\very open voluntarism
sophomore,4,have multiple campus\huge plus\Most\easy\easy
sophomore,4,take online course\most part\very similar face\online zoom\able
sophomore,4,overall quality\good student\friendly\nice\most part\Most\great
senior,4,very complex\offer multiple route\high success rate\feel confident\well rounded education
other,4,early stage\very helpful\excited
alum,4,small class size\willing\huge\more updated\fantastic opportunity\dual enroll\high school student\happy\more involved activity\difficult\online resource\very difficult time
freshman,4,great school\very welcoming\academic success
other,4,junior\senior year\very helpful\close
other,4,more event\new student\new food place
freshman,4,very good\good grasp\second semester\good
