senior,5,easy\very good communication\good\able\seem great
junior,5,good school\good christian school\always ready\good installation\stem program\very diverse\only thing\very good
other,5,good\affordable class\affordable online class
freshman,5,great place\so much diversity\so many people\great\huge\really nice\willing\confused\great
freshman,5,really good opportunity\very pretty\good school\good adventist school\very friendly job\very nice
junior,5,large campus\great\many event
other,5,beautiful campus\great professor\excellent
freshman,5,not much noise\top\most diverse university\great program\great academic program\helpful teacher\different everyday\wide range\free option\great place\not much
freshman,5,very beautiful campus\wide variety\very good teacher\excellent teacher
other,5,
other,5,great\focused
junior,5,small\extra mile\different major\different study tour\social event
sophomore,5,great university\amazing experience\expensive side
freshman,5,great college\small community\make friendly relationship\so diverse\open\very safe place\serious crime\welcome
freshman,5,visit many college\many other college\good\great school\nice\beautiful\many thing\very nice\modern\clean\close home\very diverse\major thing\most\many friend\many people\many other people\absolutely great
sophomore,5,
sophomore,5,very good graduate program
sophomore,5,very comfy
freshman,5,so much
freshman,5,small\willing
freshman,5,first timer\awesome experience\awesome\feel real\real comfortable\spacious\very peaceful
freshman,5,good school\christian base school\become well people\able\awesome aspect\very spacious\spacious peaceful\very friendly\small
senior,5,feel welcome\big deal\big part\so many\graduate school\many student\old\many challenge
other,5,adventist institution\vary religious belief
sophomore,5,moderate class size
alum,5,safe place\emphasize sexual assault prevention
senior,5,
junior,5,very personal\pretty small\very diverse\many viewpoint\many different viewpoint\personal view\always available
sophomore,5,'s top quality
sophomore,5,pretty top quality\rigorous workload\hardworking\studious person
sophomore,5,great\overall professor\very knowledgeable\willing\foreign\extremely hard
sophomore,5,good\so friendly\favorite moment\many thing\many other thing\good school
senior,5,crazy\culturally diverse\full\beautiful people\open mind
senior,5,good thing\sure\good\awesome\both excellent\excellent thing
junior,5,good people\christian environment\good education
junior,5,undergraduate program
junior,5,great program\effective agent
junior,5,foreign exchange student\amazing job
freshman,5,most diverse university
freshman,5,
alum,5,
sophomore,5,great number\pretty safe\many\friendly attitude
alum,5,well\big thing
sophomore,5,Most people\own computer\easy access
sophomore,5,
sophomore,5,maybe well parking rule
senior,5,good\great\so much\other culture
senior,5,so many student\many international student\very good\so much diversity\much ethnic diversity\economic\religious\political diversity
freshman,5,
other,5,most spring
other,5,strict\only drug\cross night\cross - night reading
sophomore,5,fifth\racially diverse
senior,5,great student\several\own lab
alum,5,almost non existent\non - existent\difficult
senior,5,many background\many diverse background\easy student\feel welcome\able\other student
senior,5,very easy\very safe
alum,5,easy access\many computer\available student\own\fine
alum,5,big sport\private university competition
freshman,5,financial aid\other student\excellent system\financial aid\fast\reliable
freshman,5,several activity\athletic activity\necessary facility\ever athletic competition\great fan support\extremely high
senior,4,online learning experience\not bad teacher\accessible
senior,4,wonderful school\many program\many great program\helpful teacher\vegetarian\endless\beautiful\safe\many major\important\many style\many different style
freshman,4,different experience\Most\willing
freshman,4,high school experience\too great\how much\how much\simply amazing\grateful experience\many people\cold weather\barren\so cold weather\fine\have enough place\only problem\so small\old\good\great experience
sophomore,4,great experience\spiritual life
senior,4,easy\friendly environment\more open\open minded
alum,4,good experience\small town\close\other city
alum,4,uplifting experience\uplifting spiritual experience\small class number\make more time\really pretty\religious institution\many event\many fun event
freshman,4,enjoyable\very diverse\make many friend\very independent person\able
senior,4,great\how diverse campus\different culture\present\more
sophomore,4,full\other friend\so kind\nice\so passionate\good
junior,4,small university\more one\more personal one\knowledgeable\willing\extra mile\possible\ideal location\beautiful food\good\get sick\other gazebo\proud\diverse student body\several club\other culture\several opportunity\such\international food\fair\small\actual civilization
alum,4,small class size\personal attention\delicious\amazing food\good scheduling\good professor
senior,4,most diverse school\great art program\nice\more restaurant
other,4,academic performance\excellent\foreign student\safe\secure\christian institution\academic\ethical life
alum,4,how small student\able\easy\able
sophomore,4,
senior,4,great experience\so much diversity\many\private university\costly\get financial assistance\difficult\international student\extremely helpful\mostly great\awesome\great athmosohere\great spiritual athmosohere
senior,4,large emphasis\spiritual growth\academic growth\critical thinking skill\amazing
sophomore,4,excellent staff\decent\beautiful campus\not perfect\incredibly stressful\major factor\cut short\negative
senior,4,great place\different depending\great professor\possible way
junior,4,adequate job
junior,4,most part\clean environment
junior,4,plenty people\many people
junior,4,great\very informative\try new thing\most diverse school
freshman,4,multicultural\same faith
freshman,4,take nigh walk\real friendly\good friend
freshman,4,win many championship
senior,4,big\athletic scholarship\engage other school\friendly match\high\many student\physical fitness\human being\harmful\good shape
sophomore,4,great
sophomore,4,very helpful
sophomore,4,feel secure
sophomore,4,very nice\spacious
sophomore,4,great team\dedicated
sophomore,4,very nice campus
other,4,very nice\give more work\willing\friendly\interesting\huge\more available
other,4,sharp eye\suspicious activity\feel unsafe People
freshman,4,feel skeptical\physical safety
sophomore,4,utmost importance\open campus
sophomore,4,only negative ventilation
sophomore,4,spiritual life\very diverse body\great food\beautiful campus
