other,5,amazing school
other,5,take several course\several online course\online course curriculum\external education resource\worth
other,5,minor\good part\educational resource\essential preparation
freshman,5,crazy time\easy\make sure\ready communication\excellent\super helpful
freshman,5,ready\very smooth\online class\very helpful\good job\ready
senior,5,online class\online learning\smooth\effortless\wonderful experience
freshman,5,online class
freshman,5,get ready\great help\quick response\much helpful\much easy
junior,5,past spring\other class\other general class\very easy\possible\hard\impossible
sophomore,5,so understanding\willing\great experience
sophomore,5,second home\so welcoming\great place
sophomore,5,online experience\very good\very easy
sophomore,5,small school\less\plan many event\great time
sophomore,5,most family\several event\young age\great diversity\really great professor\small\meet new people\fellow classmate
junior,5,online website
junior,5,amazing\so many people\many friendly people\always willing
sophomore,5,very unsure\online course\pleasantly surprised\extremely easy transition\online class\take online class
sophomore,5,wonderful university\friendly attitude
senior,5,online class\worth\still able
senior,5,great experience
junior,5,online class\upcoming summer semester\nervous\online classroom\online class\as interactive\learn well\own pace
sophomore,5,excellent\beautiful campus\close\feel right home\very friendly\go great length\make sure\right track\successful\academic career\major\really good nursing program\many opportunity\many great opportunity\many club\greek organization\pre\pre - major\- health major\nice size\too big\too small\great resource\such\pretty messy
freshman,5,beautiful\friendly\feel important
sophomore,5,great school\wonderful opportunity\great school
senior,5,great\final semester\great school\top notch\grateful
freshman,5,many opportunity
freshman,5,really amazing\very welcoming\energetic\th campus\too big\nice\neat\clean\as much\very helpful people\next class\future jag
freshman,5,beautiful\ideal location\particularly nice\extremely helpful
freshman,5,able\join new club\multiple resource\close\able\so many people\many great people\greek life\good grade
freshman,5,wonderful school\full\wonderful people\first choice\more\happy
freshman,5,great
senior,5,memorable one\very lost\major\fairly new\major\entire department\amazing\encouraging\past year\past few year\look incredible\even big
senior,5,online student\organized\rigorous program\advanced practice nursing\onsite skill training\medical student\comparatively affordable
freshman,5,first year\very helpful\knowledgeable\easy\only complaint\definitely more area
freshman,5,good experience\first year\fairly close\amazing
other,5,full\so positive\most beautiful
other,5,very welcome\able\able\absolutely beautiful\recreational facility\amazing gym\available
junior,5,outstanding\so much fun\big\beautiful\big\provide amazing transportation\wonderful\offer great food option\so healthy\super healthy\very nice\welcoming\good\safe campus\amazing campus police\good university\great
other,5,amazing\very helpful\caring\many year
sophomore,5,well organized\preliminary business\common goal\average\most impressive\endless\only thing\such flag\draw more support\full entertainment
freshman,5,incoming freshman\lovely\beautiful\small\big city\small town\feel secure
