sophomore,5,very challenging\fun experience\first semester\big transition\insane workload\first semester
sophomore,5,take online class\quite familiar\first meeting\long\more depending\get short\own time
freshman,5,nice staff member\very supportive\very helpful teacher\great understanding\great opportunity\different community
freshman,5,nice staff member\very supportive\very helpful teacher\great understanding\great opportunity\different community
other,5,great communication
sophomore,5,good\intense time
sophomore,5,first semester\really interested\artistic skillset\friendly\so many opportunity
freshman,5,artistic side\incredibly knowledgeable
freshman,5,creative study\good decision\incredibly helpful\so much\’ absurd\phenomenal\strict\incredibly low\other school\hear much
freshman,5,quite excellent\really amazing teacher\lovely\supportive environment
freshman,5,very helpful advisor\quick\aditional information\friendly\great variety\interested\traditional\non\non - art\- traditional art
freshman,5,not enrolled\take amazing tour\most thoughtful\informational experience
freshman,5,easy\quick\most down earth\friendly people\successful
junior,5,great art\great overall art school\helpful\friendly professor\good part\great school
freshman,5,always professional\make sure\make sure\be prepared
other,5,free\dual enrollment class\well\other\other\good experience
senior,5,less worry\less financial worry
freshman,5,amazing\good place\make amazing art
other,5,very nice\clean\interested\next journey
other,5,major specific\experience first hand\constructive criticism\able\artist big\small\welcome\so helpful\individual student
freshman,5,good way\possible\same major\major\become well\helpful\professional\equally professional
junior,5,very personable\excellent course\well trained\safe area\friendly
sophomore,5,good college experience
junior,5,private school\expensive\worth\huge difference\former\rigorous\mental health\other\other creative\diverse people\greek life\official sport team\amazing\liberal art teacher\incredible connection
freshman,5,incredibly helpful\respectful\creative\beyond excited\only amazing mentor\more realistic
freshman,5,very good\rigorous\very excited\new thing
freshman,5,invaluable
freshman,5,amazing\strong reputation\global
freshman,5,interested\great\famous thing\good quality
freshman,5,pretty great\like most\perfect\many class\nice\effective
junior,5,very rare
junior,5,true potential
junior,5,motivated\persistent
junior,5,pretty nice\wonderful cooking
junior,5,super helpful\well artist
freshman,5,incredible\small school
freshman,5,bad day\good\real world\high school\whole ball\whole other ball game
alum,5,
freshman,5,greek life
