junior,5,feel valued\safe
alum,5,great success\such\academic journal\hard season\major depression\countless experience\public school\such\free\green concert\green outdoor concert series\famous restaurant\favorite corner\forever grateful
junior,5,great\great
freshman,5,nervous
sophomore,5,good program\major\good
sophomore,5,so friendly\welcoming\very knowledgeable\very personable\general\genuine desire\develop personal relationship\safe campus\also amazing\really close downtown\right decision
junior,5,amazing school\great professor\willing
sophomore,5,great place\friendly environment\friendly staff\many way
other,5,beautiful campus\great student\so welcoming\there next year
other,5,so warm\welcoming
junior,5,great university\great overall university\academic success\spiritual wellbeing
alum,5,amazing people\close relationship\close personal relationship\successful
sophomore,5,big blessing\amazing\other\cool spot\perfect decision
senior,5,
junior,5,excellent experience\beautiful\spiritual\christian experience
sophomore,5,great atmosphere\many family\many outside family\amazing student\great area\extremely friendly professor\normal thing
freshman,5,amazing\first time\prospective student\feel welcomed\very engaging\safe area\strong\rigorous academic\beneficial\new friend
freshman,5,excellent school\incredibly diverse\spiritually united\always available\well organized\multiple event\well balanced
freshman,5,gorgeous\so many way\incredible kind\overall atmosphere\very welcoming
freshman,5,personal experience\good\wide variety\educational opportunity\detailed\religious university\free\personal belief
senior,5,next year\sure
sophomore,5,so wonderful\so kind\beautiful\great environment\so happy
freshman,5,very friendly\actually interested\flat\fairly small\major plusz
junior,5,very friendly\true believer\able\fair learning experience
freshman,5,most amazing experience\sooo community\sooo much community\similar value\so many area\wonderful\so many\many great\unique opportunity
other,5,good experience
freshman,5,favorite thing\first time\so nice\welcoming\meet new people\so kind\so many opportunity\last thing\too good
senior,5,first day\amazing\so warm\welcoming\schedule additional tour\other college
sophomore,5,
senior,5,beautiful campus\friendly environment\mental health counseling\excellent\so many thing\free time
sophomore,5,wonderful college experience
junior,5,excellent\small class size\extra help\great\mid - size\graphic design major\good
junior,5,great school\diverse college\multiple religion
freshman,5,so friendly\make many friendship\so glad
sophomore,5,extremely involved campus\great\safe\very fun\kind\very good\expensive
junior,5,small class size\small campus\easy\so many parking lot\good luck
sophomore,5,prompt\many
junior,5,other school\other student\so friendly\helpful\true effort\educational\small\very beautiful
freshman,5,great experience
sophomore,5,much well\so friendly\entire life
junior,5,great college\awesome\how much
sophomore,5,small class size\able\extra mile\clear\also great\great school\high emphasis\make sure
senior,5,professional responsive\caring\knowledgeable professor\strong academic\extremely safe campus\christian role model\flexible\professional
sophomore,5,other university\safe family environment\many way
freshman,5,great
freshman,5,so much respect
freshman,5,
freshman,5,amazing place
freshman,5,greek life\great club\great social club\greek life
freshman,5,athletic program\genuinely nice\christian faith school
freshman,5,
alum,5,pretty sure time\great
freshman,5,greek undergrad\good thing\good way
freshman,5,very safe\christian school\great\undergraduate teacher\first\last name\good relationship
junior,5,so safe campus\safe school
junior,5,so much
freshman,5,good\friendly
freshman,5,very safe\secure crime\personal safety
freshman,5,
freshman,5,
alum,4,completely online teaching\good job\online coursework\fair
alum,4,
freshman,4,online class\make sure
freshman,4,other college choice\tight knit community\great opportunity\possible
alum,4,few course\only way\fulfill certain requirement\too bad\same format\online class\online bible class
alum,4,very mixed feeling\amazing\different opinion\typical\big business\greedy manner\find such misappropriation\hypocritical\christian institution\make aware\strict rule\first day\impossible\free time\put sexual assault case\new management\misogynistic manner
junior,4,online learning\acceptable\ok\as good\live\same
senior,4,first semester\overall\really good\major\new program\practicum\similar\many aspect\religious person\religious person\worth\other work\full time\as bad\more expensive side\many scholarship\available\financial aid office
freshman,4,very welcoming\educational environment\very caring
freshman,4,find many people\able\financial aid\as good
other,4,really pretty campus\decent\well\pretty small\same\super clean\nice place
freshman,4,very challenging
sophomore,4,christian atmosphere\big city\fun thing
freshman,4,wonderful university
freshman,4,beautiful school\great bonus\hard\expensive\offer ample scholarship
freshman,4,really good school\good\that great\diverse student population\friendly\able
sophomore,4,green\green galore\small campus\easy
senior,4,small\senior\generally small\great relationship
freshman,4,challenging academic\strong environment\strong christian environment\many school\many other school
freshman,4,christian environment\build new residence hall
other,4,great\great education\great city\always fun activity
alum,4,hear great thing
freshman,4,frustrating time\feel safe\thankful
freshman,4,other division\very involved\numerous sport game\nice break\nice little break
freshman,4,open many door\wonderful people\remain close\different school\meet great friend\free\able\unable\high school\very sheltered environment\great\really loving\sincere
junior,4,fairly easy
junior,4,great\most effective\past semester\intriguing
junior,4,athletic facility\seem great
freshman,4,good\fellow athlete
freshman,4,strong emphasis\next step\more competitive\good school\good medical school
freshman,4,great\small class\well teacher\take more\high value\other campus\small community\active part
freshman,4,very unique\genuine interest\much well
freshman,4,feel safe\entire week\stop sexual assault\big deal
freshman,4,really involved\so many people
freshman,4,well\more renovation\other\pretty decent
freshman,4,very safe
freshman,4,really nice
sophomore,4,pretty safe\open campus
sophomore,4,great\more\welcome\feel uneasy
sophomore,4,social atmosphere\perfect\alone\clean\pretty good amenity
sophomore,4,decent part
sophomore,4,overall college atmosphere
freshman,4,present campus\pretty safe
freshman,4,much campus\next\next post\post - step\- college step
freshman,4,extremely personable\Most\always willing\Most\easy
freshman,4,big sport\also top notch
freshman,4,really great\good environment\more challenging
freshman,4,
freshman,4,
freshman,4,feel safe
freshman,4,great
freshman,4,
freshman,4,very prevalent campus
junior,4,really diverse variety\very helpful
junior,4,
junior,4,
freshman,4,greek club\meet new people
freshman,4,average size\very clean\great lobby\sweet
freshman,4,amazing\unbelievable
freshman,4,easy
freshman,2,great\not worth money\broken ac\so bad\whole year\mediocre meal\different university\pretty upset\great
senior,2,unprofessional staff\rude\unable\assist international student\assist foreign\recruit non\non -\- white
senior,2,christian\private\absolutely terrible security\very small\too many student\expensive\too expensive\undergraduate\graduate profession\not worth hype
freshman,2,only reason\late night ping\terrible\super crowded\keep certain scholarship
