sophomore,5,online experience\good\more lenient\fair amount\smooth
sophomore,5,online experience\good thing\super nice\really easy\great
junior,5,take more class\online learning\much easy
junior,5,great\possible
sophomore,5,so welcoming\nice\so many friend\first year\absolutely beautiful\so lucky\amazing
sophomore,5,first year student\so many people\many great people\beautiful\only thing\well\entire year
freshman,5,online class\great\nervous\super organized\simple
senior,5,great school\small class size\intimate setting\great professor\great dining hall
sophomore,5,total experience\total different experience\only thing\only bad thing\international student\such scholarship
sophomore,5,first instance
sophomore,5,great experience\take extra time\make sure
junior,5,good technology\take chem lab\not great\well\korean prof\other hand\not great technology\online class\great structure\too difficult
sophomore,5,quick situation\great job\available\really cool project
senior,5,fantastic\extracurricular activity\comfortable experience\beautiful campus\recommend diverse student\great education
alum,5,
senior,5,amazing college experience\top notch education\also many opportunity\good decision
sophomore,5,big family\strong community\great faculty\absolutely beautiful campus
sophomore,5,online experience\amazing\able
junior,5,overall experience\good experience\near future\future career aspiration\greek life\form great relationship\fellow college student\good friend\amazing food\great school
sophomore,5,upcoming\amazing experience\different activity
junior,5,so lucky\past year\amazing\say enough thing\enough good thing\able\great education
junior,5,small town\ideal college experience\perfect college town\unbeatable
freshman,5,so many view\many beautiful view
other,5,amazed\beautiful town\kind people\outstanding restaurant\perfect size\small town\small suburban town\really fun tradition\good bagel\fun\lively energy\so excited
junior,5,wise\good school\beautiful campus\nice\great professor\strong\really nice
other,5,great campus\major\great staff\good life\endless opportunity\fantastic\fantastic campus
sophomore,5,good decision\favorite thing\how friendly\big\greek life\greek
alum,5,excellent\rounded experience\great education\medical school
alum,5,amazing loving\eventful life\so many adventure\many new adventure
alum,5,good year
other,5,able\great
alum,5,amazing community\proud
freshman,5,online research\constant way\get involved\public\good school
freshman,5,very beautiful\local area\lively\bustling\mini city\very good vibe
other,5,willing\help potential student\future plan\various college visit\right fit\extremely helpful\willing
sophomore,5,pretty good\many teacher\many wonderful teacher\gorgeous store\get tired\famous team
freshman,5,clean\great environment\make good friend\so personal
