sophomore,5,dedicated\good\feel comfortable
sophomore,5,how consistent\make sure\inline adjustment
freshman,5,’s first year\great\extremely nice\cute\financial aid office\right home
other,5,wonderful\feel safe
other,5,rare\see such style\such diverse style\such staff\such talented staff
freshman,5,very kind\individual student\also nice\clean slate\great opportunity\able\willing\hard work
freshman,5,amazing\great school\many activity\extremely helpful\feel right home\only\see more diversity\such\hispanic\african student\african american student\even well place
freshman,5,next year\major football\small school\so much pride\make sure\really great place\excited
sophomore,5,like atmosphere\small school\conducive\great learning experience\first tour\private school\perfect student\whole individual
other,5,really amazing opportunity
freshman,5,amazing
other,5,very nice campus
other,5,small\comfortable\safe\very friendly
freshman,5,nice
senior,5,small class\various club\good\make sure\small school\more experience\new student\involved\’ easy\make new friend\afraid
alum,5,nice school\nice small school\close home\great friend\small campus
sophomore,5,amazing environment\high quality professor\amazing\other\very welcomed\comfortable
other,5,small community\perfect
freshman,5,beautiful campus\great place\favorite place
other,5,dean college\flexible admission policy\so exciting\international\prospective student\good option
freshman,5,new\great\helpful
freshman,5,great tie
freshman,5,approachable\dedicated
freshman,5,real life experience
freshman,5,real life experience
freshman,5,new\apparent
senior,5,great school\need small class\very helpful\ready
sophomore,5,compaddible\most computer software\super simple
sophomore,5,real world\well
sophomore,5,different thing
sophomore,5,amazing
sophomore,5,academic flexibility\amazing\good\able
sophomore,5,amazing staff
sophomore,5,many career prospect\most\so many club\good
sophomore,5,amazing\so interesting\fun\so many opportunity\main professor\amazing
sophomore,5,amazing experience\extremely helpful\academic coaching\least\first semester\great club\so many opportunity\available
sophomore,5,
junior,5,many faculty\many dedicated faculty\multi\multi -\- talented\very dedicated\harsh\constructive way\give positive reinforcement
freshman,5,so many class tat
freshman,5,too easy\happy\available
junior,4,own college experience\great\accountable\good experience
freshman,4,excellent\make new friend\great\always willing
sophomore,4,most unique school\super good\only downside\get financial aid\too much\average family\worth cent
freshman,4,good school\good academic\amazing art program\many option\learn new thing\well managed\well organized class\fit\major\very nice\helpful
alum,4,fun experience\amazing\actual\actual first year\meet new people\good\so many personality\many different personality\different state\play different team\good feeling\open\long period
junior,4,
junior,4,highly diverse\wonderful individual\always willing\somewhere available
freshman,4,great school\basically impossible\so many resource\free tutoring\delicious\healthy option\gluten free meat\greek life\not much\many\foreign language class\french\german\latin
freshman,4,how small\small community\very own family\incredibly nice\very clean\beautiful
freshman,4,great college\new environment\make sure
freshman,4,bad school\small school\more\difficult\actual break\financial aid
