sophomore,5,how personal experience\small\public college\more\more likely\small campus\establish good relationship\long run
freshman,5,small campus\small class size\most
senior,5,worth investment\much\small college\important\very helpful campus\good building
other,5,more impressed\big hug
freshman,5,able\very unique\enjoyable experience\very positive\friendly\hard work\very easy\able
senior,5,' current\future success
senior,5,second home\gain more knowledge
freshman,5,solely focused\not amazing\not bad\amazing people\friendly\other\good teacher\average class size\overall bridgewater college\great place\high learning
sophomore,5,overall experience\wonderful\other student\irreplaceable\good friend\only problem\past year\good someday\most day
other,5,very welcoming atmosphere\always willing\possible
senior,5,excellent school\excellent small school\friendly community\amazing professor\offer many scholarship\affordable\make additional money\small class size
freshman,5,small\small community
other,5,clean\polite\respectful\very personable
other,5,great experience
freshman,5,amazing\easy\big community\great student
sophomore,5,fantastic place\most important year\excellent job\so many program\very diverse college\make sure\prepared\prestigious college\high academic\well place
sophomore,5,great experience
other,5,friendly staff member
senior,5,great place\even well place\independent study\small
freshman,5,welcoming\small\personal
freshman,5,very nice\very nice\great knowledge
junior,5,very diverse
freshman,5,great college\cooperative teacher\so nice\so many club
freshman,5,how friendly
sophomore,5,different place\friendly\wide range
freshman,5,so nice\caring\specific club\very friendly\relaxed atmosphere
alum,5,very supportive\friendly atmosphere\ample opportunity\many activity\meet new people\very close\national forest\very happy
freshman,5,really nice campus\nice people\so many friend\so nice\feel welcome
sophomore,5,friendly\positive atmosphere
other,5,kind people\add more activity
freshman,5,very helpful
freshman,5,super people\super nice people\easy\accessible
sophomore,5,excellent\small\not large
sophomore,5,first step\sexual assault
sophomore,5,count more pro\first choice\beyond excited\'s pre\pre - program\- med program\much large\busy\further education\private college\recieve numerous email\senior year\next year
junior,5,close community
junior,5,so helpful\kind
junior,5,how easy\so nice\helpful
junior,5,liberal art school\interesting\challenging
junior,5,dry campus
junior,5,also graduate school visit\many
junior,5,warm\welcoming school\dedicated
sophomore,5,great place\good academic
freshman,5,
freshman,5,good\easy
freshman,5,wonderful environment
freshman,5,great school
sophomore,5,
freshman,5,excellent scholarship
junior,5,terrible dining service\non\non - parking\- existent parking\unnecessary rule\favorite professor\great advisor\academic level\personal level\as much
freshman,5,very important staff\welcome week\fellow student\bad happening
junior,5,main target\many\away game\athletic facility\excellent
junior,5,own sense\particular way\certain look\more dressed\social life\particularly high
freshman,5,generally safe campus\careful\always good\willing\teach female student
sophomore,5,good\good
sophomore,5,very safe campus
freshman,5,many college\many other college\pretty small\well\most\first week\medical condition\fine\upperclassmen dorm\much nice\entire apartment\really close\open midnight
freshman,5,other student\willing\many\underage\dependent
freshman,5,senior grade\important\extra\curricular activity\pretty terrible\matter much\exceedingly pleased\available\major\well selection
freshman,5,available\english major\wonderful\next semester\well selection\competitive field\too much trouble\high school\bad\bad
junior,4,big school\crazy college experience\small school\tiny class\great\personal learning experience
sophomore,4,overall
freshman,4,'s small campus\close relationship
alum,4,great place\make sure
sophomore,4,how close professor\big school\very manageable\overall\whole campus\very caring\connected
sophomore,4,great college\great small college\super friendly\decent\very helpful\so glad\good
other,4,beautiful campus\small class\pretty location\dry campus\close\more\wonderful\amazing coach
sophomore,4,decent college\good scholarship\wonderful staff member\okay college
freshman,4,almost complete
freshman,4,extremely comfortable\able\so many friend\many new friend
freshman,4,very nice\welcoming\absolutely beautiful campus\heavy focus\boring
other,4,small college\appealing
other,4,amazing college\even well campus scene\decent\decent sized\athletic facility\very modern
junior,4,small campus\’ big sport\most\small population\small\very short\most discussion\small group
sophomore,4,pleasant\more professor\excellent college overall
sophomore,4,due\small class size\very close\dry campus
sophomore,4,involved college\so many opportunity\many great opportunity
junior,4,have great experience\big fear\easy\very diverse student\very open\make new friend\limited space
sophomore,4,very small family\very friendly\very clean year\very clean\presentable\very understanding\helpful\other school\that close\Most\very delicious\very widespread\clean\stay clean\great bridgewater\new library\great school
freshman,4,small college feel\perfect school\safe area\small classroom\great\individual learning\many opportunity
freshman,4,good\small\quiet\easy\always friendly
freshman,4,wonderful\so helpful\many source\right direction\many club\many different club\social activity
freshman,4,small college\many opportunity\offer many scholarship\very accepting\supportive
freshman,4,academic\athletic career\small\very pretty campus\really nice\new home\next year
sophomore,4,amazing year\liberal art college\many opportunity\many great opportunity\liberal art school\major interest\major change
freshman,4,glad\friendly\encouraging\even other student\small\very excited
junior,4,most part\nice
freshman,4,seem nice
freshman,4,greek life
