senior,5,inclusive
senior,5,really prepared\suffer due tech\other reason
sophomore,5,very friendly\helpful\stupid\always professional
alum,5,academic advisor\other faculty\always helpful\encouraging\excellent education
senior,5,small\friendly campus\feel comfortable campus\more year\glad
sophomore,5,great mix\academic rigor\social life\many\wonderful professor\make sure\different discipline form\silent party scene\great time
freshman,5,very beautiful campus\afraid
senior,5,great\great academic\social atmosphere\major\then willing\small school\well relationship\enable well understanding\able
junior,5,good self
sophomore,5,small class\grow more student\wise\add more building
other,5,quite fond\small college\small private college\feel safe\comfortable\beneficial\academic career\great thing
sophomore,5,only able\academic career\real world skill\numerous club organization\hard work\great place
senior,5,overall experience\awesome\very friendly\approachable\easy\helpful\open\real world
other,5,very warm\welcoming\many\small school\other\very welcoming\caring\absolutely gorgeous\overall atmosphere\fantastic
sophomore,5,not hard\very important feeling\low\public year\academic scholarship
senior,5,wonderful housing\so many option\very welcoming\small campus
freshman,5,huge campus\great teacher
freshman,5,much different\other university\small university\small\then large university\same time\large university\good
freshman,5,small\small\learn more\very easy\build new lab
junior,5,great environment\superior\other university\always willing\very good outcome
freshman,5,very nice\welcoming\big part\glad\dedicated\fun event\not boring
senior,5,immensely supportive\provide additional information\financial aid\private scholarship\amazing job\sure
other,5,very helpful\open house
junior,5,high class education\dedicated staff\always available outside\most\good\beautiful\undergo new development\more\willing\accept new team member\same interest
sophomore,5,eat healthy\well
alum,5,offer educational opportunity\many university\many other university\small\average\more opportunity\many way\standard curriculum\valuable insight\large university\gain meaningful experience\first year\much large university\current career position\junior\senior year
freshman,5,really patient\really nice\really friendly\nice\recommend other
sophomore,5,financial aid
sophomore,5,great college\small class\very engaging\great professor\favorite class\very exciting\learn new idea
junior,5,
junior,5,great school\great professor\limited\big college
sophomore,5,favorite thing\available\typical dorm\renovate nineteenth century mansion\much\average\most people\pretty nice\few quad\different\different\other people\different\just preference\good\super lucky\nice campus\nearly impossible\very limited
sophomore,5,small school\wide variety\much large university\first year\small school\important student\close relationship\mechanical engineering major\really beneficial\most unique thing\typical dorm building\renovate nineteenth century mansion\old\enjoyable
junior,5,not happy\first biology class\just fit
senior,5,monthly std testing\always helpful\readily available
senior,5,small school\good group\high volunteer\passionate\little\little dodgy\many shooting\feel safe
sophomore,5,very willing\feel comfortable
junior,5,top notch
other,5,responsive facility\great
freshman,5,first
other,5,amazing university\amazing small university\academic excellence\technological advancement\happy
freshman,5,first choice\amazing
other,5,great\other friend\pretty nice
freshman,5,really sweet\there good
sophomore,5,
other,5,wide variety\great pharmacy program
other,5,
senior,5,excellent\very friendly\well
freshman,5,very diverse
sophomore,5,
sophomore,5,very lucky\small class\offer more attention\more individual attention
other,5,definitely worth
sophomore,5,
sophomore,5,very active nightlife\great party night
freshman,5,
freshman,5,old mansion\different\traditional college campus
freshman,5,very live\small school\most school\most small school
sophomore,5,other university\allow freshmen student\extremely convenient\close\also additional parking\available\inconvenient\also free parking\great\upfront charge
other,5,
freshman,5,very cheap\affordable student
junior,4,online resource\similar\main platform\online class\overall quality\high communication\high\overall quality\online class\high
junior,4,very good school\great fit\main thing\first time\first few time\so important\so welcoming\so nice\very helpful\reassuring\incoming\nice family\great location\great geographic location\small\beautiful campus setting\great residence life\academic program
senior,4,many\extremely accommodating\online learning\young
senior,4,very personal experience\small class\small campus\mostly great other\clean\comfortable\varied
senior,4,great\pre\pre -\- med\small\small pre\pre - program\- med program\not much guidance\good advice\small campus\easy\so many people\many different people
senior,4,very accommodating\take online course
freshman,4,very nice university\very friendly\helpful
senior,4,have more housing option\little\little tough
senior,4,very friendly campus\fairly good
alum,4,sure\academic career\so many up\major\overall plan
freshman,4,how tight\never boring professor\willing\athletic staff\very encouraging\willing
freshman,4,very easy\Most\very friendly\willing\right size\too big\small\different food\many restaurant\small\large\diverse opinion\good choice
freshman,4,own issue\most\rough\average course load\amazing\easy\fairly good\too picky\quite sketchy\fine\plenty weekend\only\other\3rd floor hallway\many\wacky heating
freshman,4,accessible\willing\small class\good engineering resource
alum,4,good choice\small class size\more attention\more personal attention\major program\small\easy\safe\now full lot\fun place\’ beautiful\glad
sophomore,4,many\many unique\interesting student\vast majority\friendly\welcoming other\good\find new way\fun\always open\high\great people\less\nice people
freshman,4,amazing science school\good\average college experience\pretty studious
sophomore,4,grand place\really elegant\marvelous\cheap\real estate
freshman,4,small school\great sense\maybe small\big opportunity\sometimes scary
freshman,4,overall professor\great\very friendly
junior,4,very costly\small school\many\highly qualified professor
other,4,great college\very close home\great environment\high education
freshman,4,well explained\very helpful\very pretty\new project
sophomore,4,small school\big opportunity\diverse\other\willing\glad\most\available\that bad\other university
freshman,4,that bad\sketchy\awful\okay
freshman,4,offer many major\amazing faculty\very safe
sophomore,4,great school\more teacher\more diverse teaching staff\same teacher\same class\add more teacher\bring different style\very helpful\new idea
junior,4,very welcoming place\large\very small class\always willing\free food
freshman,4,great school\glad\rough start\able\small\most\close\financial aid office\good\good grade\that high\then good luck
sophomore,4,amazing\high degree\possible\always willing
senior,4,nice campus\beautiful science\beautiful new science building\neat home\neat old home\happy
junior,4,very good connection\good local connection
freshman,4,great\very nice\always happy\really nice\feel safe\not sure\so much tuition
sophomore,4,univeristy\good\good small university\small sized university\good community\great\very safe campus\good experience
junior,4,
junior,4,somewhat safe campus
junior,4,well choice\young sibling\huge\excellent\little\great
junior,4,highly impressed\whole science department
senior,4,generally small\large lecture\most part professor\willing
senior,4,
senior,4,
sophomore,4,fun
sophomore,4,very diverse difference\rare people
sophomore,4,feel obligated\good chance people\same decision
sophomore,4,available\many student\willing\first year\second year
sophomore,4,enjoy most\more successful
sophomore,4,vary safe\nervous\more comfortable\alert button\helpful\public safety
sophomore,4,as social\many people\close dorm
sophomore,4,big part\more sport\other thing\such marching\more student
sophomore,4,terrified\very easy\make long friendship\long lasting friendship\also easy\successful\willing
junior,4,
freshman,4,absolutely huge
freshman,4,beautiful
freshman,4,
junior,4,environmental engineering\current internship
other,4,very diverse
other,4,great school
other,4,great\so many people\so much\diverse university\learn different thing\other culture\first hand\so many place\many other place\plenty club\spare time
freshman,4,dry campus\underage drinking\fround\alone\safe
freshman,4,public officer\public saftey officer\several time
freshman,2,horrible\whole place
freshman,2,public safety\more concerned
freshman,2,only people\small school\small talent
sophomore,2,
freshman,2,nice\where most year\most 1st year student\very nice\also great\little party\other student
freshman,2,definitely edible\terrible breakfast\many student\rediculously small plate
freshman,2,least bit\dissatisfied\nice
sophomore,2,public safety\local police\very proactive patroling\many assault\always prompt
senior,2,much
junior,2,limited\very expensive\Most\'s worth\unsafe place
freshman,2,uncomfortable situation\slippery snow\very hot
