freshman,5,amazing\positive atmosphere\extremely supportive\helping
sophomore,5,high school\excellent segue\top\diverse\peaceful\easy\most part\decent size\offer many club\amazing\affordable education
sophomore,5,very interesting\engaging\open discussion\online class\own problem
sophomore,5,great school\different type\wide variety
sophomore,5,too small\too big\make sure\able
sophomore,5,huge fan\online schooling\get familiar\easy\understandable\always available
other,5,difficult transition\good\online course\very impressed\online learning platform
freshman,5,amazing\willing\make sure\offer free tutoring
sophomore,5,great option\ideal major\small classroom\easy\positive environment
sophomore,5,extremely helpful
sophomore,5,many opportunity\super helpful\excited
junior,5,great learning experience\great
other,5,very clean\safe
sophomore,5,seek high education\low cost\low low cost\free\feel confident
sophomore,5,wonderful school\very happy\different degree choice
sophomore,5,extremely helpful professor\make sure\possible
freshman,5,small school\only thing\well\available
sophomore,5,excellent condition\huge library\academic help\relevant workforce\such
freshman,5,perfect size campus\really easy\so friendly\willing\well kept\clean\gorgeous
freshman,5,diverse community
freshman,5,extremely nice\quite good
sophomore,5,many people\well\beautiful\show much care\care more\most\high school teacher\other college\much well\more affordable\more rewarding
freshman,5,great community college\excellent opportunity\great education\certain thing\other\great school
sophomore,5,kind\willing\beautiful\comfortable\very helpful\convenient\many opportunity\fro student\main goal\delightful year\delightful first year\second year
sophomore,5,pretty happy\very helpful\remain patient\huge
freshman,5,first year\glad\small\easy\easy
sophomore,5,apparent
sophomore,5,last year\amazing\great\always active campus\more thing\more involved
senior,5,double major\great\free\financial college
freshman,5,amazing start\easy\reasonable\many kind\many different kind\kind\other class\future career
sophomore,5,
alum,5,really good\really gorgeous
sophomore,5,amazing\see more people
senior,5,amazing\helpful\kind professor\great
alum,5,great\close home\ready\more course
freshman,5,other college\so helpful\high school\other school\just concerned
freshman,5,very friendly\helpful\so many resource\such\free calculator rental\plenty club\great place\valuable education
senior,5,excellent experience\clean\easy
freshman,5,great place\great\small\main thing
sophomore,5,amazing\as big\endless\healthy junk
freshman,5,other\first day\successful stress\free experience\good service\more\how embarrassing\dumb question\good meal\other school\right price
junior,5,great\great teacher
sophomore,5,great experience\last semester\amazing\many tutor\friendly environment
sophomore,5,small campus\huge difference
sophomore,5,overall experience\amazing\many thing\many new thing\currently about\high school\great place\new experience\leave high school
alum,5,good year
junior,5,really great school
junior,5,very open\friendly\most part\too serious\fun\as loose\nice\feel human
other,5,excellent school\willing\excellent tutoring system
sophomore,5,extremely helpful\make sure\very helpful\amazing college
other,5,open tutor hour\financial aid
sophomore,5,great community college\high school\basic class\basic necessary class\much well price\active\great cafeteria\good food\good price\offer other restaurant\always nice\individual tutor\pretty good\helpful\great community college\first hand look
sophomore,5,take many course\many online course\very easy\convenient
sophomore,5,very caring
sophomore,5,small class
sophomore,5,easy\straightforward
senior,5,other class\difficult\same problem\easy solution\always available
senior,5,terrified\easy
senior,5,
senior,5,great group\united goal\make sure student
freshman,4,excellent\new\crucial\due date
sophomore,4,new learning experience\many student\very kind\new wave\very patient\informative
other,4,great place\always ready\several professor\always clean\available\several\long\very active\great\middle
sophomore,4,really amazing\respectful
junior,4,nice\calm way\big\nice community
junior,4,many option\relatively small school\more personable understanding\’s personal situation\more organized\otherwise helpful
freshman,4,like most\high education\high school
freshman,4,so many reason\so friendly\always willing\how convenient\close distance\clean\how safe\additional parking\stressful
other,4,super helpful
sophomore,4,very helpful\small community college\pretty nice
alum,4,easy\great education\same education\good school\wet
freshman,4,great academic\great location
sophomore,4,Most\great\open scholarship opportunity\non\non - citizen\- us citizen
sophomore,4,good\major issue\clean learning environment\good professor\more representation\stem student\not available\interested
sophomore,4,very clean campus\very safe\offer many degree\many different degree\good\very nice\helpful
freshman,4,quick\easy process
freshman,4,go great\really pretty\cool\few time
freshman,4,very modern\very clear\little\little small\make sure\good space
other,4,very friendly college\more technological
freshman,4,amazing place\small school\enough room\always happy\personal struggle\easy\lovely\glad
freshman,4,friendly\helpful\not much
alum,4,abysmal\latter quarter\senior year\legitimately great\beautiful\somewhat small\overall vibe\very positive
sophomore,4,plenty resource\successful\willing\amazing\only part\only down part\very similar\high school\hard\make new friend
sophomore,4,good step\easy transition\convenient people\really good food\very helpful
sophomore,4,many scholarship opportunity\wonderful support system\most student\not much time\social interaction\small\large\attract good teacher\beautiful campus\great cafeteria
sophomore,4,good community college\online class\so hard
other,4,great\very affordable job\very high
