freshman,5,awesome place\always willing\excellent\beautiful\super friendly\overall atmosphere
freshman,5,'s online learning experience\very good\dual enrollment course\very enriching\online classroom\easy\generally willing
junior,5,always willing\easily accessible\able
junior,5,good school\academic curriculum\non\non other\real world environment\tough road
junior,5,well structured\high school
junior,5,great\wonderful
junior,5,
freshman,5,
other,5,amazing communication\always quick\always willing\very nice
sophomore,5,christian
sophomore,5,small campus\beautiful campus
freshman,5,take online class\so helpful\encouraging\hard\most challenging class\christian iniversity\take great pride\so kind\great opportunity
senior,5,excellent school\beautiful\visit several college\good food
alum,5,excellent college\most beautiful mountain
freshman,5,very friendly\always willing\christian aspect\favorite part\new dorm\very nice
junior,5,past year\biblical perspective\excellent
freshman,5,amazing school\many people\amazing\so many people\many encouraging people\well being\many student activity\muscially talented
freshman,5,very welcoming\very happy\supportive
other,5,wonderful environment
junior,5,great school\great christian school\good professor\good class\amazing chapel\other university\same opportunity\other graduate\different school\first college\future preacher\great school
freshman,5,excellent school\old\new one\very nice\very willing\make sure\welcome
sophomore,5,private college\private christian college\surprised
junior,5,past year\small class size\uplifting\encouraging faculty\second home\very proud alumnus
sophomore,5,amazing school\amazing\so helpful\willing\amazing professor\good part\beautiful campus\beautiful
other,5,several professor\very nice baseball\super cool dorm\little dated\amazing
junior,5,christian environment\right way\more\so many opportunity\local church\amazing
freshman,5,
freshman,5,friendly place
sophomore,5,
junior,5,academic\spiritual
junior,5,
junior,5,
freshman,5,easy task\fun\great semester
freshman,5,feel welcome\absolutely uplifting\make sure\wonderful vibe\ideal college
junior,5,prime importance
freshman,5,small school\easy\reasonable hour\reasonable food\okay\not much college
sophomore,5,few year\so pleased\right place\sure\personal\spiritual life\wonderful friend\own study
sophomore,5,comfortable size\prefer small class\more personal setting\enjoyable\so kind\small size\more personal
sophomore,5,incredibly helpful\kind\stressful\small\small most\hard\most\okay
sophomore,5,great\other major\same school\other staff\personal life\wonderful\Most\very kind\considerate\always ready\unsure\lovely
junior,5,add several program\future year
junior,5,knowledgeable\helpful
junior,5,online class\as much room\explanatory\pretty good amount\take more
junior,5,involved class\very helpful\own major\christian study\few\few more
junior,5,more
junior,5,great\good number\new\first graduating class\first year\no less\not more\so excited\beautiful campus\nice\own family\helpful
sophomore,5,small\great feature\extremely loving\caring\other\other\seem approachable\caring\not afraid\personal expereince\make sure problem
sophomore,5,great campus\offer special celebration day\several time\offer special\offer special dorm activity\bible study\special location\where special guest speaker
sophomore,5,great\great cable service\feel connected
sophomore,5,very expensive\expensive\entire process\very easy\very organized\first year\small college\high\same time\very good professor\high\proactive\sophmore year\federal student loan\private school loan\finiancial aide\too much money\that much\too much\seem unfair
sophomore,5,great
sophomore,5,great campus\great\many campus activity\wonderful
sophomore,5,christian college\different\other school\evident\academic program\incredible
sophomore,5,well worth money\financial aid office\incredibly helpful\sweet\reliable
sophomore,5,small size\interesting\little family
sophomore,5,few commuter\few old commuter student\diverse\many student\many international student\so conservative family\conservative christian family
sophomore,5,ready teacher\kind\usually merciful
sophomore,5,very involved\helpful\very organized\Most professor
senior,5,very involved\most\very freindly\small campus\most\same belief\same religous belief\recieve honest answer
senior,5,open\different team\very beginning
junior,4,great school\so kind\very welcoming
other,4,dual enrollment\high school\first time\lovely\so glad
freshman,4,amazing university\feel welcomed\flip side\small university\not impossible\conscious effort
freshman,4,amazing college\first year\several time\amazing school
sophomore,4,small\very difficult\certain parking spot\most class\easy\only disadvantage\pretty pricey
sophomore,4,small\other\big family
other,4,very good school\rigorous course\rigorous academic course\manageable\manageable most\available
other,4,exciting\other nursing major\very good friend\very interesting\good amount\not hard\so many thing\many new thing\human body
other,4,unique thing\very friendly\become close\great thing\willing
other,4,
other,4,really good
other,4,
other,4,very personal\comfortable experience
other,4,biblical foundation
other,4,great\next
other,4,take online class
sophomore,4,small\easy
sophomore,4,great school\friendly\grow close\too small\like big school
freshman,4,minor issue\convenient
freshman,4,favorite thing\small proportion\challenging\available\convenient office hour\Most\friendly\approachable question\conducive\' optimal learning
freshman,4,most\other college\christian family\single time
freshman,4,most part\great\bad experience\least favorite part\usually rude\unhelpful\unorganized\extra\most part\great\different time
sophomore,4,good school\learn more
sophomore,4,able\receive more\great\able\more
sophomore,4,hear good thing\other student
sophomore,4,pretty impressive\moral conviction\other nationality
sophomore,4,expensive\much cheap\spiritual impact\very expensive\difficult\own way\happy\spiritual enrichment\worth
freshman,4,very kind
sophomore,4,academic staff\as flexible
sophomore,4,small environment\other
sophomore,4,very good psychology program
sophomore,4,great\very interested
sophomore,4,online course\as helpful classroom
junior,4,other\small campus\regular basis
junior,4,academic program\major one\very helpful\always willing
junior,4,young adult\not afraid
junior,4,few class\few online class\very heavy\still able\also easy
sophomore,4,several resource\inbetween\new\nice\fairly good workout\good sized workout center\fair\sized building\particularly fond\awful walk\really necessary\tiny building\pretty nice\old
sophomore,4,private institution\great aid\great financial aid helper
sophomore,4,limited class
junior,2,not much diversity\creative culture\other artist
freshman,2,boring
freshman,2,bad school\very peaceful envviorment\main reason\much\certian student\persue particular goal\very divided\great\wondeful
freshman,1,bad review\very little\first year\make good grade\good move\see such\such incompetent behalf\attend private university\incompetent\dishonest\truly sad\sad such president\such
freshman,1,very unprofessional\bad review\very little
