junior,5,really friendly\of small\little family
alum,5,most qualified student\small\vibrant campus community
senior,5,good school\culinary program\great\many option
sophomore,5,amazing\cute town\cute small town\so much\amazing\so helpful
freshman,5,so welcoming\just awesome
freshman,5,offer extra help\many place\many quiet place\super nice\friendly\rude\bad attitude\more study group\Most freshman student\too nervous\tremendous change
junior,5,very fun\completely different\countless opportunity\feel included\beautiful\friendly\easy\meet old friend
other,5,different university\like training facility\complete\electronic simulator\high tech mannequin\clean\feel cozy\safe student\full\southern hospitality\good place\beautiful library\full resource\beautiful museum\seem easy\many activity
sophomore,5,great\incredible\open door policy\need accessible\public library\flexible hour\few thing\more parking space\hard\walk long distance
freshman,5,amazing experience\very nice\always willing\make sure\so kind\always willing\extra mile
freshman,5,small professor\helpful
sophomore,5,amazing\super friendly\respectful professor\super helpful\make sure\amazing\great place
senior,5,fourth year\lovely place\Most class\reasonably sized\great\clean\safe environment\only flaw\how hard parking\certain time\little overpriced\clean\very friendly\welcoming\unique way\make many friendship\many valuable friendship
sophomore,5,excellent review\relatively small size\undergraduate course\more efficient learning\interested\such family\amazing\' friendly\educational campus\wonderful home
senior,5,very little drive time\very nice\willing\give extra help\easy\only drawback\pretty high
junior,5,small student\only thing\mandatory dorm\upperclassman
freshman,5,such\great school\amazing nursing program
other,5,great program\great culinary program\where potential student\like\whole day
freshman,5,Most\small\good relationship\all prepared\answer most question
other,5,small family atmosphere\most\small\large university\easy\many opportunity\stay busy
senior,5,senior year\culinary major\nice town\very small\close\so fun
freshman,5,very wonderful place\deserve more food choice\major issue
freshman,5,more organized\most college\past year\amazing
other,5,good university
freshman,5,great\helpful\beautiful\supportive\positive thing\great football team
junior,5,like most
junior,5,non\non - student\- traditional student
freshman,5,good\easy campus\real easy
alum,5,
other,5,great\avid\involved\very kind\always available\memorable experience
sophomore,5,close home\such background\such diverse background
other,5,amazing student body\many opportunity\many amazing opportunity\such\well equipped\incoming freshman
junior,5,small university\excellent program\excellent academic program\knowledgeable staff
senior,5,great univeristy\amazing college experience\necessary\know most\fun\own\greek life\very unique\greek student\successful\great season\close battle game\great college experience\many club\great community\great friendly community
other,5,beautiful\very safe campus\very understanding\amazing\many thing
alum,5,friendly\always eager\possible\many\many fun\educational venue
freshman,5,outstanding\wonderful
freshman,5,great change\only thing
junior,5,very unique college\too small\too big\have such class\such small class\easy
freshman,5,’ great\great food\great people\great teacher\great come
freshman,5,many opportunity\easy\close\always available\good place\so many activity\individual workout session\more event
alum,5,great university\quite big\awesome\most important thing\friendly\many student\many fellow student\avpersonal attention\great\very friendly\kind
other,5,small campus\small\good\super nice\have great experience
freshman,5,first year\awhile\pretty cool\able\little\little hard\so much homework\make new friend\short time\good\most\certain event\able
freshman,5,amazing college\feel welcomed
sophomore,5,last semester\always helpful
sophomore,5,great university\great education\many activity\many different activity\available\big bonfire\great music\so many thing\many other thing\Most people\first year\very excited\second year\first semester\seem hard\get well\ready\well experience\many activity
sophomore,5,wide variety
sophomore,5,perfect college\small university\bayous\perfect atmosphere\perfect cajun atmosphere
sophomore,5,perfect school\many student\affordable year\too big\most people\very welcoming\very good job
freshman,5,very diverse campus\small town\different thing\very great school\experience new thing\maybe more thing
freshman,5,so glad\big fer\alone n campus\difficult\super friendly\always available\need extra help\really nice\other\more\strict side\really easy\amazing\other option\really good\as many\easy\free food\huge bonus
freshman,5,wonderful one\meet many student\many other student\extremely familiar\feel great\safe university\make new friend\great choice
freshman,5,so much\worried\great resource\good college\new journey\great faculty\friendly\as big\easy\find different network
junior,5,very clean\nice\so easy\late\easy\convenient store\great
freshman,5,
freshman,5,ok\nice
freshman,5,safe place\early morning\late night\safe
freshman,5,friendly
freshman,5,happy\very large campus
junior,4,pretty cool\very understanding\few class\few online class\due\as easy
freshman,4,fast communication\affordable payment plan\various medium\various social medium account
freshman,4,online experience\great\quick\online course\easy\ready access\online course
alum,4,very fond\academic side\very practical\precise\vast difference\own classroom
alum,4,use online learning\hybrid campus
alum,4,small campus size\supportive faculty
senior,4,online class\easy
freshman,4,willing\afraid\first day
sophomore,4,super glad\super easy\prefer small university\very reason\clean\easy
freshman,4,first semester\so much fun\great environment\very friendly-\so kind\southern hospitality\amazing\well\clean\cozy
senior,4,online course\great\consistent\easy\great experience\great online experience
sophomore,4,first year\whole environment\whole new environment\friendly\very understanding considerate\only thing\financial aid office\more caring considerate\more understanding
sophomore,4,very helpful\freshmen year\amazing thank
freshman,4,
other,4,very welcoming\new student\good education\become prepared\real world\become ready
freshman,4,so friendly\first semester
junior,4,close home\able\very safe campus\very helpful\wide range
junior,4,rich\diverse culture\small town\good friend
freshman,4,small college\small town\big\first tour\so welcoming\of odd\shy girl
alum,4,local town\local small town\rural feel\warm\welcoming\good
senior,4,wonderful\small campus\amazing
junior,4,wonderful university\wonderful academic university\other university\small town\positive environment\good match
sophomore,4,international student\new\feel alone\lonely\really good\small campus\small number\quiet peace
freshman,4,online student\know much\very good school\great teacher
sophomore,4,good activity\crawfish day
senior,4,small\important\more effective student
freshman,4,nice\more caring teacher\nice\horrible\wait last minute\possible\few teacher\few wonderful teacher\helpful
freshman,4,first\several\new friend
senior,4,small campus\big party school\affordable\only food company\taste good
other,4,hear good thing
sophomore,4,great way\first semester
junior,4,active community\heavy sport influence
senior,4,most part\informational\good load\terrible\loud people\absolutely gorgeous\involved\not much\nonexistent\local area\small\not much\cute\little\little bland\surprisingly good\big problem\responsible
sophomore,4,several opportunity\more organization\such\african female\african american female\african female\african american female\many activity\friendly\willing\meet new people
sophomore,4,small campus
freshman,4,encouraging People\awesome\whole semester\s understandable\happy
sophomore,4,easy\get more help\very good\off day\well
