senior,5,great college\so many opportunity\undergraduate\graduate school\old professor\able\wonderful institution\great gift\other college
sophomore,5,excellent choice\high learning\stay focused\deligent study\short
sophomore,5,
junior,5,appalachian trail\very beautiful
senior,5,
sophomore,4,great college\awesome\small\more\comfortable learning environment\great college
freshman,4,beautiful
junior,4,great place\quick bite\like japanese food\great spot
junior,4,remarkable\old\old\patient personnel\female age\local campus
junior,4,excellent\good place
other,2,major\numerous sport
senior,2,rain bad\really cold
senior,2,
sophomore,1,
sophomore,1,very boring
