other,5,amazingly helpful\nice\so amazing
senior,5,there last year\amazing\very helpful staff\fast time\really happy
other,5,glad
freshman,5,most beautiful school\beautiful small school\great time\so excited
freshman,5,small class size\good part\private university\really nice\new weight room\really expensive
alum,5,major\fantastic\top art school\more valuable
alum,5,very safe
alum,5,other college\pretty large
alum,5,very dedicated\particular niche field\really dedicated\servant learning\annual trip
freshman,5,get passionate
freshman,5,possible
freshman,5,new workout facility\amazing
freshman,5,new work\open gym\much more
junior,5,form fast food\good mix\different type
junior,5,great experience\easy
junior,5,great party\one close
junior,5,good
freshman,5,hard
freshman,5,very impressive student
sophomore,5,not difficult
sophomore,4,great school\extremely kind\first name
junior,4,great\first day\first\real world thing\same stuff\come true\collegiate level\independent conference\great friend\great people
sophomore,4,so small\very close\small community\very kind\considerate\small\easy\small\easy\overall atmosphere\great school\small town
senior,4,small\very helpful assistance
junior,4,
junior,4,small\make great relationship
junior,4,slightly impartial
freshman,4,small\list multiple way student
freshman,4,great time\decent season\new man\new gym\good use
freshman,4,great\very small\little big\beautiful place\great\pretty neat
freshman,4,great
freshman,4,amazing
freshman,4,
junior,4,friendly\open time\hard
junior,4,cute town\cute small town\small town
junior,4,good way\possible
freshman,4,safe
senior,4,small\nice\nice
senior,4,wonderful\many
senior,4,straight answer\financial aid office
sophomore,4,too strict rule\ordinary
freshman,4,great teacher\very good\very open\helpful\competitive\very small class size
freshman,4,nice scholarship
freshman,4,few house party\huge party
junior,4,great staff
freshman,4,wide variety\open
sophomore,4,integrated\interior product\sustainable design\great program\learn many design\many many design skill\ready\more pleased
sophomore,4,integrated\interior product\sustainable design\great program\learn many design\many many design skill\ready\more pleased
junior,4,safe area\only thing
junior,4,only issue
junior,4,wide variety\offer more class\specific course\fair variety
sophomore,4,good parking university\small campus\late\minute walk
sophomore,4,good amount\available\financial aid\very good experience
sophomore,4,other business degree\next spring semester
sophomore,4,always available\very small campus\very small discussion\really helpful
sophomore,4,good cost\little expensive\very good cost
junior,4,not noticeable\friendly\only way
junior,4,really good\take awhile\pretty quick\free wireless\normally good
freshman,4,very safe\minor insidence\great crime\free area\wonderful people\always ready\willing\feel unsafe\not afraid\very small campus\even easy
sophomore,4,available\always good\very high crime rate\average\to expensive
junior,2,skewed experience\good teacher\key people\’ bad\high school\unhelpful teacher
junior,2,greek life
junior,2,not much\other
junior,2,confusing\unorganized
sophomore,2,small school\many course
sophomore,2,
sophomore,2,lazy\Most student
sophomore,2,close campus\close\fairly safe
sophomore,2,good food
sophomore,2,awful\special treatment
senior,2,Most people\real school
senior,2,old\need many repair\many classroom
freshman,2,second large\laundry machine\expensive\gross there\same people
freshman,2,small town\many bar\good party
junior,2,very little student involvement\few student playing\feel bad
freshman,2,old\outdated dorm\fairly outdated
freshman,2,upper\huge hill\give upper lot
freshman,2,
freshman,2,pretty old art\nice tho
freshman,2,small party\most people\huge party
freshman,1,unpleasant person\empty seat\very windy\close call\rather homophobic place\openly\openly lesbian\less hateful
alum,1,
sophomore,1,sexual assault\racial tension\other\collect extra tuition\other school\collect extra tuition\sour grape\yearly turnover\not alone\awful school\awful unscrupulous school
freshman,1,small school\bad thing\bad\high school\barely okay\much\most sport\very little team\most recruit\senior player\good college experience
junior,1,most miserable place
freshman,1,greek life
junior,1,
sophomore,1,greek life\very few bother
sophomore,1,little aid\clear response\impossible
sophomore,1,not visible\enough participant\consider active\certain aspect\impossible
senior,1,only open\certain time\always questionable\eat certain thing\always iffy
freshman,1,few frat\so troublesome\few
freshman,1,s mental health care\small community\terrible
freshman,1,hot\first part\crazy amount\crazy
freshman,1,good thing\very isolated\not much
junior,1,
freshman,1,not many choice
junior,1,not many place
freshman,1,strong school\strong powerful school\full
freshman,1,cheap\expensive student
