freshman,5,amazing school\so close people\spiritual life
other,5,free\really nice
freshman,5,incredible opportunity\somewhat small\christian college\incredibly personable\willing\hard work\free\more\adequate
other,5,very easy\very personable\easy\amazing\sufficient\easy student\different way\general\help further ability
freshman,5,great atmosphere\other administrator
alum,5,unique experience\free\most graduate
alum,5,excellent faith\liberal art education\fold mission\incredibly dedicated staff\professional development\forever grateful
freshman,5,great school\free\very thankful\able
other,5,wonderful\safe atmosphere
freshman,5,wonderful\ethic college\great learning experience\Most kid\great\real world\good\safe
other,5,very friendly\wonderful tour\fun activity\very comfortable\relaxing\helpful\amazing\amazing clean\safe\hardworking environment
other,5,other\little college\of nice\beautiful ozark
senior,5,great school\awesome standard\friendly people\beautiful area\able
freshman,5,great experience\fun experience\good people
other,5,fifth grade\overall beauty\more\become educated\happy\involved community\willing
freshman,5,phenomenal\so safe\top notch\very involved\first semester
senior,5,non profit\private school\great place\easy
freshman,5,amazing college\offer many opportunity\free
other,5,free\gorgeous\friendly
freshman,5,awesome
senior,5,wonderful school\not afraid\able\only thing
alum,5,long\distinguished career\own home\strong\even strong\hard work
freshman,5,free\willing
junior,5,independent\responsible\patriotic student\well rounded education\rounded general education\very specific major\really great professor
freshman,5,very involved
freshman,5,great\worth
other,5,great place\very friendly\informal
senior,5,very pleased\how easy process\very long\very interesting\small\most\many option\intramural sport
sophomore,5,great school\lucky\free\amazing
sophomore,5,amazing\double degree\amazing
other,5,great\great\outstanding
junior,5,extremely safe\own security department
junior,5,easy employer\hard work ethic
junior,5,great\little more
junior,5,amazing\weekly event\also many trip\great amount
freshman,5,huge turnout
freshman,5,unique\difficult
sophomore,5,great atmosphere\really friendly\top notch\helpful
sophomore,5,illegal
sophomore,5,strict rule\gain great value
sophomore,5,enforced rule\great\responsible adult
freshman,5,
freshman,5,free ton\stupid fight\sleazy drunkard\often free food\good music\good friend
freshman,5,almost non\non -\- existent\very safe campus
freshman,5,financial aid office\very useful
junior,5,warm side\most beautiful place\absolutely beautiful\healthy\bright\allow endless hour\many shopping center
junior,5,
junior,5,criminal justice major
freshman,5,
freshman,5,fun stuff\other school
junior,5,difficult
junior,5,
freshman,5,wonderful family\friendly place\very safe\very supportive
freshman,5,financial aid office\very helpful\financial aid office\main go\accepted student\need financial aid
junior,5,major rock\high level class\soft gun
sophomore,5,so many student\many international student\missionary kid\great\other culture
junior,5,human biology\great program\willing\so many opportunity
freshman,5,catch underage alcohol\illegal substance
junior,5,huge\many student\great training
junior,5,very helpful\moderate\challenging student
sophomore,4,very illogical rule\such\very good
sophomore,4,rich education\grateful
alum,4,free\so many skill\many useful skill
freshman,4,great college\little\busy
freshman,4,easy transition\online learning\net system
senior,4,big challenge\personal\professional life
sophomore,4,wonderful team\devoted\good\hard work\good work ethic
sophomore,4,good college\extremely conservative\certain issue\difficult\definitely worth debt\free
freshman,4,pleased\only problem\minor miscommunication\beautiful\functional\helpful\friendly
freshman,4,very good\more clear rule
senior,4,amazing college\high\very christian\patriotic school
sophomore,4,highly distinguished speaker\leave open opportunity\big thing\too busy
sophomore,4,free tuition\extremely wide\varied\free\amazing\good work ethic\very strict\good deal\most
freshman,4,average\other campus\wide range\become repetitive\rank average\most spacious\good size\always clean\good amount\great job
sophomore,4,awesome college\so many opportunity\many amazing opportunity
alum,4,terrible\corrupt administration\religious\extremely conservative\conservative home\prepared\small thing\free
freshman,4,private college\private christian college\truly grateful\aid many student\financial need\believe certain rule\real world\more diversity
sophomore,4,unique opportunity\unable\little\unable\challenging school\well worth\hard work
sophomore,4,third semester\other achool\very unique\free
freshman,4,great place\hardworking\patriotic citizen
freshman,4,wise\many student\hard\so much\short month\hard\single night\stay alive\christian education
junior,4,
junior,4,
junior,4,many opportunity\heavy workload
junior,4,feel safe security
junior,4,Most\good
senior,4,feel safe\never worried
sophomore,4,enjoy most\very high
sophomore,4,many employer\many different employer\become hard\good worker
sophomore,4,little\very safe\make sure\feel safe
sophomore,4,adequate space
sophomore,4,good majority\make sure
sophomore,4,great\very spacious\comfortable\double occupancy\little\little tight\other\good sense\big family
sophomore,4,very good basketball team\amazing
sophomore,4,
sophomore,4,fair semester
sophomore,4,small\more personal attention
sophomore,4,get well\upper class man\nice\more spacious dorm
sophomore,4,great school\hard work
junior,4,great facility\athletic program
junior,4,
junior,4,quite expensive\know much\resident lifestyle
junior,4,wonderful school\able\adequate amount\efficient time management\great\like character\several people\good feeling
freshman,4,difficult school\worth hardship
sophomore,4,little\little overwhelming\financial aid worker\always willing
sophomore,4,hard\well job\busy\free education
sophomore,4,great student\married
sophomore,4,fast food place
sophomore,4,pretty busy
sophomore,4,fast food place
sophomore,4,available scholarship\difficult
freshman,4,hard\good spot\also full\good food option
freshman,4,strict school\safe
freshman,4,small\very nice considering\very close class\wonderful gathering\wonderful social gathering
freshman,4,athletic facility\very nice\adequate
freshman,4,very good program
freshman,4,
junior,4,financial aid\qualified\decent time\easy\only downfall\high school\unfortunate part\other scholarship
junior,4,double\double major
junior,4,great gym
alum,2,average\many area\few athletic opportunity\available\many job\good party scene\many class
sophomore,2,encounter many thing\much research\toxic mold\toxic black mold\severely ill administration\not flexible\glorify high school\love high school\most\limited time\limited free time\wonderful experience\terrible one
alum,2,great\free\amazing\all astounding\very few\just amazing teacher\mediocre\athletic prowess\very many people\bad\enjoyable policy\such\become ill\married housing
junior,2,
senior,2,old
sophomore,2,opposite sex\when open house\fun\strict alcohol
freshman,2,very small\very old\very clean\not optional\many event\many social event\new dorm\nice
senior,2,less other\married
sophomore,2,open
sophomore,2,boring\same\same old show\few thing
junior,2,
freshman,2,wonderful\spacious\fairly new\Most freshman girl\senior girl\most spacious room\senior dorm\old campus\good quality\not good\great dorm
sophomore,2,free\get old
junior,2,quite\quite lonely coffee\central place\very lonely\naturally social
freshman,2,Most\decent price
junior,2,thi car\only certain parking\married
sophomore,2,good food
senior,2,really worth\strict rule\look natural\normal color
alum,1,very few class\few online class\present
other,1,black mold\huge problem\medieval a\extremely outdated desk\not safe\follow proper health\good christian\extremely cruel\kick high amount\extremely turnover\extremely high turnover rate\christian college\fake cult\good review
freshman,1,wonderful\other thing\other positive thing
freshman,1,
sophomore,1,only place\terrible\most food\most unhealthy food\terrible\good food\good\bad\very bad
sophomore,1,terrible wireless\slow internet\few place\few select place
sophomore,1,married
sophomore,1,fun\opposite gender
junior,1,very strict\look bad\strict dress code\more\careful\careful\very strict
freshman,1,religious group
sophomore,1,difficult
junior,1,own car\public transportation
sophomore,1,
senior,1,conservative
sophomore,1,offer more choice\more healthy option\good shape\good physical shape\very unhealthy option\not many option\same\fairly expensive\many school\how many meal
freshman,1,greek housing\few honor society\such
