senior,5,great school\great prestigious school\top tier
alum,5,online learner\online class\particularly ideal\easy
alum,5,
senior,5,amazing place\great\great\only place
senior,5,amazing place\great\great\only place
junior,5,financial security\black student\remain unparalleled
junior,5,financial security\black student\remain unparalleled
alum,5,great atmosphere\great education
alum,5,great atmosphere\great education
freshman,5,wonderful\so nice\much easy
freshman,5,so diverse\helpful
freshman,5,of old\good restaurant
freshman,5,apologetically black\so many people\many intelligent people\how blessed
other,5,online format\great deal
alum,5,other\national school\international school\broad\deep\pervasive\hallowed hall
alum,5,not relevant\online course\not relevant\online course\not relevant\online course\not relevant\online course\not relevant\online course\not relevant\online course\not relevant\online course
freshman,5,good
freshman,5,amazing\amazing attraction\nearby such\national cemetery\full\so much history
sophomore,5,amazing school\full\beautiful people\so helpful\general\good\right\give many opportunity\very rigorous
freshman,5,unbeatable\creative\academic community\african\american student
alum,5,good decision\ambitious\determined student\main campus\beautiful\amazing place\strong sense\most part\intelligent
alum,5,great teacher\excellent academic
other,5,very excited\helpful\fun
other,5,amazing school\contemporary problem\contemporary global problem\core value
freshman,5,fantastic experience\supportive staff\amazing student life\overall community experience\other university\rigorous\competitive academic\good
other,5,good environment\great education opprounitie\large campus\safe campus\friendly staff
other,5,really fantastic\really nice\friendly\rich history
junior,5,new family\so much\different background
freshman,5,good environment
other,5,very warm\welcoming school
other,5,amazing\extremely helpful\good interest
alum,5,good\different group\different way
other,5,last year\well\successful people\successful black people\black culture
freshman,5,good decision\great\endless
junior,5,short\amazing
freshman,5,big community\other
other,5,
other,5,good\absolutely beautiful
alum,5,great school\very open\inviting\future student\able\beautiful\greek life\actual class\introduce new idea\more open
other,5,amazing\good choice\so much\create livelong memory
freshman,5,great school\next leader\next black leader
junior,5,so many opportunity\future career
sophomore,5,new everyday\more\’ important\different\hard time\way more gem\right place
sophomore,5,overall experience\overall great experience
freshman,5,so many type\many different type\good
sophomore,5,happy\nearby
alum,5,
junior,5,last year\good decision\many experience\many positive experience\old school\intellectual stimulation\second year\learn more\only academic knowledge\social\psychological knowledge\how important\same drive\able\racial boundary
sophomore,5,great school\predominantly white school\little\little sketchy\safe\also nice\national mall
junior,5,many university\many other university\next year\only thing\old professor\hard
sophomore,5,amazing school\new student\amazing experience\black student
junior,5,whole campus\so loving\single student\so willing\very nice\so many thing
sophomore,5,good university\amazing\very comfortable\greek life\very exciting\very amazing\fun activity\very interested\major\pediatric neurosurgeon
senior,5,beautiful campus\large student\large diverse student body
freshman,5,only complaint\first time
sophomore,5,amazing place\successful people\safe environment
freshman,5,good\academic rigor\major engineering\major civil engineering\much small\usual\able\much close experience
junior,5,unmatched\poor professor
senior,5,new aspect\personal trial\capable\more\discover more\many amenity\pleasing\offer many aesthetic\past year\past several year\’ more\more amazing
other,5,incoming freshman\several time
junior,4,overall student\small percentage\general\third year\clear\only concerned\so focused\financial strain\evident
freshman,4,online learning experience\unexpected\good change\get easy\big help
freshman,4,
freshman,4,feel well\whole experience\as good face\great
freshman,4,
sophomore,4,online class\awkward\become easy\concerned student\good\well
sophomore,4,close family\ill\social event\very good care\good\first choice\very happy
other,4,get tired\piss condition\piss poor condition\electric slide\well communication\black experience\anot ready
sophomore,4,interesting experience\get well time
sophomore,4,great school\social life\simply amazing\more
sophomore,4,
junior,4,many opportunity\many people\many amazing people\administrative
sophomore,4,good decision\responsible self\sufficient\other
senior,4,
senior,4,great\unmatched\wonderful\intelligent minority\only fall\only down fall\non teaching faculty\financial aid
alum,4,overall great\full experience\great freshman\very relatable\good chunk\tough\able\stellar\good time\alum\Most\favorite part\bright\ambitious people\high\so many connection
other,4,not much\fantastic college\seem great\overall campus\great\absolutely fantastic
sophomore,4,smart\excelling\excelling african individual\african american individual\very caring\very persistent
freshman,4,amazing professor\extremely informative\enjoyable\as good\not well\new people\daily basis
junior,4,good\good\good scholarship\international student\provide financial aid\expensive\not effective cafeteria\average
junior,4,other university
sophomore,4,great place\undergraduate study\largely african\also african\american\feel welcome
junior,4,amazing university overall\safe space\african\african american\black student\great space
senior,4,rich history\dedicated\educate young\young african student\african american student
freshman,4,first year\first month\not easy\important\numerous staff member\fellow student\good
sophomore,4,amazing\right\good\edible professor\great(except math\good part
freshman,4,social\professional network\so many way
freshman,4,stellar\social sphere
freshman,4,financial aid program\great institution\just slow progress
freshman,4,hard time\bad\edible\good school\good experience\african\american student
freshman,4,great place\numerous opportunity\various source\various external source\favorite part
junior,4,own experience\as much fun\as successful\not tough
freshman,4,great institution\last\financial aid\major issue\shameful thousand\common issue\same department
alum,4,very cultured university\rich history\feel seen\vast amount\more\many\iconic\many author\many great author
junior,4,amazing school\black experience\confident\expressive\own space\top tier\teach\teach african history\african american history\worth hassle\bad
junior,4,not good\nice\so many type\many different type\black people\not good\nice\so many type\many different type\black people\not good\nice\so many type\many different type\black people\not good\nice\so many type\many different type\black people
freshman,4,first choice\be glad\new insight\’ certain area\pretty decent job\proud
sophomore,4,great institution\low maintenance\infrastructural issue\other
freshman,4,personal opinion\many obstacle\financial service\devoted\overall student experience\amazing education\create many friendship\develop many source\systematic networking\various kind
senior,4,
senior,4,offer amazing opportunity\many restaurant\different food\different ethnic food\very helpful\willing\extra mile\there student\many research opportunity
