sophomore,5,small size\great community
sophomore,5,very flexible\understanding thing\online learning\always quick
junior,5,tight community\quiet\right people\essential
sophomore,5,good opportunity\specific element\more productive\make smart college decision\educational experience\amazing\more party
sophomore,5,online experience\difficult\first week\hard work\different environment
sophomore,5,online class\extremely helpful
sophomore,5,friendly\so much
sophomore,5,wide variety\expensive
freshman,5,beautiful campus\wonderful food\more social event\meet new people
freshman,5,wonderfully welcoming atmosphere\absolutely stunning\wide variety
other,5,absolute castle\gorgeous\incredible\very low rime rate
freshman,5,beautiful campus\so welcoming\willing\extra mile
other,5,how welcoming\awesome\personal connection\physical therapy program\very appealing
other,5,first time\absolutely gorgeous\very nice\really nice range
freshman,5,great fit\small class size\absolutely amazing\free tutoring\amazing school
sophomore,5,meet new people\different culture
senior,5,amazing experience meeting\so many people\various background
senior,5,too small\too big\so inclusive\so much voice
other,5,friendly
junior,5,lovely experience\small\ample interaction\subject matter\deep discussion\well
sophomore,5,small school\amazing study\fabulous science department\even further education\how expensive tuition\outlandish price\similar school\low tuition\great school
sophomore,5,really great school\very diverse\good thing\major requirement\great thing\able\different thing
sophomore,5,
sophomore,5,
sophomore,5,learn valuable lesson
sophomore,5,
sophomore,5,feel safe
sophomore,5,good\created unity
sophomore,5,
freshman,5,very supportive\extra help
freshman,5,always able
freshman,5,safe environment\big family
freshman,5,amazing condition
freshman,5,athletic community\huge family\intermural sport\very fun way\big family
freshman,5,extremely excited\all unique\respectable\beautiful place
freshman,5,second semester\quite sure\very engaging\full depth\own opinion\very inspiring\excited\very satisfied
sophomore,5,feel unsafe
freshman,5,prestigious system\prestigious academic system\good\academic advisor\make sure\correct class\correct time\make sure\major\many solution\amazing course
freshman,5,actual center\very accomodating
freshman,5,fortunate\rather odd housing situation\more happy\terrified
sophomore,5,smooth
junior,5,incredible\more\incredible\always interesting\small\beautiful
junior,5,great program\real world\good experience\strong camaraderie
sophomore,5,top pick\other factor\able\first semester\first year\incredible way\different method\shadow several member\several different member\large function\first year\so many culture\many more culture\have available\junior year\respective field
sophomore,5,great school\so many friend\many great friend\first year\such class\such small class size\great study\first year\long travel experience\kind experience\great info session\other program
freshman,5,seem great\late\small school\small private school\small population\amazing program\amazing abroad program\so many opportunity
freshman,5,
freshman,5,excellent\rare case\personal safety\feel unsafe\public safety\public safety staff\very friendly
freshman,5,perfectly fine\safe\not worried
freshman,5,amazing\passionate
freshman,5,small business
senior,5,tight family\small school\incredible\willing\very different\most\future career path
senior,5,
senior,5,able\close assistance
sophomore,5,various apartment\very affordable\comfortable
sophomore,5,very happy\sure
sophomore,5,
sophomore,5,great\international study\major\Most\great deal\certain part\super easy\too heavy\super easy\so close
junior,5,so happy
sophomore,5,public safety
junior,4,great university\global perspective\racial gender
junior,4,good\online learning platform\seamless\possible\different\difficult
sophomore,4,amazing\ideal campus\ideal small campus\very understanding\fairly friendly
sophomore,4,great school\small environment\feel lonely\possible\long memory
sophomore,4,disabled student\adequate equipment\high quality
freshman,4,diverse\extremely helpful\financial aid\absolutely amazing\more food option\amazing
alum,4,international experience\great\new leadership
sophomore,4,small size\great opportunity\personal goal\most professor\available research\late box office\explore broad horizons––which
