freshman,5,online learning
freshman,5,spend more time\easy way\very helpful\very knowledgeable\very clean\great place
freshman,5,first year
freshman,5,online class\last semester\handle online class\get well\more organized\due date\weekly reminder\really hard\severely ill\online learning\overdue\extremely thankful final\less stressful\first time
sophomore,5,good college\excellent\very knowledgeable\good education\possible\excellent\very understanding\real world\most student
sophomore,5,online learning platform\friendly\other student
sophomore,5,online course\hear many thing\many good thing\online course
sophomore,5,amazing\very clean\interactive\nice
freshman,5,great place\good program\able\capable\high\national success rate
freshman,5,good equipment\good heavy equipment school\great\easy\good
freshman,5,very welcoming amour\very welcoming staff
junior,5,so much\easy\off time
freshman,5,good mix\conventional program\conventional 4yr program\very nice\minimal disturbance
senior,5,technical school\make sure\limited amount
freshman,5,very capable\friendly\very helpful\very helpful
other,5,very friendly\good\clean\close\jam packed\very good\wide selection\very nice
other,5,open house\very clean
freshman,5,big plus\fast
freshman,5,good door\social scene\also good
sophomore,5,just ecstatic\such teacher\such caring teacher
freshman,5,incoming freshman\so pleased\very nice\culinary program\outstanding\high school student\amazing\reaffirmed desire
sophomore,5,full\very friendly staff\great college environment\very helpful
junior,5,great academic\rewarding\great employment rate\make sure
other,5,very nice\helpful\other student\nice
freshman,5,first year\few time\beautiful\so friendly\willing
freshman,5,great college\many major\many different major\much more
freshman,5,great place\post\post - education\- secondary education\2nd semester freshman\very impressed\many yr\wonderful professor\many\beautiful\phenomenal\right college
junior,5,so friendly
alum,5,great\perfect college experience\enjoy small town\similar\large college\helpful\positive\unique major\great job placement
other,5,very spacious\feel comfortable\main dining facility\wide range\excellent food\seem fun\wide range
alum,5,large\senior year\large home builder\other penn college\social life\big contribution\good college experience
sophomore,5,very personal\supportive\so many place\fall safe
freshman,5,here- administration\very helpful\caring\great
sophomore,5,honestly excited
sophomore,5,beautiful\offer many\many different program\different academic program\very unique
sophomore,5,major\choose more class\more elective class
sophomore,5,technical school\incredible hand\wide variety
freshman,5,honest\first sight\really good program\very nice
