freshman,5,very good\online learning
freshman,5,willing\possible
senior,5,good friend
freshman,5,small campus atmosphere\easy\other student\great base\future endeavor
freshman,5,perfect size\not much\boring\small school\busy\be satisfied\so many scholarship
other,5,extremely welcoming
freshman,5,amazing\knowledgeable\more\willing\willing\extra curricular\very good
freshman,5,really nice place\help other\great place
freshman,5,nice\good
other,5,small campus\very nice\nice safety feature
senior,5,similar beginning\heavy emphasis\academic rigor
freshman,5,so nice\welcoming\very outgoing\very relaxed\small town
other,5,first time\high school\so positive\past year\great community\proper skill
other,5,very nice\very rainy\droopy day\very welcoming\energetic\new engineering building\very nice\good experience\good possible experience
alum,5,extremely expensive\worth\top\most\doctorate degree\safe\beautiful\comfortable\individualized attentiveness\most class
freshman,5,wonderful school\personal connection\wonderful resource\great internship opportunity\mid\mid - university\- sized university\so many resource\absolutely awesome\personal study lab\many department\wonderful people
other,5,amazing\great place\totally comfortable
freshman,5,new start\excellent place\so welcoming\inclusive\easy\easy\easy\good education\hard work
other,5,wonderful\so nice\very informative
sophomore,5,last choice\unique experience\good staff\close\few professor
junior,5,great school\great student\give much
sophomore,5,great program\only problem\careful\high regard\little\little well other
freshman,5,amazing school\extremely welcoming
freshman,5,so good
sophomore,5,great school\great teacher\real interest\really easy\really cold day
alum,5,so many friend\many great friend
senior,5,long\enjoyable\more\amazing\entire staff\great\online class format\easy
sophomore,5,very lucky\as much help
freshman,5,nice size\nice mid size college\small\other people\most building\good\good school
senior,5,last year\wonderful experience\Most\great\kind\supportive\few professor\few\so many way\great size\seem high\financial aid department\wonderful job
sophomore,5,safe space\always knowledgeable\good\make sure\available\whenever possible\only thing
other,5,great combination\personalized\private university\little large
senior,5,tight school\wonderful\single advisor\everyday\less hard\maintatin academic excellence
junior,5,amazing\so many resource\hard
sophomore,5,good experience\small class size\individual attention\small class size
senior,5,clear\available\helpful step\whole process\as easy\possible
sophomore,5,nice\well rounded university\nice\great
freshman,5,wide variety\available\good
sophomore,5,how small\intimate campus\good relationship\good experience
sophomore,5,entire school year
freshman,5,gorgeous\perfect size\sized university\big opportunity\new\big dorm\pretty good\perfect school\other\other\amazing gym
freshman,5,great community\great small community\few time\very welcoming experience\very nice\eager
senior,5,wonderful academic\easy\local area\great restaurant\use online class\make easy\easy
alum,5,able\mechanical engineering degree
sophomore,5,awesome\awesome mid\mid - university\- sized university\large school\personalized attention\small school\short time\wide range\happy
sophomore,5,so accommodating\helpful\major course\feel encouraged\so happy
sophomore,5,so much\able\full experience\small school campus\big school opportunity
sophomore,5,'s small class size\small class\high school\able\grad student\able\large auditorium
sophomore,5,unique place\great environment
freshman,5,always willing\major part\greek life\okay\outstanding athletic\wrong school
other,5,such\great dinning hall\good part\awesome education program\able\elementary school\right path\interested\so excited
freshman,5,happy\Most faculty\academic environment\very friendly\uplifting\own police department\feel unsafe campus
sophomore,5,perfect school\perfect sized school\close community\very personal experience
freshman,5,honest\most financial aid\glad\diverse campus\pretty small\amazing\anyway possible\bored
senior,5,close home\good decision\perfect major\great advisor
