freshman,5,super helpful\friendly platform\friendly online platform\easy\financial aid office\wonderful job\well informed
freshman,5,great learning environment\multiple tool\multiple educational tool\online visualization\other resource\online learning experience\most comfortable\make sure\most
freshman,5,easy\beautiful\clean\great variety\favorite part\awesome\feel connected
other,5,very clear\concise\easy
other,5,online class\finish high school\responsive email
alum,5,beautiful\very helpful\neatly organized\amazing place
senior,5,online portion\easy\amazing learning experience
senior,5,high school\amazing experience\entire way\very pleased\to big\well thing
alum,5,online class\online class\already familiar\online platform\most student
sophomore,5,very caring\so motivated\overwhelming\very helpful
sophomore,5,veey hard\offer extra credit\confused\zoom
other,5,permanent teaching certification\other program\other similar program\online\extremely flexible adult\fantastic wealth\extremely helpful\positive impact\young mind
other,5,hear wonderful thing
freshman,5,not much\online student\online class\online class\very easy\great learning experience
sophomore,5,positive experience\very helpful\very understanding\great place
sophomore,5,great\how small\big school feel\amazing\very clean place
sophomore,5,very small\somewhat clean\awesome\few game\few other game\very good\inexpensive\very good teaching\very understanding\favorite professor\amazing
freshman,5,dual enrollment student\amazing\much well\high school
freshman,5,best friend
alum,5,great college\great small college\friendly atmosphere\Most student\uni\affordable\small
freshman,5,very helpful\busy day\easy\close home
junior,5,professional
sophomore,5,great experience\extremely helpful
freshman,5,local\next school\next close school\nice\patient\make sure
sophomore,5,small class\small class\more teacher\necessary success\compassionate\loud
sophomore,5,able\much scholarship\possible\challenging\easy comprehension
freshman,5,helpful\friendly staff\always kind\ready\close home\friendly atmosphere\other student\feel welcomed\bright future\great learning experience
freshman,5,
sophomore,5,how nice\quiet\completely safe\so cozy
freshman,5,amazing college\want less stress\amazing\small
freshman,5,great way\very good\good set\great school\great flexible school
sophomore,5,very helpful\willing\very good class size\friendly admission office\clear\more campus event\affordable\financial aid\good start
sophomore,5,great school\dual enrollment\high school student\so accommodating\welcoming\new people\very interesting\very knowledgeable\respective subject\very good\willing\amazing college\major
sophomore,5,awesome\all incredible\fantastic experience
other,5,high school\'s dual enrollment program\human nutrition\provide many student resource\include extra office hour\other type\very informative link\online service\very organized\easy
sophomore,5,extremely friendly\informative
other,5,really good school\dual enrollment\high school student\huge selection\very helpful\financial aid
freshman,5,good college\so relaxing\peaceful\very friendly\always willing\amazing school
sophomore,5,senior year\high school\willing\free tutoring\possible
junior,5,local college\close home\so glad\flexible prerequisite\great academic\financial aid
sophomore,5,different campus\different campus\very lively\feel safe\fair price\easy
other,5,great college\feel welcome\first time\successful
sophomore,5,stepping stone\local area
sophomore,5,great school\willing\that expensive\financial aid\other scholarship
freshman,5,very organized\very helpful\interested staff
freshman,5,first stone\high school\possible
sophomore,5,extremely affordable\helpful\welcoming\bad experience\good\good tasting\tasting small restaurant\small little restaurant\free tutor lab\free page
freshman,5,amazing school
sophomore,5,first time
freshman,5,great\many tool\available\beautiful\covered access\great quality\big\next\substantial\include sound proof room\separate area\several computer\available student\free page
senior,5,dual enrollment student
junior,5,small classroom size\able\more one\offer more bachelor degree
freshman,5,very focused\satisfied
freshman,5,great\prerequisite class\helpful\positive experience\easy
junior,5,amazing people\great friend\great\personal professor\personal favorite professor
freshman,5,actual doctor\first week\great opportunity
sophomore,5,great
freshman,5,very small\nice teacher\small school\nice
sophomore,5,amazing experience\very professional\knowledgeable
alum,5,frustrating instance
freshman,4,online platform\few class\few hybrid class\new form\wonderful job\open line\quick\very helpful
other,4,more difficult\fairly easy\good\easy\willing
other,4,dual enrollment program\high school\able\few class\high school\feel ready\dual enrollment\online class\senior year
sophomore,4,overall experience\excited
sophomore,4,online learning experience
sophomore,4,good\make sure\own pace
sophomore,4,easy\fair\many department\exceptionally quick
senior,4,kind professor\solid curriculum\able\feel prepared\online option\clean\safe
senior,4,more cohesiveness\awesome professor\less engaging\involved\great state college\super helpful
freshman,4,few complication\great college\cheap college degree\part time
sophomore,4,online environment\as bad\only thing\upset\many\very difficult class
sophomore,4,nice\pretty clean\easy\not bad parking\well
freshman,4,great school\big school\offer more opportunity\extracurricular activity
junior,4,small class size\affordable\young college student\big university\able
other,4,amazing teacher\dual enrollment class
sophomore,4,great\difficult\financial aid
freshman,4,hard\very good\nice school\extremely nice\easy
other,4,pretty good
sophomore,4,very kind\Most teacher\happy\extra mile\fairly small\cozy\private study room\free tutoring\free copy
sophomore,4,affordable\accredited state\quite satisfactory\least one\amazing
sophomore,4,great\underprivileged people\small\quiet\same level\other college
sophomore,4,small\small class room\close relationship\outside class help
freshman,4,very welcoming\new people\very easy\knowledgeable\good experience
freshman,4,very helpful
sophomore,4,overall school\overall great school\good\great school
sophomore,4,great school\big university\great place
sophomore,4,great community college\small professor\more involved\completely free\very inexpensive campus\very overpriced\very tight
sophomore,4,great professor\super helpful\only place\overall decent\little\little overpriced\amazing time\wonderful experience
other,4,very helpful\knowledgable class\small\personal\many teacher\make sure\good opportunity\small\nice\quiet
freshman,4,provide academic advancement\various major\great college
freshman,4,feel welcome\educational well\past\present student
sophomore,4,helpful\good\well professor\enjoy more\that great
alum,4,pleasant experience\small class size\well class participation\more student activity
sophomore,4,very helpful\helpful\little variety\little more variety\use more program
junior,4,good professor\helpful staff\small class size\beautiful campus
sophomore,4,short\good school\several county\available\many\knowledgeable\helpful\even more\open opportunity\available\many\due\not available\great starting place\willing
sophomore,4,great town\great small town feel\low cost way\online option\friendly staff\knowledgeable\helpful
alum,4,good experience\Most\where attentive\small\serene
freshman,4,great institution\great stone\great stepping stone\large university
junior,4,overall\good experience\very knowledgeable
sophomore,4,fantastic institution\huge impact\racially diverse\high school student\many\many full time\employ full time\truly unique conversation\fantastic\subject matter\only downside\social life\fairly limited\high note\amazing\relatively close
sophomore,4,nice\very educational\there education\good\affordable\very helpful\only reason\several people
freshman,4,military member\even other student\amazing\helpful\not main campus
freshman,4,super easy\nice\most\amazing\easy
other,4,that big
sophomore,4,nice class\nice small class\very helpful professor
alum,4,great choice\upcoming student\small\average university
alum,4,new thing
alum,4,great\how beautiful campus
senior,4,Most class\multiple day
senior,4,
sophomore,4,small
sophomore,4,nice\small\high school\feel overwhelmed
junior,4,have great success\online course
junior,4,
junior,4,fantastic
junior,4,great education
junior,4,
sophomore,4,little difficult\learn new thing
other,4,first semester\energetic\always ready\gramm
alum,2,little difficult
freshman,2,take online class\first month\unclear
freshman,2,very unorganized\very helpful\worthy experience\worthy educational experience\remain positive\bright side
senior,2,own rule
senior,2,completely biased\small town community\good\bad
senior,2,include several\tell last spring\complete\additional course\new
freshman,2,
freshman,2,hard
sophomore,2,non\very small
sophomore,2,noticable
freshman,2,
senior,2,that useful
senior,2,not impressed\main reason\encounter numerous problem\essentially useless\financial aid\most stressful thing\general\expensive\much debt
senior,2,several professor\several new professor\too young\immature
senior,2,fairly average\limited number\ready\nearly impossible\wireless device\most\nearby library\nearby public library
junior,2,like online class\traditional class\few\few online\online due work\more\little help\little extra help\online class
junior,2,beautiful campus\clean\beautiful\little outdated\very small\so good\hard\open computer\so loud\that many\noathletic canter
junior,2,very bad test taker\get well
freshman,2,orange park campus\athletic center\nice\however well seating
alum,2,super difficult other\easy\mixed emotion\online class
alum,2,very difficult\possible
sophomore,2,know many graduate\want helpful
sophomore,2,second year\honest\friendly\very informative
sophomore,2,little\little more\perfectly fine\boring\useful
sophomore,2,small\not fun\athletic center\few\new science building\very nice facility\adequate
junior,2,second\how financial aid\really bad year\other kid\all bad
senior,2,use spacific materal\daily life
freshman,2,not helpful\few time
other,2,old\how shocked\clear step\how easy\uneducated\sad\clear direction\make sure\insure proper enrollment
junior,2,different story
junior,2,spectacular\nice chair\nice comfortable chair\hard desk\most\uncomfortable
other,2,consistently upset\how long\most student\fair amount\such\fantastic\very hard\least time
senior,2,very slow\difficult
freshman,2,few week\great\other student\more willing
junior,2,financial aid office\very helpful\also worth value\cheap\get frustrating\financial aid\due
senior,2,too helpful\online homework\available\always competent
other,2,confusing\well\actual teacher\online class\hard
other,2,very accommodating\available\not amazing\nice\more duel\limited amount
sophomore,2,sure\online class experience\virtually identical\same experience\other school
sophomore,2,many option\financial aid department\only thing\own\own\find many opportunity\know enough\eligible\offer much
other,1,even worth
other,1,more
