sophomore,5,great\good campus\great deal
other,5,amazing\great atmosphere\fun\very resourceful
freshman,5,small campus\so beautiful\delicious food\so helpful\understanding\willing\make sure\okay\financial aid\so generous\so thankful
freshman,5,
junior,5,other student\small\main campus\more affordable\small classroom setting\more personal\beneficial learning experience
alum,5,how close commute
other,5,incoming freshman
other,5,great\personable\great aspect\small
freshman,5,easy\upmost importance\important event
freshman,5,hardworking\intelluctual individual\right path\successful career
freshman,5,good college
junior,5,dry campus
junior,5,very knowledgeable
sophomore,5,large parking lot\open\more convenient\close
sophomore,5,many computer lab\available student\also available student\quiet study area\fast\free\big plus
freshman,5,only one\same professor\able\close bond
freshman,5,intended major\excellent\cheap option\very challenging\major
senior,5,
senior,5,open computer\same time
senior,5,major\new day
sophomore,4,hard part\single campus\single big campus\get used
freshman,4,great\first\second semester\regular struggle\able\easy\other college
junior,4,good academic\really great\provide extra aid\very limited\very repetitive
freshman,4,very friendly\willing
freshman,4,Most teacher\amazing\few
senior,4,great campus\interested\well spoken\more affordable option\main campus\able
freshman,4,
freshman,4,wrong\seem fun\fun interactive\great team member
freshman,4,very exceptional\interactive learning institution
other,4,safe
freshman,4,enjoy most\boring
freshman,4,small school\easy
junior,4,good decision
freshman,4,nice campus\nice small campus\short walk\close
sophomore,4,great job
sophomore,4,appropriate
freshman,4,very strict\very easy\very good
junior,4,always willing
freshman,4,
freshman,4,
freshman,2,hard time\more commuter
other,2,
other,2,
junior,2,few option\many commute
freshman,2,Most\alcoholic beverage\old\very strict\good bet\somewhat close campus
freshman,2,tired\very perdictable\same meal\very tired\same thing\different
freshman,2,many student\drunk\recreational activity\well\many student\popular place\such activity\many student\good
freshman,2,very good\aware\only notice\late thing
freshman,2,small branch\as important
sophomore,2,typical food\typical fast food restaurant\cheap\not great restaurant
senior,2,very strict\very strict commuter\very lineant
other,1,kinda annoying
freshman,1,much\here first day
freshman,1,
freshman,1,greek life
freshman,1,not much\fun\real safety\opposite sex ra\absolutely ridiculous way
freshman,1,hard\full name\terrible fight\comfortable\male ra\male\so much\terrible idea
freshman,1,terrible\too loud\as high\terrible fight\comfortable\male ra\male\so much\terrible idea
freshman,1,terrible enforcement\legal limit\unbelievable
