junior,5,small professor\good effort\less
junior,5,wonderful job
sophomore,5,great school\kind people\very passionate
freshman,5,very nice\right home\same time\too small
sophomore,5,very inviting\first year\able\safe environment\social work\more\good\make sure student\always open\make sure\able\rich experience
sophomore,5,
senior,5,very attentive professor\complete family\other\make sure\great facility\great new facility\overall education\top notch\available\so many resource\available\good preparation
sophomore,5,good university\so nice\friendly\approachable
freshman,5,different event\sure\grow close\fellow classmate
other,5,
junior,5,
freshman,5,so friendly\challenging\christian faith
freshman,5,great\great people\intramural activity\old dorm\excellent\small school
freshman,5,big family\lovely environment\too high\make sure\provide financial opportunity\also great sport\latter\potential
freshman,5,so kind\willing\good\beautiful\most\nice\future career
alum,5,caring\supportive environment
alum,5,amazing track\amazing opportunity\amazing
other,5,very cultivating school\many thing\well christian\very big
sophomore,5,possible\really great\weekly\available\extra cost\very helpful\really great\perfect\new college student\know other student\other lesson\other important lesson\different student committee\active\own bowling alley
junior,5,wonderful school\friendly\welcoming atmosphere\so sweet
sophomore,5,so much fun\first year\be excited
senior,5,wonderful place\great
other,5,simply amazing\extremely welcoming
other,5,great university\great people
freshman,5,very thrilling\colorful\full energy\christian university\vast amount
alum,5,small\other university\great\several organization\awesome student\supportive\fun city\local restaurant\more\friendly\provide free food
other,5,very nice
senior,5,good\junior college\first week\first few week\create personal relationship\other event\other social event\specific connection
other,5,very nice\very warm welcoming\hungry\great area
freshman,5,fun\safe place\low\great\so many opertunite\many different opertunite
senior,5,positive way\different lense\amazing\late pancake study\meet new people
sophomore,5,wonderful place
freshman,5,small school\very proud
junior,5,very interested\personal level\very beautiful\wonderful place
freshman,5,so welcoming\genuinely happy\other student\very helpful\utterly alone
freshman,5,great academic\great investment\helpful\informative\great\exciting\biblical\great way
sophomore,5,small school\very welcoming\kind\personable\make sure
sophomore,5,extremely nervous\quite scared\second week\second family\so many opportunity\musical\titular character\first spring play\musical\so willing\so relaxing
freshman,5,perfect classroom size\essential
sophomore,5,great thing\great asset
sophomore,5,top interest\more involved\clean\main thing\old staff member\very kind\feel most home\next year
alum,5,wonderful\christian university\great college town\many activity\vibrant student culture
junior,5,academic aspect\amazing\very personable\friendly campus\so many option
junior,5,absolute experience\absolute good experience
junior,5,very safe\secure campus
junior,5,rich tradition\small university
junior,5,high professor\passionate
sophomore,5,great\many way
freshman,5,good
freshman,5,amazing
sophomore,5,exceptional\academic review\extremely personal\caring\most\Most\open door\personal issue
