freshman,5,online experience\good\similar experience
sophomore,5,own home\have full access\Most\even live lecture
senior,5,still able\other student\online course\incredibly easy\more\enough time
senior,5,beautiful campus\incredibly helpful\knowledgeable\friendly professor\interesting course\also willing\other university
freshman,5,beautiful\beautiful natural landscape
freshman,5,great\nice\very helpful
freshman,5,online learning experience\excellent\very easy
sophomore,5,great experience\most\Most\worried\make sure
sophomore,5,do online prereqs\great experience
freshman,5,many opportunity\high schooler\able\able\high school
junior,5,
freshman,5,very personable\very minimal l\most thing\first come\too hard
senior,5,great experience\available\attentive\willing\need additional assistance
alum,5,overall experience\overall good experience\very prominent
senior,5,big education\small college feel\easy\great\social activity\feel safe campus\next year\very diverse
senior,5,major\able\diverse\active curriculum\active online curriculum\many people\able\great result\economical\enjoyable
freshman,5,very good\top notch\willing\large campus\large\more
freshman,5,past semester\good experience\very knowledgable\bright\friendly\alaskan nature\natural beauty\unignorable
freshman,5,small\more manageable professor\easy\make personal relationship\wide range\relatively small\hard\absolutely beautiful\beautiful view
freshman,5,amazing\seem beautiful\more excited
alum,5,wonderful\open many opportunity\many more opportunity\sat class\high school\More class\rural area
freshman,5,first year\pretty friendly
senior,5,great sense\friendly\ready\good experience\possible
other,5,high school\great school\such\many\many more
other,5,current experience\very good\academic advisor
other,5,many opportunity\very interactive\immense diversity\able\much big school
other,5,amazing
junior,5,great place\academic career\small island\big problem\friendly environment\more easy\glad
senior,5,pretty cheap
freshman,5,diverse university\very kind student\genuinely wonderful\upcoming deadline
senior,5,attend many\theirs course\such\local installation\local military installation
junior,5,super nice class\beautiful
junior,5,great\very diverse
freshman,5,amazing school\amazing people
junior,5,good experience\very pretty\knowledgeable\willing\grateful
junior,5,very caring\great nursing program\available\technical program\very broad
sophomore,5,great place\different thing\good chance
sophomore,5,great professor\willing
junior,5,how friendly\helpful\easy
freshman,5,great professor\very helpful
freshman,5,freshmen year\so many program\great\high school
sophomore,5,amazing college\where bright people\bright teacher\'s large university\strong\smart community
sophomore,5,great school\international student\many resouce\dental program\top program\get many student
freshman,5,positive experience\so many way\difficult
freshman,5,high potential\inviting\safe\genuine\think possible\appropriate\very high institution\amazing experience
junior,5,old student\wonderful experience\so many year
sophomore,5,fantastic college\wide variety\comfortable\feel right home\always available conference\generally quick
other,5,friendly people\great environment\great volleyball\safe\happy environment
freshman,5,very nice campus\pretty nice\very uncomfortable\very good\good\serve different meal\most
junior,5,few year\good college\few\few due
freshman,5,great\so happy
sophomore,5,great campus\big university\small university\nice\only complaint\not enough parking
junior,5,really comprehensive
sophomore,5,nice\too cold\wonderful\few online\nice
junior,5,easy\great gym\extremely helpful\glad
sophomore,5,active student body\clean\feel safe campus\plenty activity
sophomore,5,very welcoming university\traditional\old student\diverse\great place
senior,5,very nice\easy\nice\standard education system\new\decent
freshman,5,there great campus\awesome lot\awesome athletic lot\uaa awesome
freshman,5,generous\very helpful\overall quality
freshman,4,fairly easy\easily accessible\helpful resource\navigational tool\offer many way\many different way\virtual college visit
freshman,4,easy\easy\important information
freshman,4,really useful\really helpful
junior,4,good teacher\excellent job
sophomore,4,close home\medical program\last year\medical degree\due\more teacher\push more nurse
sophomore,4,good experience\most\other staff member\few professor\very hard\most\very helpful\understanding
sophomore,4,friendly platform\friendly online platform\hard time\few\pretty good experience\poor experience
sophomore,4,wide variety\awesome\great campus\pretty affordable
sophomore,4,online class\awesome\good
freshman,4,amazing job\semi\semi last notice\last minute notice\first time\helpful\physical copy\smooth\more engaging\own lecture
freshman,4,unable\make sure\able\major\more clear\make sure\helpful
senior,4,only choice\post education\post secondary education\'s young adult\due\due many\other college\only choice\poor\amazing staff\always willing\extra time\very glad\german professor\national scholarship\complete\local politic
freshman,4,online platform\academic staff\great
sophomore,4,love most\online course\more down
sophomore,4,great school\few\say much\online course
freshman,4,beautiful campus\beautiful building\not close\beautiful walk\most part\reliable source\very easy\delicious\nice\have communial bathroom\nice\how few people\hard\off campus\other activity\other fun activity
freshman,4,online class\first semester\online class\good\good job
other,4,very quick\very good\slightly hard
sophomore,4,extremely helpful\encouraging\gorgeous\other\wide range\negative\next couple year\huge portion\make sure
sophomore,4,outstanding school\truly understanding\small class size\easy\easy
other,4,virtual learning\long distance\receive high quality\english professor\small\give more opportunity\individualized learning
junior,4,good\helpful\only critique\too bad
freshman,4,main campus\definitely small\most college\large other\less people\less cliche\present\more\main campus\sufficient amount
freshman,4,different program\welcoming\good
sophomore,4,past year\past year\free food\virtual walk\make sure\ok
other,4,excited\seem nice\very quite campus
freshman,4,pretty school\pretty simple school\pretty fun\monthly event
sophomore,4,good experience\excellent professor\knowledgeable\interesting\very happy
alum,4,good\affordable\decent\reliable transportation\reliable public transportation\huge\confusing\difficult\more\more student\other option\strenuous
sophomore,4,high school\rural village\quite interesting being\huge campus\many culture\high hope\first semester\as many\many alaskan program\alaskan native program\same situation\interactive\really good friend\rigorous course\first year\lifelong goal
sophomore,4,only issue\numerous budget cut\more related
junior,4,most part\much\focus more money\buy new building
junior,4,large state campus\great\online class\full time work\only complaint\only personal complaint\more money\aesthetic feature\new statue
senior,4,so close\determined\less
freshman,4,first day\more\attend more class\much student\know most professor requirement\same\busy schedule\other\good\future career
other,4,not perfect\very good college
junior,4,overall\good experience\competitive nursing program\very accesible campus
senior,4,most affordable\least\very helpful\many activity
senior,4,great campus\local beauty\very good\extremely helpful\take online class\excellent\high\dynamic\positive learning environment
freshman,4,amazing\real college\exceptional\only con\different department\bothersome student\reliable mean
freshman,4,friendly\able\many people\kind\wonderful teaching\many student event\feel involved
freshman,4,easy\many place\other thing\happy
junior,4,great\slight problem\discriminatory\great
freshman,4,other side\busy\high school\difficult\stepping stone\well person
senior,4,good value\great other\small community college\actual university
freshman,4,online course\busy lifestyle\many option\nice\very knowledgable
other,4,look cool\really good cafeteria\fair\really nice\generous
sophomore,4,very good academic\distant student\limited\recent restructuring
sophomore,4,good school\fast learning\Most\Most\reasonable\only thing\always difficult
sophomore,4,so many student\different ethnicity\make sure\great place\open\very safe\feel unsafe\only thing\very good
junior,4,good school\other student\more home\recreational facility\fantastic
alum,4,pretty good experience\great education\more event\more social event\Most people\traditional college atmosphere
sophomore,4,more connection\actual campus\more food choice\more\well health service\well choice
freshman,4,small class size\encourage extra help\helpful people\more\little put\little off put
senior,4,far good\amazing faculty member\so helpful\only change\more indoor stuff
alum,4,first college experience\unsure\prominent point\inadequate parking space\affordable rate\serious doubt
freshman,4,new program\help native student\native american student\financial help\academic resource\free washer
freshman,4,great\fellow peer\extremely helpful\able\fellow classmate\same email\different time
other,4,short distance
freshman,4,very easy\make close friend\small class size
sophomore,2,bad joke\cheap\very few scholarship
other,2,More funding\well class quality\fairly dangerous campus\terrible student\fairly nonexistent\not much competition\good\bad thing\willing\very approachable\undergraduate research
sophomore,2,very few professor\passionate
sophomore,2,incoming freshman\good\only way\fellow student\passionate teacher\few professor\few great professor\have many experience\many negative experience\malicious\recommend alaskan student\reduced tuition
freshman,2,insane amount\single semester\poor\good campus
senior,2,graduate program department\fantastic\operational budget\minimum basic\dire need\necessary update\often more money\much large student population\great potential
other,2,other school\able
senior,2,private college\very disappointed\okay
sophomore,2,not many student\seem distant\well\non\non - student\- athletic student\athletic fee
freshman,2,fine\inconvenient
freshman,2,crappy housing\more depressing
freshman,2,sexual harassment\no different campus\see much\feel safe
freshman,2,say much
junior,2,future job
sophomore,2,greek member
sophomore,2,greek life\pretty dead
freshman,2,very loud\social vibe\bad\not worth value
sophomore,2,
sophomore,2,expensive\horrible
sophomore,2,good party
freshman,2,very little option
other,2,other
other,2,not much
junior,2,not much
junior,2,very strict\very hard
senior,2,pay less\nice\safe part\much well part\pay more
senior,2,financial aid\financial aid
senior,2,good bet\difficult\rough
senior,2,many\most class\same time
senior,2,
senior,2,
sophomore,2,new\beautiful\crappy\most student\unable
sophomore,2,few place
freshman,2,white female\very much aid\few class
other,2,
freshman,2,financial aid\especially difficult\permanent home\not able\financial aid\take several day
sophomore,2,not native\much hard
freshman,2,public transportation\virtually nonexistent\miserable\easy way
freshman,2,extremely high rate\high rental rate\low rate\small bedroom\average price\real jerk\Most\affordable unit\affordable rental unit\old\many
freshman,2,greek society\very few event\few greek event\not worth due
other,2,awhile\get ready\special discount
junior,2,
freshman,2,not awful\exaggerated\seem unsafe\fine
freshman,2,know underage student
sophomore,2,financial aid process\most cumbersome part
sophomore,2,greek life\pretty much\much non existent\non - existent\very few sorority\greek week\so low key
sophomore,2,make more sense\new construction\almost impossible\decent parking space\main campus\even worth
sophomore,2,terrible physics
sophomore,2,greek life\almost non existent\non - existent
sophomore,2,big\cold
sophomore,2,big
sophomore,2,take several lap
sophomore,2,hungry college student\smell dreadful\least quality food\same soup\unhealthy\fat
freshman,2,very close\rainy day\difficult
freshman,2,
freshman,2,horrible\to expensive\available
sophomore,2,always cold\raining\whole lot
sophomore,2,not enough parking spot\even worth\few minute\reasonable amount\very low\close\very long
freshman,2,available\current student
alum,2,most\soviet style\northern blandness\northern commercial blandness\athletic center\old\new one\also old\many space\many green space\long\how many\few campus activity\many\high speed
sophomore,1,high\effective\opposite\certain program\other engineering\permanent damage\stuck\good luck\non accreditation
senior,1,little\main goal\serve bureaucratic mess\young people
senior,1,relatively affordable education\at least\more year\terrible advising\terrible academic advising\sudden\new requirement\mention poor advising\poor academic advising\wonderful\academic adviser
freshman,1,terrible experience\whole year\amazing\make lifelong friendship\mildly social\only good people\own\mind gloomy weather\remotely cheerful\happy\Most\old
sophomore,1,very helpful\always confused\most\prejudiced\feel unwelcome\professional place
junior,1,overall experience\less\desirable\have several\really good teacher\entire class\just awful\straight answer\other university\arbitrary grade\other option\new student\average\several stabbing
sophomore,1,few gem\few hidden gem\just awful\how terrible experience\transfer next semester\ego boost
sophomore,1,offer many program\many great program\how much teacher\remain absent class\good college\beautiful\most beautiful state\real
senior,1,greek life
freshman,1,few fraternity
sophomore,1,greek life
junior,1,many campus\strict
freshman,1,pointless thing
freshman,1,nonexistent\good night
sophomore,1,financial aid officer\very helpful\often rude
freshman,1,
freshman,1,few life\few greek life club\how little effect\greek life\general community\little amount\non -\greek housing\available
other,1,get bad
sophomore,1,terrible aid\terrible financial aid process\expensive
freshman,1,to expensive\inclement weather\difficult\access public transportion
freshman,1,horrible\not many place\available campus\small\outrageous\not worth cost
freshman,1,
junior,1,bad weather\single day\so much rain\favorite season\average
junior,1,
junior,1,bad\small\social scene\bad
junior,1,pretty diverse school\very difficult place
junior,1,greek life\pretty non existent\pretty nonexclusive\wild frat party
junior,1,decent\decent chinese pizza\fast food chain\giant strip mall\pretty good\eat chinese buffet\very close\fine cuisine\whole life
junior,1,damn cold\extremely scenic\rare chance\very rewarding
senior,1,prepared\unnecessary parking ticket\least\extra buck
senior,1,
senior,1,top\good bar\not uncommon
senior,1,possible\new nursing building\impossible\other computer lab
senior,1,very little option\little healthy option\very little dining hall\always affordable student\well
freshman,1,
freshman,1,cold\dark\negative degree
junior,1,great transportation system\even bad
sophomore,1,park expensive\large amount\open one\easy\really annoying\very necessary\expensive\important
freshman,1,good\good chinese pizza
junior,1,
junior,1,very difficult
alum,1,extremely expensive\enough close parking\cold temp
junior,1,horrendous ice\crazy idea\due\extreme weather
junior,1,too much\helpful\own schedule
junior,1,several gripe\unable\last week\not enough computer\new building\available\entire building\old\outdated\very slow
sophomore,1,very difficult\very expensive semester\free\very hefty fine\prime motivation\well option\free parking
sophomore,1,get horrible\always long line\terrible\always more\really frustrating
sophomore,1,
other,1,not much\not much dining
sophomore,1,most student\too involved campus
other,1,very few people\off campus apartment\greek life\add more excitement
junior,1,hearted effort
sophomore,1,receive more offer\greek life
sophomore,1,pretty\pretty much\greek life\very exclusionary\all inclusive\well advertised
freshman,1,only thing
freshman,1,too much partying\much underage partying\strict\underage drinking\not many club\old student\underage student
sophomore,1,really noticeable\sure\crucial\hardly noticeable\most people\social ladder
sophomore,1,great school\first generation college\difficult journey\new\small program\get hard\more unqualified\rough\most valuable people\deep
sophomore,1,not attractive\scruffy\unkept\too skinny\bad hair cut\social life\of lame\like clean cut guy\most\most likely\other school\interesting conversation\not open
senior,1,never enough space
