junior,5,overall experience\good\good\average\super nice
freshman,5,strikingly beautiful\beautiful movie\like town\other\so warm\friendly\sunny\make fun weekend excursion\possible\excellent\passionate\easy\fellow classmate\very large roomy\delicious\possible\so happy
sophomore,5,small school\excellent character\unmatched\there student\good
freshman,5,good\good school
freshman,5,excellent environment\spiritual\intellectual growth\great\small town\beautiful community\beautiful campus\more public activity\perhaps well aid\well financial aid opportunity
freshman,5,small campus\really nice\amicable
junior,5,great school\many event\many great event\also athletic event\many sport\very diverse school
junior,5,enjoy small class size\close relationship\excellent education\joyfully catholic\respectful
senior,5,great fit\very catholic school\great science program\small
freshman,5,great\so nice\easy\delightful education\worth
sophomore,5,nice\friendly
alum,5,overall experience\overall good experience\nice\very knowledgeable
junior,5,good school\great education\academic\feel safe
freshman,5,amazing growth opportunity\friendly environment\other\become well
sophomore,5,great\rigorous program
other,5,tremendous\throughly catholic university\much\intellectual\human formation\solid academic\truly catholic institution
other,5,beautiful campus\very kind\helpful\good cost\brilliant program\brilliant academic program\boring university\boring catholic university\secular world
other,5,how friendly\religious
junior,5,great\traditionally catholic college\challenging art\challenging liberal art education\very intelligent\willing\very friendly
junior,5,feel safe
junior,5,very safe area
sophomore,5,very safe campus
freshman,5,rigorous academic\unparalleled learning experience
freshman,5,only crime\only major crime\other bike\few place\small campus\other
freshman,5,new\large\perfect environment\form close friendship
freshman,5,small\catholic school\more wrong\first semester\most fun\most formative month\formative few month\make wonderful friend\prominent professor\enjoy clean party\wide weekend festivity\only complaint\wonderful school\horrible problem
freshman,5,very safe\secure campus
freshman,5,amazing campus
freshman,5,
freshman,5,amazing environment\new\quite expensive\still small
freshman,5,tough\top notch
freshman,5,very helpful\willing
freshman,5,blue box\armed force\safe campus\least
freshman,5,good weather
freshman,5,very few issue
freshman,5,amazing year round
sophomore,5,small community\Most
sophomore,5,small college campus\very safe
sophomore,5,able\constant security\underaged drinking
freshman,5,great atmosphere\great restaurant\many activity\many sport\open hour\able\fairly good\other\very nice
freshman,5,great\drunk
freshman,5,great food\cat
sophomore,5,structured environment\many people
sophomore,5,gorgeous campus\new\go wrong
sophomore,5,many\averse\such thing
sophomore,5,great place\grow deep\good school\good academic\grow athletic dept\right choice
senior,5,very safe campus\occasional gator
freshman,5,entire country\good\similarly amazing
freshman,5,small\wonderful\social life\great\raucous
senior,5,good\good\good
senior,5,smooth\simple\half scholarship\possible
senior,5,good\inspiring sense\firm
freshman,5,very good\new gym
freshman,5,little crime\very safe
freshman,5,close\few minute\academic area
alum,5,safe place\other belonging\other personal belonging
freshman,5,good\sure\good thing\respective field\most\good\definitely worth effort
senior,5,always clean\inviting\very convenient
freshman,5,high
freshman,5,
freshman,4,very kind\willing\beautiful campus\very kind staff\okay\well
junior,4,online school\good\very kind
freshman,4,superb job\possible student\very thorough health\public building\necessary\very smooth\easy
junior,4,wonderful education\catholic belief\provide amazing friendship
sophomore,4,good\make online\positive experience\good\unique need
freshman,4,online class\too confusing
alum,4,fairly new\select number\tough\mostly helpful\rough
alum,4,take online class\become great\online resource
freshman,4,familiar\online learning\able\stay interactive
freshman,4,willing
sophomore,4,great place\safe\small campus\super small
other,4,perfect dream\pretty hefty cost\offer little scholarship\beautiful place\uplifting people
sophomore,4,mellow environment\strong value\strong communal value\many acquaintance\good choice
sophomore,4,close community\other\other small art\small liberal art college\easy\fellow student\common goal\spiritual wellness\big city\local activity\local\make sure\small\big heart
freshman,4,very reliable communication\helpful admission counselour\great campus\wide variety
senior,4,great community\awesome professor\however catholic\as much money
junior,4,great\awesome\easy\good\safe\wonderful\good quality\very knowledgeable\not good\somewhat isolated
sophomore,4,wonderful school\wonderful catholic school\brilliant professor\terrible\vegetarian\good luck\very nice\southern
freshman,4,specifically catholic\fantastic choice\extremely unrecognized\top school\top catholic school\vibrant\warm welcoming community\many\include recreational sport\intramural sand volleyball\equestrian club\many household\many christian household\christian practice
other,4,great school\catholic\able\too focused catholicism\put more effort
junior,4,always willing\terrible
sophomore,4,strong identity\strong catholic identity\only downside\not much
junior,4,awesome people\grow strong
sophomore,4,very important professor\always helpful\difficult\good\average
sophomore,4,Most student
sophomore,4,small\more intimate learning experience
sophomore,4,very concerned safety
sophomore,4,good\little big\More rec space
sophomore,4,greek life\huge part
sophomore,4,small size\so many memory
junior,4,very safe\not much\other drug\occasional theft\not many issue
junior,4,excellent\great sense\overall atmosphere\overall great atmosphere\fine\only problem\only minor problem\big downside\little expensive\really hard
junior,4,rounded\overall person\overall well person\become well people\amazing\extremely friendly\caring\good person\great example\many\many\other
junior,4,very challenging
junior,4,devout catholic college\Most\catholic
junior,4,very big\nice\very expensive\campus(around\very nice\friendly\very easy
junior,4,very difficult\complete assignment\very helpful\more\willing\particular subject
sophomore,4,very interesting\very helpful
sophomore,4,smart\helpful\overall motivation\evident
sophomore,4,rigorous academic\great professor
sophomore,4,More student
sophomore,4,very few people
sophomore,4,very spacious\clean\new
freshman,4,important part
freshman,4,unique\religious aspect\not sure\typical college\other hand\happy\happy
sophomore,4,pretty awesome\many teacher\many great teacher
sophomore,4,pretty awesome place\amazing people\pretty close friendship\pretty tough\very helpful\particular subject
freshman,4,great\more strict substance
sophomore,4,safe\respectable community
sophomore,4,good scholarship\good academic scholarship
sophomore,4,many school\many other school\great\more student\personal thing\clean\own bathroom\huge plus
freshman,4,few food\few fast food place
freshman,4,way well food
freshman,4,new\very spacious\social atmosphere\good
sophomore,4,relatively small\great sense\occasional dumbhead\awesome
junior,4,nice dorm\spacious\clean\individual bathroom\much well\other campus
freshman,4,awesome
freshman,4,still small\great amount
freshman,4,very spacious\not sure\very nice
freshman,4,buttonin case\less\sexual assault
sophomore,2,huge party scene
sophomore,2,
freshman,2,good quality\only place\only other place
sophomore,2,several day\hungry
freshman,2,very religious school\Most\republican\too many
freshman,2,little diversity\mostly catholic angel\most\other way
freshman,2,own town\own little town\not much\entire atmosphere\very catholic\block several site\very safe campus\always good\religious one
freshman,2,hard\good party
freshman,2,same situation\receive big scholarship
freshman,2,near apartment
freshman,2,
freshman,2,little\too strict
freshman,2,painfully truthful summary\infrequent sex\infrequent single sex dorm\few location\few other location\as popular\good reason\typical weekend night\least\decent size\hard time\few exception\different group\different thing\good people-\easy
freshman,2,very little\few restaurant
freshman,2,strict\obnoxious rule\short\strict\strict
freshman,2,few restaurant\different food\cheap\easy student
other,2,look good
sophomore,2,own facility\not great\underway\most fun sporting event
freshman,2,good\real man\adequate girl\so hot
freshman,2,middle\little town\only thing
senior,1,very poor university\terrible
freshman,1,social\good
alum,1,much\Most\good\horrible\upper division course\awful professor\very useful\pretty open\only option\only real option\pre\pre -\- med\pre - law
freshman,1,bad decision\ambitious\hardworking\haughty\unreachable\boring\generally friendly\most\beautiful\nice\actual town\very isolated\awful\healthy option
freshman,1,overwhelmly strict school\stay past\go insane\cool\close\remotely interesting
sophomore,1,very limited place\near city\very hard\strictly catholic\judgmental people\get athletic scholarship\very good
sophomore,1,fantastic\very few people
freshman,1,5th avenue\good option\old
freshman,1,cook lucky day
