freshman,5,small\very dedicated\make sure thet\next chapter
freshman,5,excellent school\make sure\personal attention\scared\very thorough\comprehensive\human anatomy\therapeutic massage
freshman,5,overall school\overall great school\very friendly\make sure\popular course\so many student\individual attention
freshman,5,not sure\other reviewer\amazing\different school\outdoor movie night\welcome\great time\provide popcorn\hot dog\free\huge barbeque\costume contest\great school\great experience
senior,5,super friendly\hard working
senior,5,
senior,5,
other,5,kind everyone\successful\common goal\motivated\have hard time
junior,4,very helpful staff\exceptional variety\major\major related health\related holistic health degree\accredited school
junior,4,exceptionable\little communication\little more communication\fabulous\sweet\very sincere\holistic health
freshman,1,terrible school\dumb\medical billing\non\non - community\- profit community college
alum,1,post\post - service\- grad service
alum,1,new set\incoming student
alum,1,easy\busy work\own internship site
