freshman,5,specific\how close\Most\same area\same general area\other
alum,5,phenomenal\stellar education\second none\perfect balance\good version\other school\other college\more proud
sophomore,5,small classroom size\unique college experience\accountable\diligent\incredible\wonderful experience
freshman,5,other\left male\take great pride\able\consistent fun
alum,5,top choice graduate
alum,5,fantastic\so little college
other,5,old brother\other
freshman,5,small art\small liberal art college\amazing alumnus network\offer countless opportunity\amazed\different program\available\plenty thing
alum,5,single sex education
other,5,great place\great place\great place\great place\great place
freshman,5,big family\big connected family\peaceful place
junior,5,stellar school\fairly conservative\liberal\bisexual kid\bisexual mixed kid\good
freshman,5,small classroom setting\socrati type\available student\other
alum,5,near\dear\powerful network\key role\professional success
sophomore,5,true meaning\great\small class\amazing experience
freshman,5,male college\very good professor\easy\very good reputation\nice\welcoming\awesome\awesome\very willing\great
other,5,excellent school\great academic
sophomore,5,amazing\high expectation
freshman,5,very interesting\socratic method\emphasize critical thinking\many club\fun\great opportunity\fun
junior,5,great treasure\small art\small liberal art school\central\long\proud history\several school\several big school\small school\able\personal level\genuine being\genuine human being\absolutely beautiful\classic design\classic federal design\georgian touch
sophomore,5,special\able\great sense\numerous club\bad
junior,5,good place\close home\very rare occurrence\current student\welcome\small\male\liberal art school\rural\make many people\how great\short walk\liberal art education\good decision
freshman,5,unique place\due\male status\strong brotherhood\top choice\only choice
sophomore,5,great friend\good decision
freshman,5,gorgeous campus\cool people\nice facility\beautiful architecture\friendly people
freshman,5,
freshman,5,awesome party\most weekend\occasional weekend\occasional dead weekend\huge role
sophomore,5,unique aspect\not much workload\other reading\many student\great\endless
sophomore,5,provide concrete skill\very vigorous professor\very concerned publication
junior,5,personal attention\incredible
junior,5,rigorous\fulfilling\exciting
other,5,extremely athletic student body\Most\intramural
other,5,other life\other social life\available
other,5,intense
freshman,5,very strict\extremely strict attendance\extremely strict honor code
freshman,5,hard\many major
freshman,5,large library\academic building\open
freshman,5,
freshman,5,'s old\very old\modern building today
freshman,5,very good
sophomore,4,online experience\ok\fine course\fine online course\completely disorganized
senior,4,first visit\relaxing\personal
alum,4,great college\silly one\much well person\remarkable amount
alum,4,liberal art education\long friend\common sense leadership\most thankful\historic institution
freshman,4,great school\not much\prepared\good grade\very fun\very close\very diverse student population\mostly white conservative\many\polite\very good\good\fantastic alumnus\always happy\possible\able
freshman,4,great location\beautiful campus\tremendous education
freshman,4,really interesting\worried\post\post -\- graduation school\really expensive
freshman,4,friendly\wonderful
freshman,4,
freshman,4,good ratio\most party
freshman,4,recent year\ethnically diverse\friendly
freshman,4,able\full tuition
freshman,4,secure campus\other\not closed\open townie\leave unlocked\fight serious crime\enough
freshman,4,usually good party\good ratio\Most fraternity\only place\only real place\usually vibrant weekend\dead weekend
freshman,4,great town\annoying cargo\short dickhead\take most\awesome
sophomore,4,great\athletic center\very impressive\great award\offer free copy\many source\available
junior,4,many option\many different option\great party
other,4,elite college\get less girl\experience occasional weekend\occasional dead weekend\elitist connection\guarantee financial stability\prestigious\respectable
other,4,good overall\free printing
other,4,get many scholarship\easy\lenient\extra grand
other,4,not much precipitation\too cold\sunny\clear day
freshman,4,most part\great\athletic facility\outstanding\hold much tradition\academic facility\good\specific need\average\very livable\good
freshman,4,many case
freshman,4,greek student\non\non - student\- greek student\positive way\real conflict\serious hate\Most party\not exclusive fraternity\entire campus
freshman,4,athletic facility\fantastic\entire campus\many school
freshman,4,very rare\criminal\suspect activity\limit non\non -\- students activity\students criminal activity\past campus
freshman,4,open\inviting environment
freshman,4,available freshman\very convenient
freshman,4,other college
freshman,4,get many scholarship
sophomore,4,pretty interesting\right people\more exclusive other
sophomore,4,pretty decent\provide various type\different theme\lounge type\pretty good
sophomore,4,very few girl\only girl\pretty cool
freshman,4,fairly easy\that much\that necessary
freshman,4,good food\of repetitive\late night dining\really good food\little\little high\unlimited dining pan\mandatory\worth
freshman,4,great\great example\few moth\armed robbery\honest\few theft\non - student\smart thing
freshman,4,likely\attended\attended major\offer excellent program\basic class
freshman,4,academic\personal\interested\extremely unbearable\especially important\good place\various classroom\open student
freshman,4,good\fast food joint\good experience
sophomore,4,many institution\many other institution\daily basis\male\big brotherhood\gothic\gay\other\many school\awkward look\female\good time\other college\stubborn\rude\friendly\male school
freshman,2,mediocre\available\most\good experience\most college\close connection\true\different type\active student\fine art\most interaction\non\non - activity\- academic activity
freshman,2,good option\Most people\good idea
freshman,2,much stuck\few place\few mexican place
freshman,2,pretty awful\really good dorm\pretty bad
freshman,2,hard hell\far worth\worth more\most\so few\large amount\far easy freshman
sophomore,2,real option\healthy\really excellent food
other,2,bad food
other,2,
sophomore,2,unpredictable\sunny\civil war\get lucky
freshman,2,only drug\pretty prevalent campus\alone
freshman,1,cooked food\sick
other,1,typical\white\preppy\conservative\southern\nice\difficult\not impossible\mostly wealthy kid\not wealthy\big deal\only new money chatch
sophomore,1,not much transportation\other mean\reasonable price
senior,1,only chance\only possible chance\off campus housing\really good\other
