freshman,5,very engaged\helpful\online class\overall education\very strong
sophomore,5,good\make sure\good expereince\difficult time
sophomore,5,make sure
senior,5,entire program\online
senior,5,online program\academic advisor\knowledgeable\easy
alum,5,few class\few online class\great
senior,5,so good\able\more\few month\online service\previous degree\great experience
senior,5,amazing experience\meet amazing friend\build great relationship\grateful
sophomore,5,not horrible\fantastic\excellent quality education\current set
freshman,5,great focus
junior,5,very easy\simple fashion\friendly
junior,5,wonderful\great deal\top notch position\excellent company
freshman,5,online experience\very interactive
freshman,5,amazing
freshman,5,non life\good experience\enjoy online class\open\other life\other important life activity
freshman,5,helpful\good interest
alum,5,
freshman,5,online class\very easy\more time\very lenient\helpful
senior,5,tough\different type\many resource\many great resource
senior,5,wonderful\so helpful\right school\so many opportunity\sim lab\very helpful
sophomore,5,challenging pace\collaborative\supportive\so glad
sophomore,5,vibrant city\renowned
freshman,5,real work experience
other,5,great school\ambitious people\op program\hugely beneficial\great\serious team\serious squash team
junior,5,overall experience\very pleasant\feel unknown
other,5,beautiful\perfect hybrid\so much\great food option\great
alum,5,great co\- experience\- op experience\junior\senior year\so many life\long friend\able\big city\same time\ultimate goal\big challenge\willing\hard work
sophomore,5,perfect\so close
junior,5,well college\vast network
alum,5,challenging\rewarding education\very happy
other,5,
sophomore,5,other student\other university
other,5,very welcoming\very interesting
sophomore,5,potential employer
sophomore,5,
sophomore,5,learn more\past year\high school\good education system\real world skill
other,5,open house\beautiful city\many opportunity\different internship\other\so different religion\afraid\different level sport\exciting individual\less active
junior,5,full\driven\ambitious individual\emphasize professional development\cooperative learning program\many
freshman,5,peaceful atmosphere\stem\stem major
other,5,great campus\great atmosphere\great people\really good -\good co - op\great business program
sophomore,5,incredible job\most comfortable\likely\helpful answer\front desk\vast knowledge\true\important\encouraging\helpful resource\next step
junior,5,pre -\junior\extremely satisfied\wide array\- program\- op program\incomparable\only complaint\great school
sophomore,5,perfect\slight bit\dramatic\most amazing friend\stunning
senior,5,real life experience\same time\very knowledgeable\enjoyable\single class\so much\interesting structure\different
freshman,5,unable
freshman,5,home.safe place\great place\great program\very helpful\learn more
freshman,5,great\concise manor
freshman,5,really great school\different background\very competitive environment
freshman,5,very friendly\supportive\great university\good community\good experience
freshman,5,amazing\very intense architecture\very good friend\just excited
other,5,fresh air\very friendly\seem stimulating\achievable\same time\good choice\rounded student
junior,5,academic program\op experience\really great learning experience\so much experience\much valuable experience\so many connection
other,5,amazed\extraordinary
