freshman,5,second semester freshman\illustrious\good choice\good\hard\make sure\proud
freshman,5,first year\cut short\provide enrolled student\free laptop\lenient student\strong
freshman,5,amazing institution\dull moment\amazing\amazing\affordable
freshman,5,amazing institution\dull moment\multiple internship\very expensive price tag\frustrating\enough money
other,5,look amazing
other,5,nice school\good thing\respectable college\surprisingly close\other university
sophomore,5,online experience\amazing job\smooth\painless
sophomore,5,perfect fit
sophomore,5,amazing institution\dull moment\multiple internship\very expensive price tag\frustrating\enough money\high school\solid\solid score\main reason\able\amazing\amazing\affordable
freshman,5,good college experience\fun\fun event\helpful\nice\so beautiful\spacious\cafe food\alright
freshman,5,very friendly\helpful\other\’s good
freshman,5,absolutely great\very friendly\very understanding\reasonable
other,5,very organized\open arm\make sure
other,5,perfect opportunity\new people
junior,5,just wonderful\too good\be more\grateful
freshman,5,first month\first few month\first semester\right school\excited\major\able\able\first time\long time love\able\receive more\adequate teaching\second semester
freshman,5,fulfilling experience
other,5,past summer\great\good part
freshman,5,discover many thing\new adventure
sophomore,5,perfect\african student\african american student\successful life
freshman,5,helpful
other,5,ok\very thing ele\good\pretty good\amazing\good
sophomore,5,great place\unforgettable
freshman,5,new experience\new home\ready
freshman,5,black culture experience\proud
senior,5,amazing school\great homecoming\good thing
other,5,great school\awesome art program
sophomore,5,large campus\right door\right next door\very uplifting\encouraging\great assistance\incoming student\many chance\young woman\young black woman\create more housing\incoming\upper classman
other,5,very diverse\prospective student\very excited\very clean\decorative\very good energy\prospective professor\academic future\very happy\personal\official tour visit\’ amazing\right
freshman,5,so friendly\willing\so nice\good\normal freshman term\as many scholarship\single parent home\more\able
freshman,5,meet new people\same type
sophomore,5,so much\good friend\great lesson
sophomore,5,valuable\able\fellow student
junior,5,good opportunity\available
freshman,5,great\open arm\bright smile\heartfelt complement\great school\great cultural school\great
freshman,5,top reason\offer exceptional education\good\open many door\next step\make sure\potential\great location\able\extra fee\many activity\other campus
sophomore,5,extremely interested
freshman,5,ultimate experience\african student\african american student\predominantly white school\white high school\cultural shock\predominantly black student\around other\able\also key\easy\so small\new lifestyle
freshman,5,really diverse\regular program\fun
freshman,5,great school\difficult\able
freshman,5,great\great professor\overall\great\nurturing
freshman,5,so uplifting\fun experience\so happy
other,5,great\fun\young student\young black student\beautiful campus\great history\great atmosphere
other,5,amazing\so welcoming\big family cookout
other,5,very good business program\seem great\have multiple college\close\other
freshman,5,really interesting
other,5,so nice\caring\official college visit
other,5,general\abundant amount\great professor\great campus\wonderful area\illustrious
sophomore,5,beautiful scenery\easy\many club\active\excellent\big family\good experience
senior,5,willing
freshman,5,actual school\great school
senior,5,extraordinary institution\become productive citizen\impeccable professor\extremely knowledgeable\effective\keen way\full potential\amiable way\critical thinking skill\tremendous amount\educational sector\learn more\doctoral program
junior,5,successful student\long life friend\make countless memory\many adventure\various food option\much more
sophomore,5,good experience\so happy\attend such\illustrious\such housing\concerned\other\great choice
sophomore,5,amazing experience\extremely helpful\welcoming\always open
freshman,5,great school\only choice\young adult
other,5,very prideful\general\very encouraging\general\gorgeous\sure
freshman,5,rich culture\also many fraternity\many great fraternity
sophomore,5,wonderful experience\certain section\outside population\certain thing\safe
freshman,5,remarkable one\most\more scholarship\financial help
junior,4,difficult\remote learning experience\fairly easy
junior,4,perfect\high school environment\black student body\exceptionally easy
senior,4,financial aid process
sophomore,4,great place\other college\unbeatable\stem program\well
freshman,4,academic year\incoming freshman\extremely eerie\go missing\find dead\unexpected inconvenience\good way\possible\entire school\entire academic school year\true experience\tremendous
sophomore,4,overall education\wise experience\amazing\disorganized time\not hard\necessary\proud
other,4,
junior,4,not benefital student\different phase
other,4,very diverse campus\rich\alive\highly spoken\academic opportunity\social one\bright future\biracial student
freshman,4,
junior,4,great\administrative office\little help\be glad\great education
sophomore,4,great\willing\great
sophomore,4,little difficult\many question\make sure\able\correct people\other\overall experience\great\willing\beautiful library
other,4,great university\major\very understandable
senior,4,good decision\back n track\great
other,4,good look\how hard
alum,4,very supportive\academic goal\many instance\many unforeseen instance\where certain office
other,4,pretty big\real people\good
junior,4,very supportive school\great deal\well person
freshman,4,great place\many\full potential\other school\fantastic place
freshman,4,so many\many intelligent\intelligent young mind\young black mind\interesting background
sophomore,4,outstanding\good experience\good hbcu experience\happy\more valuable
sophomore,4,very expensive school\'s worth\whole community\whole different community\offer real life experience\good size\creative\successful
senior,4,same path
freshman,4,good\social event\similar\most hbcu\disorganized\good housing arrangement\local college\good\black people
freshman,4,great\unorganized
sophomore,4,very good school\oriented-\first semester\other\very understanding\same time\high level\so many event\good time\very fun
freshman,4,historical college\historical black college\black\bring many opportunity\popular school\black community\black american community\very diverse environment
alum,4,amazing
freshman,4,financial aid\well\free zone\really good time
other,4,wonderful experience\quick\make sure
alum,4,great school\stay focused\educational goal\easy\social life\many event\many class\many different class
sophomore,4,very excellent\worthy\young\young african student\african american student\offer great resource\very fun activity\financially prepared tuition\future career
freshman,4,eventful\great job\successful adult\countless opportunity\successful\well known people
freshman,4,very great school\mass medium\specific major\many resource\many people\popular city\where many
freshman,4,more scholarship\so much debt\last minute
freshman,4,very good year\excellent\meet many people\many culture\many new culture\afraid\get well\very helpful\well person\more organized\second semester\so happy\proud
other,4,very open\good history
junior,4,good decision\even well\many program\many different program\good\well student
other,4,great college\good campus life\very diverse\overall school\overall good school
junior,4,immensely supportive school\necessary skill\further matriculation\advantageous
junior,4,ake plan\exciting activity\new home\historical perspective\new student\formal induction ceremony\official
other,4,top school\very close
junior,4,great spirt\awesome atmostphere\more scholarship\More equipment\new equipment\really helpful
sophomore,4,predominantly white school\white high school\historical university\historical black university\huge culture shock\fellow peer\other education\unlimited\great school\not perfect communication\financial adviser\little difficult\long run
junior,4,great culture\well\more organized\pretty good\diverse family
sophomore,4,truly wonderful experience\lively\exciting\willing\good experience\big family
sophomore,4,true experience\phenomenal education\joyous\uplifting\willing
junior,4,
junior,4,good decision\right choice\interested psych\major\good humanity class\good professor\whole campus\whole new campus\whole\whole new experience\good people
freshman,4,african decent\african american decent\all different\different\first year\multiple thing
junior,4,irreplaceable one\other university\not perfect\diverse amount\right choice
sophomore,4,really good school\favorite part\great teacher
freshman,4,much more\so much opportunity\where real company\offer real job\interested company\personal talent
freshman,4,great school\interested fashion
junior,4,rewarding\interested\exceptional\several college organization\wide selection\wide academic selection\very successful
freshman,4,daily challenge
other,4,so much
sophomore,4,
sophomore,4,other\’ many organization\extra activity\extra curricular activity\available\always lively\other l’d\second home
junior,2,online learning\challenging\inconsistent learning\good school\online learning\online teaching
freshman,2,average institution\average private institution\stem program\incompetent\very helpful student\other student
sophomore,2,most amazing thought\new state\amazing\so boring
freshman,2,positive atmosphere\well communication
freshman,2,great environment\mediocre curriculum\overpriced tuituon\poor quality
freshman,2,nasty
freshman,2,terrible football team\hard\open campus\private\enough housing\old\dirty\bad\first week
sophomore,2,so high\private\rich\first semester\other
freshman,2,good
sophomore,2,own gym\Most
sophomore,2,bad area\open one
senior,2,
junior,2,
junior,2,bad\not enough money
freshman,2,
freshman,2,funny smell\not comfortable
freshman,2,tiny\pretty old\good\fun
freshman,2,really strict depending\make bad decision
freshman,2,
sophomore,2,not d1 school
freshman,2,bad
sophomore,2,
sophomore,2,already bad neighborhood
sophomore,2,
sophomore,2,much money\need more option
sophomore,2,
sophomore,2,terrible
freshman,2,
freshman,2,too strict
freshman,2,desperate need
freshman,2,
freshman,2,not enough option
freshman,2,very rude
sophomore,2,financial aid office\slow\packed
freshman,2,look safe\good quality
freshman,2,outside visitation
freshman,2,
freshman,2,very good\open\many robbery\not many assault\many sexual assault\public safety\weak\feel safe campus
freshman,2,local area\very bad\not much
freshman,2,open campus\careful
freshman,2,
freshman,2,
junior,2,
freshman,2,ridiculous\false information
freshman,2,terrible\young worker\stingy money
freshman,2,terrible\most student
freshman,2,cooked\uncooked fruit
freshman,2,non - student\feel safe
junior,2,worried\wrong thing
junior,2,extremely inconsistent
junior,2,
junior,2,only sport team\worth
sophomore,2,very slow\other way
senior,2,more variety
sophomore,2,slow financial aid\very slow
sophomore,2,more alert
freshman,2,very likely
freshman,2,
freshman,2,more campus police\more convenient
freshman,2,feel safe\most high quality\most\receive many email\homeless peoplle
senior,1,
freshman,1,very unorganized
freshman,1,very unprofessional\same semester\other\social security number\unsupportive
senior,1,beyond awesome\awful\financial aid office\unorganized\senior year\absolute\absolute bad
freshman,1,first month\first few month\most unprofessional setting\tragic\straight dorm\straight disgusting dorm
freshman,1,horrible experience\terrible\second thing\terrible choice\so many thing\many bad thing
senior,1,great school\wise\public safety\corrupt\public safety\wonderful\chief\chief little\scary\last semester
junior,1,overall experience\atrocious\hard\new student
sophomore,1,pretty awful
sophomore,1,rude
freshman,1,really hard\too much money
freshman,1,
senior,1,
sophomore,1,only problem\horrible\able
sophomore,1,pretty decent\well cafeteria food\more option\more place
sophomore,1,
freshman,1,terrible\not sure
freshman,1,free student\really other boy
freshman,1,so easy\bad\easy\basic math class\super easy\online test\high school\own opinion\wrong\african history\african american history
freshman,1,necessary
freshman,1,well\more expensive dorm
sophomore,1,greek life
other,1,
freshman,1,finical aid department\helpful
freshman,1,
freshman,1,other country
freshman,1,Most people
freshman,1,free parking\good\much college
junior,1,free spot
junior,1,financial problem
sophomore,1,good grade\decent\need base child\terrible\make much sense\extra help\expensive tuition\so bad\horrible system
other,1,
sophomore,1,small campus parking\already expensive\hard time parking\careful\white truck
junior,1,really helpful
sophomore,1,completely honest\other problem\other\lack proper organization\prepared\precious time\long line\experience complete confusion\complete simple task\academic advisement\academic registration\financial aid\get straight correct\honest\first hand\prospective student\big mistake\administrative office\grossly antiquated\unorganized\important business\free college environment\excellent
other,1,very good\free\not many people\major event\very social\not much team spirit\ok\not many scholarship\hard\very organized
senior,1,little time\new coach\great
freshman,1,
senior,1,
senior,1,very lazy\very strict\able\certain activity\poor grade\very lazy
sophomore,1,not fair\bad\pay high rate\ample parking\get crazy\main campus
freshman,1,most\african\other race
freshman,1,very many attraciton\high crime rate\many people\many homeless people
freshman,1,too much money
other,1,well
other,1,bipolar weather\very humid\hot\freeze cold\cold air\southern weather
junior,1,
junior,1,homeless person\still safe police\hard visitation\old
sophomore,1,not dependable\hard\impossible\last minute\completely wrong\particular grade
sophomore,1,sunny\dramatic change
senior,1,very helpful\very hard student
alum,1,financial aid process\extra slow\lazy\super long\more experienced advisor\financial aid process\smooth
sophomore,1,same food\same greasy food\need more nutrition
freshman,1,bad experience\financial aid\little bit\financial aid\first line\complete\return several time
freshman,1,mixed\little\little bi\bi -\- polar\extremely cold\extremely hot
freshman,1,want strict\more strict\most\private school
freshman,1,good connection
senior,1,actual building\too expensive\outrageous
freshman,1,very bad internet connection
freshman,1,bad\late\very strict visitation
