sophomore,5,beautiful campus\great\super\super helpful\great\great educational\athletic program\top notch\perfect
sophomore,5,very diverse\amazing\very helpful\become successful
freshman,5,perfect\small campus\warm\welcoming environment
freshman,5,get great teacher
freshman,5,very welcoming\full character
other,5,amazing\excellent\warm\welcoming\midwestern kindness
freshman,5,first year\impressed\great chance\meet new friend\beautiful part
freshman,5,glad\great
sophomore,5,beautiful\small
senior,5,how welcoming\friendly\first year\great\negative\great athletic\amazing
senior,5,diverse\friendly environment\very welcomed
sophomore,5,only thing
freshman,5,great\very clean\several building\several new building\awesome\quick\very helpful\affordable\easy\full\useful content\super excited
junior,5,very kind\helpful\very straight\awesome\beautiful
sophomore,5,great school\very committed\small school\big city\very good\very outgoing\caring other\second\great college\great small college
senior,5,athletic schedule\cultural difference
junior,5,very impressed\next year
freshman,5,so exited\overall experience\other player\great\so important\so many location\other help\first semester\so exited\next semester\new challenge\least\final decision
sophomore,5,super school\super friendly school\very clean campus\fun\educational\multi\multi -\- diverse\undergraduate program
freshman,5,good\good
sophomore,5,small campus\great\willing\great school
junior,5,absolutely wonderful
sophomore,5,right choice\polite\friendly\helpful\very knowledgeable\interesting\first semester\glad
junior,5,major\less extent\very modern\indoor track\very modern\few division\indoor turf field\able\indoor turf field
freshman,5,
freshman,5,make sure athlete\happy
sophomore,5,
sophomore,5,receive several donation\last year\last few year\build first class building
sophomore,5,good\give good facility
sophomore,5,make sure campus\safe
sophomore,5,very modern\size small
sophomore,5,very helpful\help other student
sophomore,5,very nice\more
freshman,5,interested
freshman,5,great
freshman,5,new\very beautiful facility
sophomore,5,wonderful job\wrong campus\next\to more ofen\other place
freshman,5,small class size\pretty good
junior,5,feel unsafe campus
junior,5,amazing science program\own research project\so much experience\big school\medical school
freshman,5,really good\hear much\feel safe campus\same thing
freshman,5,experience new thing\multiple country\really interesting\other people
sophomore,5,
freshman,5,few bar downtown\great area
freshman,5,actual nursing unit\major issue\major public issue\very safe
freshman,5,choose good college
freshman,5,great meal plan\awesome food
freshman,5,local bus\free
freshman,5,great team\great athletic team
freshman,5,new business
freshman,5,other student\really cool\few one\few dumb one\awesome\friendly\good school
freshman,5,spotless\great\most teacher
freshman,5,
alum,5,lovely place\friendly people\favorite event\huge week\long anti\anti - rally\- slavery rally\fair trade fashion\wonderful experience\amazing
alum,5,super cute\decent\sized town\big town\very suburban\very helpful\friendly
freshman,5,dry campus
sophomore,5,other school\most reasonable
sophomore,5,
alum,5,
sophomore,5,
sophomore,4,very challenging\few week thing\become easy\only problem\online class
alum,4,charming\clean campus\absolutely wonderful
sophomore,4,welcome feeling\personal campus\small\most kid
sophomore,4,great school\more\happy face
senior,4,good one\small school\easy\bad\specific subject\bad overall\other teacher\bad one\more enjoyable
senior,4,like online course\perfect
junior,4,small size\excellent atmosphere\nice
junior,4,how close\small student population\perfect\really good
sophomore,4,first year\so friendly\perfect\able\beautiful
senior,4,unique place\athletic facility\’ small\new facility\other student\small college\personal level\same student\very close\very beautiful\so much
freshman,4,first year experience\quite positive\close\many visit\last year\great community\amazing professor\great return\first year
freshman,4,great\learn more\not easy\great diversity\great choice\able\right choice\hard
sophomore,4,good\very kind people\amazing\pretty good food\large school\feel welcome\great university
sophomore,4,great school\fine\small city\many thing\many scenic thing\most part\helpful understanding\Most class\very small\more help\very friendly\easy
junior,4,junior year\very inspiring
sophomore,4,great\friendly\supportive\small\individual help
sophomore,4,very knowledgeable\there career
sophomore,4,feel safe school
sophomore,4,good\many type\many different type
sophomore,4,great\available\usually many\great
sophomore,4,great
junior,4,many\very nice\helpful\different way
junior,4,very clear\regard sexual assault\many thing\many different thing\many\certain\other thing\online course\regard sexual assault\away certain thing
junior,4,nervous\most kid\extremely helpful\friendly\first semester\easy
freshman,4,small\great\solid effort\worth\big thing
sophomore,4,
sophomore,4,other
freshman,4,regular patrol\friendly presence
freshman,4,good\most day\dedicated
freshman,4,
freshman,4,pretty good\freshmen dorm\less\little\little hard\very helpful
freshman,4,top notch
freshman,4,main topic\whole semester\whole first semester\more\extra cup\major other\unmatched
sophomore,4,willing\good family vibe\very close\other
alum,4,multiple emergency pole\available
alum,4,most professor\very willing\make sure\small class size
alum,4,very nice\free cleaning service\multiple time\big\extra room
sophomore,4,nice campus\nice small campus\very helpful
freshman,4,safe school\not much
freshman,4,skeptical\learn more people\well relationship\really expensive
sophomore,4,extremely involved campus\small school\small high school\small college\same chance\multiple job\most
senior,4,very good experience\good overall experience\other student\nice\easy\difficult\meet new people\small class size\extremely helpful understanding
junior,4,great\not much
freshman,4,
freshman,4,great food\available\decent food\bad meal\great lunch\great breakfast
freshman,4,very good
freshman,4,many kind\many different kind\meet new people
freshman,4,special service\great job\successful job
freshman,4,total\nice\meet other student\other college\pretty easy
sophomore,4,great place\low crime rate\many activity\beautiful area\cheap
sophomore,4,high school\realize more responsibility\so many people\many friendly people\beautiful place
sophomore,4,wondeful hob\hold many event\such\mock interview
sophomore,4,very kind\close
sophomore,4,greek life\great job
sophomore,4,beautiful sport complex\out sport team\get well year\always great\fair
junior,4,great\same stuff\same old stuff everyday
freshman,4,great\only worth\first year experience
sophomore,4,off\fancy
sophomore,4,major\new dorm\beautiful\spacious\only downfall\little\little costly
sophomore,4,relatively easy
freshman,2,non\exist greek life\sad
sophomore,2,greek life\general\long run
freshman,2,get hectic final
freshman,2,old town\not much\easy\okay
freshman,2,greek life\small area\small little area\Most people\amazing thing\more\social status
freshman,2,respectful other\super loud\obnoxious\how many weekend freshman\ridiculous\dry campus
freshman,2,other campus
freshman,2,
freshman,2,black
freshman,2,
freshman,2,not many place
freshman,2,dry campus\good party\really weak people\look stupid\good place
sophomore,2,outrageous\very inconvenient year\force most student\bad weather\other\nice place\very old\old\not nice\very bad ant\extremely disgusting\often full parent
sophomore,2,Most people\other school
freshman,2,very expensive\very expensive\outside money
sophomore,2,hard time
alum,2,old
alum,2,good\some bad
alum,2,really good student\poor job
sophomore,2,need more parking space\whole parking ticket
other,1,not worth money
other,1,very unhelpful\nearly impossible time
alum,1,christian school\sub par\new building\much dead\so many aviation student
freshman,1,terrible\small\bad
freshman,1,freshmen dorm\absolutely disgusting
freshman,1,nonexistent
freshman,1,only thing\interested\first place
freshman,1,same food\whole year\whole entire year
freshman,1,quiet hour\horrible\blue security light\disgusting\never clean
freshman,1,general food area\really bad\same food everyday\overall quality\extremely bad
junior,1,national fraternity\very active
freshman,1,very strict\underage drinking\pretty serious\under age standpoint\good\make sure\discreet\good track shoe
freshman,1,only thing\bad thing\very strict\just glad
sophomore,1,not much\few club\off campus\not much\few friend
sophomore,1,very small\not much life\much greek life\Most\hear much\greek life
sophomore,1,least half hour\able\specific lot
freshman,1,very few soroitie\most\Most\local\greek life\big thing
freshman,1,only place\only fun place\good thing\more exciting school
freshman,1,pretty small town
junior,1,seminary\fine\very few scholarship\regular student\seminary program\many scholarship\normal student
