alum,5,abundant opportunity\administrative difficulty
sophomore,5,online learning experience\really good\really helpful
freshman,5,co\different ability\social class\mental state\able\next
freshman,5,amazing\new people\small class setting\suited\learn good
sophomore,5,generally positive experience
freshman,5,nice\’ hard
senior,5,overall experience\overall great experience\good time\awesome\most teacher\feel engaged
sophomore,5,beautiful campus\nice\good job
sophomore,5,medium\medium sized campus\sized beautiful campus\amazing view\amazing picturesque view\small\major opportunity\endless professor\so much inclusivity
sophomore,5,small campus\own community\own wonderful community\loving\other
senior,5,great opportunity\meet new people\stay involved\great\personable\helpful
junior,5,amazing university\highly encouraged\nurturing\safe place\perfect individual\prefer small classroom\close relationship
senior,5,happy\proud\amazing experience\beyond excited\first class\new
sophomore,5,great\just amazing\so friendly\great place\so excited\in less\too big\not small\great\wonderful thing
sophomore,5,large\small school\great place\big commuter school\equal\residential\nonresidential student
alum,5,amazing time\experience foreign situation
sophomore,5,high school\not many professor\second year\small class size\well person\very positive experience\well person
sophomore,5,good thing\so nice\mean person\phenomenal\new friend\connected
junior,5,small campus\friendly\helpful
other,5,great experience
junior,5,very supportive
freshman,5,extremely helpful hand
freshman,5,great school\good\really great\helpful education\criminal justice program\beautiful
sophomore,5,great time\really happy
junior,5,clinical\many major
sophomore,5,terrific
junior,5,really good school
freshman,5,great\look nice\noisy smell\other\super nice\easy\seem easy\go random
freshman,5,
freshman,5,so much variety
senior,5,awesome school\small\big\new everyday
senior,5,just outstanding\other
sophomore,5,really confusing major\so many thing\great
junior,5,
sophomore,5,very spacious\very good menu
sophomore,5,local weather
sophomore,5,
sophomore,5,very satisfied
sophomore,5,small building\great
sophomore,5,very active
sophomore,5,financial aid process\good
freshman,5,awesome\friendly
freshman,5,always prompt
other,5,farely new printer
other,5,bright\clean outside\very nice
freshman,5,enjoy cold temperature\unusually long winter
freshman,5,sexual orientation
freshman,5,very easy
freshman,5,few student\serious problem\very safe\secure
freshman,5,great\also major
freshman,5,great class
sophomore,5,amazing\feel safe\great job
sophomore,5,extremely safe\key care\specific student\very clean
junior,5,many type\many different type\new building\more\give academic building\stressful\fair
junior,5,many kind\many different kind\easy\very involved\so many internship opportunity\beautiful
junior,5,great outdoor
freshman,5,Most\few
freshman,5,good
freshman,5,circular setup\such\very convenient
freshman,5,free\useful athletic\big
alum,4,few class\most part\too difficult\online portion
alum,4,online class\also lenient\able\own pace
sophomore,4,Most\very understanding\technical issue\much well\much bad
sophomore,4,first year\great\very helpful\good\able\not gorgeous
junior,4,online\very easy\simple program\clear\precise
junior,4,online student\first year\good
freshman,4,double majoring\most authentic form
junior,4,good
other,4,pretty good place\always available\make sure student\successful\major\pretty average\different food\few place\several\several fast food\mixed\same floor\pretty normal\old building\pretty safe
sophomore,4,amazing\small\more affordable other\good
freshman,4,more independent\very fair\decently good
freshman,4,great\other accommodation\pretty good\feel safe\familiar face\see new face\only thing\more diverse
sophomore,4,different type\pretty great\academic program\very nice
freshman,4,amazing justice\amazing criminal justice program\outstanding
senior,4,amazing\passionate teacher\little\original advisor\own\pretty stressful\well advisor thing\much easy\so many way\make sure\good advisor\willing
alum,4,genuinely interested student
sophomore,4,not bad\not sure\good example\pretty friendly\most professor\clean\various place\pretty nice\alright\black male\very few student\bad\pretty good
junior,4,overall experience\positive campus\pretty small\easy walk\academic building\great\most\Most\great experience\most part\friendly campus\just big\meet new people\small\extra curricular\aware\available\get more attention\large part\happy\low cost\worth
sophomore,4,good\amazing\custodial staff\wonderful\very nice\very helpful\plenty event
freshman,4,particularly social\really close\relatively easy\like most\first semester
sophomore,4,great place\supportive\always willing
other,4,wonderful\really friendly team environment
senior,4,westfield state\sure\last year\trio program
sophomore,4,more activity\more fun activity\very boring\not many place
sophomore,4,not overwhelming\very welcoming\first day
sophomore,4,very fun\great\great experience\favorite reason\very fun trip
alum,4,excellent school\other major\other big major\major\lucky\incredibly talented\intelligent professor\good friend\good portion\huge\other institution\other huge institution\small size\amazing\great experience
junior,4,as welcome\possible
sophomore,4,pretty great\awesome\make sure
freshman,4,first semester\enjoyable\nice people\very helpful\critical thinking
alum,4,good amount\very good\good professor\major\much\good amount
freshman,4,right size\very comfortable
senior,4,little\little rough\first\see many people\really beautiful thing\other\good\amazing\good way\good possible way\well deserved degree
alum,4,homelike feeling\legal drinking age\offer free shuttle\safe option\very dedicated\only thing\tough\major class\due\limited availability
sophomore,4,great university\many area\many different area\very open\feel welcome\extra activity\extra curricular activity\few\open commuter\open\hard\such knowing
junior,4,other college\big adjustment\small college
other,4,well
sophomore,4,positive impact\make lifelong friend
freshman,4,see more activity\more extracurricular activity\intramural sport\such\also more work opportunity
sophomore,4,beautiful community\beautiful small community\little\be interested\amazing major\criminal justice\right\amazing\so many program
junior,4,perfect fit\like large classroom\small class size\other student\beautiful\easy\wide range\very involved\also beneficial
alum,4,bad freshman year\get well
sophomore,4,make several friendship\long time\small\not overwhelming\large\meet new people
junior,4,so happy
junior,4,very protected\safe
freshman,4,great gym
freshman,4,unsafe area\feel safe
freshman,4,really helpful\provide real life experience\perfect
freshman,4,fun event\fun social event
freshman,4,very safe campus
freshman,4,very involved
freshman,4,great\only thing
freshman,4,more
sophomore,4,very good luck\not afraid\quite difficult\good interest\most important thing
sophomore,4,other person\more suitable\own\much\much easy\own amenity
sophomore,4,Most\athletic building\athletic facility\intramural sport\big deal\few volleyball\few intramural volleyball game\very competitive\same time\supportive fan
sophomore,4,very glad\close home\very lively community\so many relationship\academic advisor\more serious\very supportive\helpful\own advice
sophomore,4,feel safe\alone\extra comfort
