other,5,great school\affordable nursing school.what\small class\own library\great industry\available\real equipment\great school\high school\great program\great financial program
senior,5,
senior,5,outdoor seating area\many way
senior,5,free\easy computer\easily accessible\readily available practice\wireless access\strong signal\portal\engrade\convenient\easy
sophomore,5,possible
senior,4,fast\pace accelerated program experience\talented student\talented fellow student\very interesting\well rounded instructor
alum,2,nightmare\academically strong\stressful
junior,2,current student\whole test grade\last minute\single mother\not worth
senior,1,not able\proper document\clueless people\clueless dumb people
other,1,insane
alum,1,advanced degree\not adequate teacher\clear\concise manner\feel free\petty\shady dealing\bad enemy
junior,1,qualified\third semester\clinical site\bathe patient\particular\have several class\late\disrespectful\patient
alum,1,horrible\horrible
alum,1,really disappointed\so nice\other people\clinical site\hard\south area\north area\same day schedule\north area\south\more consideration
alum,1,
alum,1,make quick money\not transferable
alum,1,clinical\good system\whole lot\most site\about\clinical site
