freshman,5,online platform engaging\most part
other,5,numerous time\friendly atmosphere\clean\happy
other,5,online course\happy\current job\online platform\easy\great
freshman,5,only experience\online\very kind\use harsh word\many people\harsh return\well organized\pretty
freshman,5,good place\online class\so caring\international student\first language\very welcoming\virtual tour\so beautiful\well organized\spiritual life
junior,5,good college\top tier\so friendly\find great friend
junior,5,covid-19 pandemic\very understanding\make sure\more\willing
junior,5,great school\diverse\friendly student\friendly christian student\small side\sure\more one\sure\long friend
senior,5,more class\more graduate class
senior,5,wonderful\friendly\excellent\feel safe\happy campus\last year
freshman,5,great college
sophomore,5,past fall\very satisfied\how smooth transition\so wonderful\friendly\so diverse\so expensive\upcoming spring semester\due\financial issue
senior,5,great school\small school\high amount
other,5,past weekend\great school\nice\nice\general\great college\great christian college
junior,5,great school\financially clear\great blessing
other,5,wide range\important part\amazing\fun\beautiful\really cool place\nice\willing\very helpful\amazing enviroment\amazing student
sophomore,5,southern\amazing school\so many opportunity\only academic\spiritual aspect\really good\wonderful\worth
junior,5,excellent\good interest\feel good campus
senior,5,amazing environment\good college\so thankful
sophomore,5,beautiful\very diverse\only thing\not great
sophomore,5,great area\amazing
junior,5,beautiful campus\good teacher\great student life\outstanding academic\pretty good food
sophomore,5,amazing campus\spiritual student\healthy food option\big family\feel safe\well prepared\real world\many resource\high possibility\have excellent academic\good ethic\good decision\most prepared\successful career
freshman,5,first year\not sure\spiritual environment
freshman,5,how affordable\many opportunity\southern\so worth
junior,5,most caring\great campus life
sophomore,5,fellow student\other staff\big college family
sophomore,5,so many opportunity\many neat opportunity\so many thing\many new thing\so many activity\such sport\5ks service\more
senior,5,other campus\strong base\strong religious base\non\non -\- adventist\unsure\enclusive atmosphere\second time\huge decision\very freitening experience\so overwhelming
sophomore,5,offer real life application\personal life\see more availability
senior,5,beautiful\welcoming experience\how much staff
freshman,5,relatively small campus\more peopke\more personal level\amazing\always available\own community\own little community\nice feel\even well\several restaurant\wide variety\spiritual side\beautiful\so welcoming\big\beautiful family
other,5,super nice\beautiful\very nice
freshman,5,great friend\great attitude\great spiritual attitude
senior,5,love southern\great place\feel safe\great education
freshman,5,only thing\only other thing
freshman,5,great experience\warm\friendly atmosphere\superb\very helpful\strong foundation\most major\provide numerous service
sophomore,5,
sophomore,5,professional team\inter - mural\most people\wonderful fitness center\great fitness class\healthy lifestyle
sophomore,5,really great job\feel important\small class size\great professor\really impeccable
freshman,5,
freshman,5,very efficient campus\very respectful\strict\reinforce important rule\prevent dangerous situation
freshman,5,most\definitely appealing\recreational\other facility\also available\round clock
freshman,5,amazing\willing\comfortable\feel intimidated
freshman,5,very bummed\so much involvement\so much fan support\small group
freshman,5,overall experience\unforgettable\many memory\southern\unique\so nice\other\so scared\home sick way\more\good school
sophomore,5,major problem
sophomore,5,very low\very safe environment
freshman,5,difficult
freshman,5,very scarce
freshman,5,feel safe campus\good job\few minute
sophomore,5,
sophomore,5,good friend
sophomore,5,good program
sophomore,5,good nursing program
freshman,5,good\little crime\last year
freshman,5,social atmosphere\great\make more friend\southern\high school
freshman,5,very friendly\academic program\very informative\Most
sophomore,5,past year\past few year\very safe campus\frequent fire drill\readily available
sophomore,5,great sportsmanship
freshman,4,famous\beautiful\very friendly\other\supportive\understanding
freshman,4,online system\post assignment\need educational\educational wise
freshman,4,how committed\hot summer
senior,4,Most student\least expecting\southern\offer many way\certain amount\secular worship service\underlying agenda\cultural service\sided discussion\sided political discussion\own decision\spiritual\mental\physical growth
junior,4,make simple\make sure
junior,4,embrace biblical truth\professional excellence
senior,4,online option\highly beneficial\able\full time
senior,4,online system\online learning\as familiar\online system\really impressed\make online learning\as simple\possible\own experience
alum,4,good\difficult time\okay experience
alum,4,amazing school\great experience\frank\amazing teacher\great environment\meet many people\different country\own
junior,4,great\great\beautiful
sophomore,4,awesome\nice\most
junior,4,beautiful campus\diverse student population\knowledgeable\caring\produce excellent nurse\phenomenal testing statistic\low\safe environment\private college\private christian college\high\financial assistance\very pricey
freshman,4,how friendly\easy\feel welcome
freshman,4,able\find many opportunity\extremely shy\courteous\not hard
sophomore,4,overall\good experience\make wonderful friend\great professor\give more attention
sophomore,4,great school\most part\well rounded\certain area\certain major\serve well food\serve such food\such unhealthy food\ironic\adventist
freshman,4,quite positive\complete lot\green space\beautiful\tasty\several option\informative\great job\coordinate fun event\great speaker\major\first year\aware school\very fast transition\different department\make sure\upcoming deadline\much easy
sophomore,4,great school\great atmosphere\great people\complete experience\complete christian experience
sophomore,4,southern\right thing
sophomore,4,first choice
senior,4,make new friend\well communication
freshman,4,good experience\only thing\wrong\financial department\extremely stingy scholarship
freshman,4,lovely campus\minded school\big concern\vegetarian menu\quite different\refreshing
freshman,4,fantastic college\christian family\like atmosphere\many\few example\Most\religious background\private schooling\so many\many nice\caring staff\very happy
other,4,very friendly\warm\comfortable atmosphere
senior,4,outdoor\wonderful\own choice\wonderful\very nice
senior,4,great college\close
sophomore,4,fun time
sophomore,4,hire Most student
sophomore,4,good teaching
sophomore,4,few case
freshman,4,fantastic\few\relatable\specifically general education course\most upper division course\amazing
freshman,4,very small\really great\fun dorm activity\easy\shared bathroom\convenient\overpriced\upper class man\other option
freshman,4,great staff\friendly people\easy
sophomore,4,as fun\super nice
sophomore,4,meet nice people\fun
freshman,4,wonderful\truly amazing\close neighboring nation\pleased SAu\very confident\future year
junior,4,adventist system\adventist degree
junior,4,super passionate
junior,4,nice\many student
junior,4,big thing
junior,4,friendly\able
freshman,4,major
freshman,4,very safe\secure\big factor\many time\feel unsafe
freshman,4,amazing\good skill\good social skill\know many people\many many people\social\so many people\where many\good memory
freshman,4,really safe\feel safe
freshman,4,fun\tough\first time\nice\easy\good part\first floor\much easy\first floor\able\really fun\too expensive\pretty nice
freshman,4,huge part\athletic facility\really nice\surprised\how nice\athletic\non\non - student\- athletic student\free
freshman,4,first year\great\several\so many people\so many activity\other\too much\first year\more experience\more fun experience
freshman,4,many resource\able\different option
freshman,4,make sure\available
freshman,4,
freshman,4,southern\make sure\good experience\good overall experience
sophomore,4,easy\willing
sophomore,4,amazing
sophomore,4,beautiful campus\great location\amazing professor\excellent professor
freshman,4,random issue\that bad
freshman,4,
freshman,4,comfy\mostly quiet\small\pretty nice\free item
