Sophomore,5,"Emerson College is at the center of the arts world in Boston, MA. They are a very collaborative school, both the faculty and the students.  Everybody is nice and supportive. The learning experience is thought out and there is easy access to everything!"
Freshman,5,"As a freshman, many of my classes are more broad.  Looking forward to getting deeper as I go into my second year.  Teachers are passionate and energetic.  They get to most out of their student participation"
Freshman,5,Great classes.  Engaging teachers.  Motivated classmates.  Downtown Boston Commons location makes campus life easy.  Local security makes me feel incredibly safe. Championship Ultimate Frisbee team
Freshman,5,"Emerson College is love-it or hate-it, and I love it. Boston is amazing, everything is so accessible. Housing can be cramped, but the new freshman dorms are great. If you love theatre, there are performances happening all of the time from the different student groups. Many of them are completely free! Freshman year classes are easy, but I do admire the school's holistic approach to learning. If you're looking for a challenging academic experience, apply to the Honors program, worth the extra work. The school goes out of its way to accommodate student needs. Very open-minded and progressive. The food is hit or miss, can be bland. Basically no party scene and a very small sports scene, which I personally like. I will say that Emerson is very white and very liberal. I've never had a problem with this, just expect ""political correctness."" It's very expensive, even with scholarships. No school is perfect, and Emerson isn't for everyone, but I wouldn't want to be anywhere but here."
Freshman,5,"Honestly Emerson was my dream school since the seventh grade. And it did not disappoint. Yes the price is a bit steep but honestly I believe that your Emerson experience all depends on how involved you want to be. I applied to Emerson and I attend Emerson because it is considered the top journalism school in the country, and I found out why. It's amazing to see how many ways you can apply yourself, whether its helping to produce a show for Emerson Channel or going to New York Fashion Week for WEBN. I've been behind and in front of the camera and I've been able to write and draw for the Berkeley Beacon. I've learned so much over the past year alone and I've met some incredible people who I know I will be friends with until the end of time and for these reasons alone I'm still happy that I made the decision to go to college in the literal opposite side of the country. I miss my friends and I miss Emerson more than anything and I can't wait to go back."
Freshman,5,"I'm having a good time at Emerson. Lots of like-minded folks with a passion for the arts. I was able to settle in with some great friends and am thriving academically. The work is not too hard if you stay on top of it, and a lot of the professors know that Emerson students thrive on creativity, so many of the projects are somewhat open ended. The food has had massive improvements from last year, plenty of options for vegans and vegetarians. Living area can be small, but location (heart of Boston) is a great opportunity."
Sophomore,5,It is very good because It has the sense of an Ivy League and also allows the students tp express themselves. It is very important because it is extremely academically challenging but also demonstrates that they care about their students.
Niche User,5,I went to visit Emerson college just recently. I like that it is in the city and it is a small-medium sized campus. I loved that it is more teaching focused college rather than research. I like the small student teacher ratio.
Graduate Student,5,"I feel so supported by my professors, advisers and counselors. I have a huge support team that treats me with respect and sincerely cares about my well being. The content is pertinent to my field of study and I'm able to apply what I learn in my internships."
Freshman,5,"Everyone was so welcoming and warm and there's so much opportunity. It's the perfect place for a theatre major. Emerson is right in the heart of the theatre district in Boston. There's always a tour going through the opera house so you can always go see a show with friends. The Boston commons is also right across the street you can go there on your free time. There's also an amazing food selection there's food trucks all around and we have an amazing dining hall with accommodations for any type of person whether it be vegan, vegetarian, or  pescatarian."
Graduate Student,5,"Emerson College has been extremely welcoming. The professors, administrators and admissions team all go the extra mile to help students. They are dedicated and passionate about what they do. The campus is beautiful--you would be hard pressed to find a better setting. The Solstice MFA program is awesome."
Sophomore,5,"I love going to Emerson! The community of students and faculty is very positive and inclusive. The classes are challenging enough to keep me engaged, and the location is amazing!"
