Junior,5,Easy to reach someone when you need to. Most of my professors have always been available to help. They were also fair and understanding.
Niche User,5,I am being recruited by William Penn for Cross Country and the Coaches are great to talk to and helpful during the application process.
Freshman,5,The atmosphere is great.  The teachers are very good and want you to succeed.  Some of them will even text you to let you know how you did on homework.  They have a open door policy which is great.  They have some newer dorms and a great sports facilities.  They really work with the students.
Freshman,5,I love the small town feel. Having such a small campus and student body brings a close knit feeling. I would love to have the ability to not be on a meal plan and have kitchens in the dorms.
Sophomore,5,I have loved my experience so far at WPU. I like how even though we have a very small student body it is super diverse. I have met people and became close friends with people from several different states and even countries.
Senior,5,"I really like the college for working adults; it gave me the opportunity to work full time, and also go to school full time. With the schedule and classes, it was easy to do."
College Sophomore,5,The good thing about this school is that the professors are always willing to help you when you need help with something or do not understand something as well. They truly care about their students and that is what makes me feel comfortable about my grades
College Senior,5,I just injuries myself and they are helping me alot to get back to healthy.
College Senior,5,I'm a basketball player so I love the facilities and coaching staff.
College Senior,5,I love school and being successful is the only thing on my mind!
College Sophomore,5,I would not choose to go anywhere else
College Sophomore,5,i love my major.  I want to be a Social Worker and work with kids.
College Sophomore,5,I have not had an Internship yet.
College Sophomore,5,"Love where I live, the new dorms are awesome."
College Junior,5,"It is limited to classes that will actually be useful in my career, not a lot of extra fluff classes required. The workload is very manageable for a working adult. The classroom has plenty of space."
College Sophomore,5,The parking on campus is free to everyone. The parking permit costs nothing.  The campus is small and compact so there is no need to drive to class. There are always open parking spaces. There are parking fines you can get though if you take up more than one space or parking in a handicap with no permit.
College Senior,5,A lot of people at William Penn University are in some part of Physical Education. Sports Administration takes you on a path to learn skills that will enable you to pursue different sports management jobs.
College Senior,5,I came to William Penn University from Iowa State University and I love the tight nit campus. Teachers are more accessible and have more time for one on one teaching in their free time. The classes are small allowing time for everyone's questions to get answered. The school website is easy to use and teachers respond to emails quickly.
College Sophomore,5,"Parking on campus is easy. Student permits are free, and there are lots of different lots, none of which are more than a five minute walk from class on this small, private school campus."
College Sophomore,5,The Advising System – Ever student is given an advisor and is not able to register for class without going through them this allows students to stay on track to earning their degree.
Alum,4,"I loved the diverse culture on campus. Also, how students are able to speak their minds about controversial issues and how those issues affect the campus."
Freshman,4,"What is great about William Penn, is the ability to connect with your professors and get the one on one help that you need. William Penn University is a great option for those who are not quite ready to attend a large public university quite yet."
Niche User,4,"Smaller classrooms teachers go out of there way to assist the student.  Assistants are always available for tutoring. The campus is not close to any restaurants you definitely need a car. Large airport is one hour away, small towns but people are friendly."
Niche User,4,My overall experience with William Penn University has been great. Everyone has been more than helpful in making sure all paperwork that needs to be submitted is submitted and answers any and all questions that I or my mother may have.
Sophomore,4,I like that the campus is small. Though with it being very small the school still comes together and has alot of activities to do.
