Sophomore,5,"I recently took Zoom classes from CMC and like everyone, it was a difficult transition. Luckily, the faculty all genuinely cared and wanted to connect with their students. Even though there were random wi-fi shutdown and what not (by no mean are these factors controllable) I think it is safe to say all the professors managed to work hard and help make the online experience enjoyable."
Sophomore,5,"I am a rising sophomore at CMC and I can genuinely say I have enjoyed my experience so far. In my first year, I have learned and experienced a variety of academic and personal things about myself. There are a lot of points I would love to touch upon that 1000 characters simply cannot express, whether it be the caring faculty or the culture surrounding the Claremont Colleges (particularly CMC). However, for anyone who is curious as to what kind of a school CMC is, It can only best be described by its close-knit community. The student body is unique in the sense that you only have about 300 students from a diverse set of backgrounds per class, which will either be good or bad depending on the kind of experience you want. If you would like to be a random number and disappear, this would NOT be the school for you. In contrast, if you would like to create change at a school that progresses and challenges the world in various aspects, I recommend you to absolutely join CMC."
Niche User,5,Its student body is incredible along with the gorgeous campus. The University looks out for its students and their families no matter the financial background. The community is strong between the students with each other as well as parents with the school.
Freshman,5,"First off, there is such a welcoming, tight-knit community on campus. At first, I was a bit worried about how small the school is, but I've grown to love it. I'm always making new friends and forming special bonds with classmates that I wouldn't have had at a larger school. Yes, there is a party scene here, but there's no pressure to conform. The students are very respectful, understanding, and caring here. We just have a work hard, play hard mentality and a generally outgoing student body. Also, the school truly does an amazing job at preparing its students for their future careers by challenging them to emerge as leaders and critical thinkers. The students that come to CMC are passionate, hard-working, and driven, and being surrounded by such people is incredibly inspirational. Coming to CMC was one of the best choices I've made. It really is a home away from home."
Niche User,5,"Great academics, athletics, research opportunities, and parties. Highly recommend this institution for those interested in economics."
Sophomore,5,"Claremont Mckenna College is an amazing academic institution. Every student here is so passionate and loves to learn. Claremont has an incredible, close knit-community that is incredibly supportive. My professors all are so kind and involved. I love CMC! Sko nas!"
Freshman,5,"I visited the school and I loved it so much, down to the programs offered and the academics. I can't wait to attend this school!"
Niche User,5,I liked the drive that students had both in academics but also in sports and career exploration.  The opportunities that CMC offers both through the Atheneum and sponsored scholarships are unparalleled.
Alum,5,"Claremont McKenna was a great place to go to school. The people are very friendly, and the small size allows for getting to know many different people as well as participating in small class discussions."
Freshman,5,"I love this place more than words can describe. CMCers are unique. Everyone shares the same drive for success and achievement, and everyone truly finds their niche on campus. Whether it's in a sport, in student government, in the Rose institute, in event planning, in KLI, there is something for everyone to get involved and active. The school is everything I want and more. The small classes makes learning so much more interesting; trust me, sitting around a table with 15 other people and talking about government or philosophy is super enjoyable. Socially, it is so ridiculously easy to make friends. Everyone is so friendly and outgoing, you really have to try to not make any. The party scene is fantastic. What other school has a drinking policy like this or would give the student government hundreds of thousands of dollars to plan parties. It's kind of ridiculous, but CMC is ridiculous, and I love it so much."
Niche User,5,This is a great place for motivated curious problem solvers who are also nice and well spoken.  Student are hyper involved constantly perfecting the “90-second” elevator speech and seemingly always ready to tell you their position on the latest thing. Kids like to relax too and everyone is well known at this small liberal arts college feeler with students who said no to the Ivies to come here.
Niche User,5,"Claremont is a wonderful place to learn, I am so lucky to have the opportunity to study there. Comparable to the top schools in the country"
Alum,5,"Really great professors and campus life. As a student who chose not to drink, I never felt left out or pressured. CMC has a very inclusive social scene. There are a lot of ways to get involved on campus, and it truly feels like a close-knit community."
Junior,5,"CMC is located 35 miles east of Los Angeles in the city of Claremont. Famous for its tree-lined streets and world-renowned colleges, Claremont offers unique warmth, engaged charm, and community spirit. Claremont Village has a wide array of restaurants and shops as well as a movie theater and art museum. You can explore further by attending one of the many college-sponsored trips to cultural and entertainment destinations in Los Angeles as well as various outdoor excursions in the local mountains, desert, and beaches."
Niche User,5,Claremont McKenna College was an amazing environment! The small amount of students attending helps the students have a chance to get to know everyone
Freshman,5,Claremont McKenna College is one of the premier colleges on the West Coast in my opinion. Its focus on academics and its success at placing graduates at jobs in their fields are its most stellar achievements.
Freshman,5,"Where do I begin, I have so much to say about how much I love this school. When I first came to Claremont McKenna, I feared that it would be difficult to make friends as it is such a small school. However, the first day shocked me completely. Everyone was so freaking nice, like unbelievably nice. In the last 3 months of being here, I know about 250/360 kids in my class, and of course a lot of upperclassmen. The party scene here is exactly what I want from a school ,inclusivity, but everyone definitely shares a work hard, play hard mentality. We know how to party, but we also know how to be the scholarly students we got in here for being. The party scene truly is spectacular. The dining hall food is amazing. Sports teams are great as 1/3 of the student body participates in sports There are pretty much a million ways to get involved on campus. I want to continue rambling about how much I love it here, but I also have an econ quiz tomorrow, but I hope that helps. S'GO STAGTHENAS!"
Niche User,5,"I loved taking the summer course called High School Leadership and Communication. It made me more interested in going to this school, and I love how well-organized the program was. I love their philosophy on leadership. It really encourages others to become leaders in their community. Go CMC!"
Junior,5,CMC is an amazing school that offers you learning experiences and resources that other schools do not. It is incredibly rigorous and you will work very hard but you will be very hirable when you graduate.
Freshman,5,"Social life is incredible, everyone here has a unique story to tell and are not only genuinely interesting but genuinely interested in your background and story. We are a very open community and we love to party. The professors are outstanding and the opportunities are endless, especially with the resources of all the Claremont colleges. Overall the experience is as big or small as you want to make it, but no matter every bit of work is so worth the value of the education and the experience is truly life changing."
College Junior,5,"CMC, while not as well known as Stanford, Harvard or Amherst, carries the same reputation with those who've heard of it. Graduating from this school is nearly a guaranteed job somewhere. The alumni network is relatively active-- but the best resource is the career services department on campus. They work very hard to find students great jobs that are the right fit."
College Freshman,5,There is no Greek Life
College Freshman,5,Too much money was put in to the new facility though.
College Senior,5,"Campus is incredibly safe. Every once in a while a bike gets stolen if you leave it unlocked, though it's usually fine. Sexual assault is as much a problem as at any other college, although students here are very aware of it and active on issues of sexual assault. As a man, I can't speak much more on this, although I know some survivors haven't felt very supported by the administration."
College Senior,5,"Dorms are excellent. Like others have said, North Quad (motel suite style) is more for partiers and bros. South Quad (tower suite style) is fairly quiet and many people don't drink, especially in Stark, the substance-free dorm. I am a huge fan of Mid Quad, which has the most recently renovated dorms and a great residential culture because of the more traditional hall-style dorms. It's somewhere in between NQ and SQ in terms of noise and how much people party.

On campus housing is expensive, but almost no one lives off campus. There are not many options, and you miss out on a lot of the community when you live off campus."
College Freshman,5,"Claremont McKenna has already opened so many doors for pursuing my interests in and out of the classroom. I have met some of the most interesting people in my life during my time here and have experienced a diversity of views and backgrounds. The school does a fantastic job of orienting students to campus life through a stellar orientation program and continues to offer unmatched resources especially in the Career Services Center. While CMC is a phenomenal institution that adequately prepares its students for the professional world, its multitude of activities and clubs create a positive residential campus community, which is conducive to academic success as well as student happiness. Finally, CMC is part of the Claremont Consortium, which offers CMCers access to dining halls, classes, and social events across the 5 colleges and 2 graduate schools. I could not picture myself loving any other school as much as I love CMC."
College Freshman,5,Very engaging professors with very engaging classes. Most are discussion based. Appropriate amount of work. Great class selection and prof selection
College Freshman,5,"Crown hall is by far the nicest dorm on campus. But regardless, all the dorms are very nice, spacious, and clean. We have dorm janitors that come every day and clean the halls. They also clean our rooms every week"
College Freshman,5,"CMC is the best school I could have asked for. The small class sizes are amazing. In large classes, it is hard to stay focused, and there is not a big incentive to attend class. With classes of under 20, you really get to know everybody - including your professors - really well. 

All the parties are inclusive. Nobody is denied from them, really emphasizing the sense of community on campus.

There are 3 different quads to live in. North is where the social action is, mid is pretty typical run-of-the-mill - not too many parties, but pretty social. South quad is a lot quieter, but still very social. I wanted to live in mid, but I was placed in the south. This turned out to be great because I am best friends with the kids on my floor, and I have a quite place to go after the party. In the north quad, the party seems to never end.

Overall, I am extremely satisfied."
