Sophomore,5,"Swarthmore has a beautiful campus and accomplished faculty who are very welcoming. Many students have a strong sense of justice, and you are encouraged to tailor your career interests to solving world problems."
Alum,5,"Excellent academics; diverse and intellectual student body; disproportionate number of students from my class year went into PhD programs, medicine and law. Don't come here though if your goal is to party and get by on grade inflation."
Alum,5,"stellar academics; student body is diverse, and largely intellectual ; keep in mind that people come here to study though, not party;"
Senior,5,I think that it prepared me for any jobs that I want to apply to. Especially for medical school. Lots of research opportunities with your professors. Also You can get really close to your professors
Sophomore,5,"Swarthmore has some of the best people on earth, seriously. Almost everyone I meet has something unique to share. Students are driven and passionate, but very down to earth and approachable, same with professors. Although the party scene is not massive, there is always something to do that's open to the whole campus and not-exclusive, which I think is very unique. Students do have to be prepared for rigorous academics, but I think most would agree that academics are very rewarding and uncompetitive. At the end of the day, Swarthmore has given me more friends than I ever could have asked for."
Freshman,5,"Swarthmore College is certainly a unique place to be, whether you're looking at its student body or academics. It is a little diverse, certainly not as diverse as I hoped, but then again, Swat is located in a little nook in PA. However, the majority of the students I have met there so far have been quirky in their own unique ways, nearly all of them loving seeing their friends and fellow classmates at Swat so frequently, especially since the campus is not very big. Swatties definitely are a studious bunch, each enjoying their own little niche (or big niche) hobbies. 
Academics at Swat are tough, true to their reputation. However, the professors are very kind and genuinely want the students to learn, despite grades."
Freshman,5,Swarthmore is an excellent small college with outstanding academics. The people are very friendly and it is a welcoming community.
Niche User,5,"Stellar academics, and an intellectual environment that will nurture the mind and the soul. Students are intense, nerdy and quirky."
Freshman,5,"Swarthmore College has a very warm environment with knowledgeable professors who are truly willing to help. Students are unique and intelligent in all sorts of ways. Of course it isn't perfect here, but overall the learning and living experience is wonderful."
Freshman,5,"This school is diverse, highly achieving, inclusive, and a great center for students to learn and grow. The atmosphere is positive and supportive. There are many incredible resources available for students to help guide them through their education and early adulthood."
Freshman,5,"Love the community, the rigor of the courses and accessibility of the faculty. 
This is the type of institution you come to to change your life by changing the world around you."
Alum,5,"Among the best undergrad programs on earth.  The combination of intellectual students, excellent professors, the beautiful campus, and close proximity to Philly is unbeatable.  Attending this college really feels like you're going to Hogwarts.  Don't get me wrong - this is a rigorous school that will test you at every level, but comparably to other famously rigorous schools you'll likely have a lot more fun and it's 100% worth it.  The undergraduate education that you get here (if you do it right and take interesting classes that fulfill your requirements) is highly multidisciplinary and truly prepares you to think about any subject deeply.  The Quaker tradition, the history of this school, and the culture of critical thinker/intellectual students makes this a unique and valuable place - and one of the best educations around."
Alum,5,"First rate small school, intensely focused on academics.  Gorgeous woodsy campus.  Classmates are almost all very high achievers - won't find slackers here.  Was life changing experience for me and many of my classmates say the same.  One classmate transferred out to Princeton because the work at Swarthmore was too hard. .. ."
Alum,5,"I liked the close relationships I was able to develop with professors. At a small school, I got to know a lot of the students, faculty and staff which made my experience most enjoyable."
Niche User,5,"Swarthmore has always been portrayed to me as a heaven for the intellecutal types and those that love to learn. Uptown Swarthmore has limited options for going out, limited to Hobbs, the coffee shop and Renato's, however the train station provides transportation to and from many different areas and that allows students to go out more."
Freshman,5,"Swarthmore is a truly unique place filled with the kindest, most interesting people you will ever meet."
Sophomore,5,"Academics are intense, professors are world-class and almost always available. Great school to attend if you plan on pursuing graduate studies of any kind. Best feature is the quality of your peers. Everyone is interesting and insanely smart or talented in their own, unique way."
Freshman,5,"The College is great! It is academically challenging , but very rewarding. I would receopmend it to any ambitious high schooler. Esspcially those who like STEM and the liberal arts."
Junior,5,"Swarthmore is a hard nut to crack. The students are not one way or another; they all come from different backgrounds, each with different experiences. But they do have one trait that is common among them: they like to think! And not just about the everyday questions that we come across in daily life; we like to think about why things are the way they are, even to the point that we're sick of thinking about them, and the campus supports this 100%. Swarthmore College truly is a unique place, and if you take the time to appreciate it, and are a genuinely ""thoughtful"" person, you will fall in love the same way that I did."
Freshman,5,Come here if you are serious about learning. The academics really aren't as crazy as you might be led to believe.
Freshman,5,"One semester into Swarthmore and I feel as if I am a completely different person. I have just grown so much here and been forced to think in ways that are much different than the ways high school necessitated from me. I discovered that I am actually more of an extrovert and less of an introvert; This epiphany dawned upon me after the realization that I could, at Swarthmore, engage in deep and lengthy conversations with other students. While individual achievement was emphasized at my High School, I've managed to develop new networking skills with the principle of never working alone and achieving together. Another thing that stands out about my experience at Swarthmore is that I haven't had the chance yet to operate once again under a cynical mindset, everybody is so nice here. I've learned to trust people again!"
Senior,5,"My biggest risk ever taken was the decision to leave my hometown of Snellville and attend Swarthmore College on a generous financial aid package. That was the first time I'd moved to another state, physically left my family for a semester at a time, and survived on my own in a strange place. But after over 3 years, Swat has helped me find knowledge, community, solidarity, my politics and philosophy, new mentors/professors and best friends, and a better sense of myself. I am sure that the connections I forged at Swat will continue to enlighten and support me in the future. I am ineffably glad that I did choose to go to a small liberal arts college in Pennsylvania instead of a university in Georgia over the objection of some family members. I would definitely do Swat again if I could."
College Freshman,5,"Swarthmore looks after each and every student and makes sure all needs are catered to. The atmosphere is warm, liberal and just amazing."
College Freshman,5,Swarthmore is very active about spreading awareness about Sexual assault. Consent is very important here and students can feel safe and free.
College Freshman,5,"I've been here two weeks and I already feel at home. The people are amazing, the campus is wonderful and the college makes sure that students are happy and looked after."
Recent Alumnus,5,I am not afraid or worried about getting a job or attending an internship. Swarthmore has an incredible alumni network for students to use and shadow other alumni.
College Senior,5,It's what I came for. Has not disappointed.
College Senior,5,The academic experience is the best part of swarthmore.
College Senior,5,Students have been very successful post-graduation.
College Senior,5,"I have grown so much as a person at this school, in part because the campus climate is so wonderful and partly because there are plenty of opportunities to get involved on campus."
College Sophomore,5,Even those who complain about the workload admit that they really love Swat and wouldn't want to be anywhere else.
College Sophomore,5,"I chose Swarthmore over a larger research institution, and it's one of the best choices I've made. While Swarthmore's name might not be as widely known outside of academia, the academic atmosphere is excellent. The spirit of collaboration is well and alive in the student body and provides a refreshing alternative to stories of fierce competition between students in the sciences."
College Junior,5,"One of the highest med school acceptance rates in the country and Fulbright winners.  This school is academically very rigorous, and employers know and are attracted to that."
College Junior,5,Professors are experts in their field.  They push their students hard but it results in intense learning and intellectual growth. Class sizes are extremely small.  The seminars at this school are amazing.
College Junior,5,Housing is a blast.  It's a big part of the campus social scene; hanging with friends late into the night.
College Junior,5,Swarthmore is an extremely rigorous academic environment.  I have learned so much here and it has played a major role in developing my intellect and professional life.  I am getting my medical research from last summer published.  I would not have been able to do that if it weren't for Swarthmore.  Attending Swarthmore opens the doors to accomplish anything.
College Freshman,5,There is a lot of diversity in terms of residential and economic background as well as sexual orientation.
College Freshman,5,"The workload is intense, but there's so much support available to me that I do not feel too stressed out."
College Freshman,5,Swarthmore does a good job of matching students with the right fit of internships and externships.
College Freshman,5,The academics here is awesome. Very intense but manageable with the support of professors and SAMs (student academic mentors)
College Freshman,5,"I've had an amazing experience here. The professors are extremely approachable, the classes are challenging and thought provoking, the students are very passionate and come from diverse backgrounds, and the campus is serene and beautiful. I love how Swarthmore has the good characteristics of a liberal arts college (small class sizes, tight knit community, close relationship between professors and students etc.), while the problems often associated with liberal arts colleges (limited number of courses, stress from being in a small community etc.) are resolved through the consortium with Bryn Mawr and Haverford, as well as Swarthmore's proximity to University of Pennsylvania."
College Sophomore,5,"Swarthmore was the best decision of my life. I've met people and had experiences here that changed my life, and for that I'm incredibly grateful. I love that students and faculty are refreshingly genuine and passionate. However, be warned, the academics are overwhelming. Swarthmore is consistently ranked as one of the most academically rigorous undergraduate institutions in the country and this is mentally demanding on students. One thing is for sure, Swarthmore is not easy."
College Freshman,5,"This school is absolutely amazing. The balance of challenging academics and mellow and intimate social scene creates a perfect college experience. You will meet the most amazing people, teachers, and other faculty here and experience memories in and out of the classroom every day"
College Sophomore,5,I love Swarthmore's atmosphere and the students that go there. Everyone is so intellectual and open-minded about everything. There is a greater sense of fulfillment and happiness that is achieved just by sitting in your dorm room and chatting with friends about anything. It is a perfect blend of rigorous academics and social learning that can prepare you for life's challenges.
College Junior,5,I love this school a lot.
Recent Alumnus,5,I loved it and am very grateful.
Recent Alumnus,5,"I found a job easily after graduating, and networking with an alumni got me another job offer."
Recent Alumnus,5,I received a full ride to Swat.  It was great.
